url	title	TotalKorean	EnglishRoot	ChineseRoot	KoreanRoot	UnknownRoot	EnglishRootList	ChineseRootList
http://www.iybrb.com/pol/content/2008-01/30/17_29249.html	등개 로당원과 빈곤당원 위문	310	1	236	61	12	['로고']	['당위', '상무', '위원', '당위', '서기', '등', '당위', '상무', '위원', '당위', '비서장', '효봉', '안내', '내의', '부분', '빈곤', '당원', '당원', '위문', '장국', '현', '입당', '당원', '선후', '훈춘', '당위', '부서', '기', '당위', '서기', '건설', '위원회', '주임', '연길시', '당위', '서기', '등', '직무', '력', '임하다가', '리직', '휴양', '일선', '후', '당', '정책', '과학기술', '학습', '등', '한시', '하지', '적극', '연변', '경제', '과학기술', '발전', '위해', '적극', '건의', '제기', '등', '서기', '연변', '발전', '위해', '기여', '장국', '현', '공로', '평가', '당원', '본보기', '치하', '연변', '사회', '발전', '위해', '보', '의견', '건의', '제기', '부탁', '빈곤', '원인', '장영', '림', '뇨독증', '앓고있지만', '생활', '대한', '용기', '견', '등', '서기', '병마', '요소', '상상', '자신', '장영', '림', '생활', '방식', '치하', '건강', '생산력', '지적', '민', '건강', '의식', '층', '고하', '민', '건신', '운동', '전개', '하여', '민', '건강', '자질', '층', '등', '서기', '의료', '보장', '건설', '병', '의료', '보장', '건설', '층', '시민', '병', '문제', '해결', '지적', '승은', '입당', '당원', '선후', '연길시', '맥주', '공장', '당위', '서기', '연길시', '공업', '국장', '연길시', '정부', '상무', '부시장', '연길시', '인대', '상무', '위원회', '주임', '등', '직무', '승은', '당위', '정부', '연길시', '당위', '연길시', '정부', '노력', '주', '연길시', '변화', '발전', '당', '정부', '감사', '표', '차당', '대회', '정신', '요구', '개혁', '발전', '성과', '백성', '혜택', '노력', '부탁', '등', '서기', '연변', '연길시', '발전', '주', '연길시', '력대', '지도', '연변', '민족', '인민', '공동', '노력', '갈라놓을수', '지적', '공업', '강주', '공업', '강시', '의', '기치를', '발전', '주력', '룡', '일체', '건설', '통해', '연길시', '길림성', '동부', '심도시로', '건설', '표', '등', '서기', '당원', '만년', '기원', '당원', '역할', '발휘', '하여', '연변', '사회', '발전', '위해', '기여', '부탁', '사진', '기자']
http://www.iybrb.com/pol/content/2008-01/22/17_16038.html	사회사업 조화사회건설의 추동력	440	3	347	76	14	['라지오', '라지오', '라지오']	['사회사업', '발전', '규모', '수준', '조화', '사회', '건설', '추진', '추', '동력', '조화', '연변', '건설', '실현', '하기', '위해', '인간', '근본', '원칙', '사회사업', '봉사', '체계', '건설', '층', '완벽', '다년', '주', '사회사업', '투입', '조건', '개선', '구조', '최적화', '등', '조치', '발전', '교육사', '발전', '민', '교육', '접수', '정도', '현저', '전', '주적', '유아교육', '고등교육', '교육', '체계', '형성', '급', '각', '류형', '학교', '유치원', '포함', '가', '개', '기본', '전문화', '실현', '중단', '교육', '학령', '교육', '쾌속', '발전', '초', '중', '진학', '비례', '학령', '입학', '률', '은', '문화', '방송', '위생', '체육', '사업', '발전', '유지', '전', '주적', '방송', '종합', '피복', '률', '방송', '종합', '피복', '률', '변위', '방송', '개통', '각', '류형', '위생', '의료', '구가', '개', '위생', '기술', '인원', '명', '돌발', '위생', '사건', '의료', '치료', '체계', '질병예방', '체계', '건설', '기본', '완수', '농촌', '사회', '구역', '위생', '봉사', '능력', '체육', '관', '개', '항체', '조직', '개', '상적', '체육', '활동', '참가', '인수', '주', '사회사업', '문제점', '존재', '체제', '기제', '발전', '사회사업', '쾌속', '발전', '추진', '토대', '시설', '조건', '교육', '인민대중', '물질', '문화', '수요', '비해', '량질', '교육자', '농촌', '교육자', '상대', '직업', '기술', '교육', '층', '강화', '문화', '사업', '발전', '추진', '관념', '기제', '정책', '장애', '근본', '해결', '위생', '배치', '합리', '도시', '농촌', '위생', '수준', '차이', '대중성', '체육', '사업', '상대', '부분', '우세', '종목', '수준', '발휘', '체육', '시설', '인민대중', '체육', '활동', '수요', '만족', '시점', '개혁', '혁신', '동력', '사회사업', '국면', '개척', '하기', '위해', '상하', '노력', '함', '필요', '투자', '융자', '경로', '층', '확대', '하여', '사회사업', '쾌속', '발전', '투입', '증가', '사회사업', '대부분', '공익', '사업', '사회사업', '추진', '급', '정부', '주요한', '책임', '경제성장', '재정', '상황', '개선', '사회', '발전', '사업', '대한', '정부', '투입', '여야', '동시', '융자', '수단', '모색', '하여', '사회사업', '발전', '자금', '기업', '개인', '사회', '공익', '사업', '투자', '격려', '민족', '구역', '자치', '부대', '개발', '공업', '기지', '진흥', '등', '국가', '우대', '정책', '리용', '하여', '대상', '포장', '중점', '확정', '하여', '전', '주', '발전', '유조', '일련', '사회', '발전', '대상', '추진', '개혁', '심화', '하여', '사회사업', '산업화', '발전', '행정', '쾌속', '추진', '산업화', '발전', '사회사업', '필연', '선택', '사회', '효익', '위치', '전제', '교육', '문화', '위생', '체육', '등', '사회사업', '단위', '대한', '개혁', '층', '심화', '하여', '관념', '전변', '자원', '배치', '최적화', '하여', '사회', '효익', '사회사업', '공익', '성과', '산업', '대한', '계선', '층', '하여', '조건', '허락', '사회사업', '단위', '경영', '기업', '전변', '추', '동하', '사회사업', '시장', '산업화', '사회', '행정', '가속', '기자']
http://www.iybrb.com/pol/content/2008-01/23/17_16037.html	연길시정협 제안 립안 만족률 100%	278	0	208	56	14	[]	['연길시', '위원', '정품', '제안', '활동', '전개', '정품', '제안', '구체', '표준', '제정', '우수', '안일', '표창', '함', '안질', '고', '추진', '제안', '질', '층', '하기', '위해', '수정', '연길시', '위원회', '제안', '사업', '조례', '제안', '사업', '절차', '의', '해당', '규정', '안심사', '립', '제안', '대해', '전문가', '의견', '제안', '책임진', '주석', '비준', '기초', '제안', '대해', '수정', '완벽', '제안', '사무', '강도', '위해', '제안', '사무', '주체', '정부', '전이', '정부', '제안', '심사', '처리', '함', '제안', '사무', '강도', '정부', '제안', '처리', '상무', '부시장', '직접', '책임진', '시급', '도일', '관련', '단위', '책임자', '처리', '위원', '제안', '회답', '이전', '제안', '기본', '통과', '현재', '제안', '회답', '정부', '사회', '제안', '자가', '통과', '자의', '만족', '하기', '위해', '관련', '부문', '제안', '인과', '대면', '하여', '의견', '청취', '함', '동시', '보도', '매체', '통해', '의견', '청취', '작년', '중점', '연구', '진행', '하여', '연길시', '미성년', '사상', '도덕', '건설', '관', '조사', '보고', '연길시', '농촌', '건설', '사업', '관', '조사', '보고', '연길시', '단층', '개조', '파가', '이주', '실시', '관', '조사', '보고', '위원', '건', '제안', '접수', '심사', '건', '립', '전부', '해결', '하여', '만족', '률', '만족', '률', '위원', '성생활', '관계', '민생', '문제', '여론', '반영', '중점', '군중', '의견', '청취', '당위', '정부', '반영', '위원', '반영', '군중', '의견', '건', '접수', '심사', '선택', '간행물', '주민', '신분증', '수금', '문제', '시장', '주변', '환경', '위생', '정리', '관', '문제', '도로', '불법', '주차', '관', '문제', '공공교통', '건설', '관', '문제', '등', '발표', '함', '해당', '지도', '중시', '효과', '기자']
http://www.iybrb.com/pol/content/2007-12/05/17_14962.html	겨울옷가지 재해지구에 전달	106	0	74	29	3	[]	['직속', '기관', '기증', '등', '물자', '재해', '지구', '전달', '직속', '기관', '범위', '내', '선물', '하기', '기증', '활동', '전개', '직속', '기관', '각', '부문', '의', '연금', '등', '활동', '적극', '전개', '하여', '목전', '직속', '기관', '개', '부문', '견지', '기증', '의', '연금', '직속', '기관', '사업', '위원회', '주민', '정국', '등', '부문', '선두', '황', '진', '계', '관향', '화룡', '탄광', '등', '재해', '지구', '등', '물자', '전달', '곤난', '호', '매호', '의', '연금', '증정', '륙속', '의', '금', '등', '각', '재해', '지구', '전달', '진국', '기자']
http://www.iybrb.com/pol/content/2007-12/05/17_15998.html	당건설 교육사업의 믿음직한 담보	425	2	343	72	8	['마크', '마크']	['연길시', '교육부', '문의', '각', '층', '조직', '전', '시', '교육', '사업', '목표', '임무', '과학', '적발', '전관', '수립', '당', '집권', '능력', '고', '중점', '지도', '부와', '간부', '대오', '층', '조직', '건설', '진력', '조직', '정치', '핵심', '역할', '감독', '역할', '당원', '선봉', '모범', '역할', '발휘', '하여', '연길', '교육', '개혁', '발전', '위해', '조직', '담보', '제공', '최근', '연길시', '교육', '부문', '건설', '사업', '비약', '발전', '부도', '교육', '성과', '보여', '상급', '당위', '호평', '면', '경험', '귀납', '자체', '건설', '능력', '조직', '제도', '오', '규범', '강조', '정력', '건설', '사업', '자체', '건설', '능력', '조직', '건설', '최적화', '학습', '조직', '용솟음', '호', '활동', '선진', '창조', '우수', '쟁취', '활동', '성적', '공산당', '선진', '확보', '활동', '국산', '개', '층', '부와', '여명', '당원', '주제', '활동', '참여', '선진', '교양', '장기', '효과', '기제', '건립', '함', '중앙', '성', '주', '시', '독학', '조의', '평가', '간부', '선발', '관리', '대한', '관련', '문건', '출범', '교장', '강습', '조직', '표준', '질', '보장', '당원', '발전', '명', '입당', '적극', '분자', '명', '업종', '기풍', '건설', '교무', '공개', '의', '법치', '교', '등', '사업', '점차', '제도', '법', '제화', '의', '법치', '교의', '식이', '강화', '관련', '성과', '주의', '회의', '연길', '개최', '교무', '공개', '중앙', '지도자', '긍정', '중시', '중', '교무', '중앙', '방송', '교수', '봉사', '능력', '강화', '당원', '시범', '반', '시범', '등', '활동', '통', '하여', '당원', '시범', '인솔', '역할', '층', '발휘', '전', '시적', '개', '당원', '시범', '반', '개', '시범', '가', '설립', '교원', '교원', '출근', '본보기', '역할', '지원', '활동', '경우', '방문', '엄금', '활동', '검사', '활동', '애심', '책임', '사덕', '교양', '활동', '층', '학교', '보편', '인정', '당원', '일대일', '지원', '당원', '명의', '학생', '등', '활동', '효과', '사덕', '건설', '전', '주의', '전형', '경험', '명', '지원', '활동', '층', '조직', '사회', '구역', '군중', '찬양', '연장', '확대', '능력', '증강', '전', '시', '교육', '부문', '당원', '교원', '각종', '의', '연금', '만원', '지원', '하여', '빈곤', '학생', '빈곤', '가정', '동시', '농촌', '건설', '위해', '봉사', '활동', '농촌', '운영', '조건', '개진', '농민', '자질', '추진', '사회', '구역', '건설', '사업', '동참', '하여', '교육자', '향유', '기제', '사회', '구역', '문체', '덕육', '보도원', '비하여', '주민', '사회', '구역', '교양', '요구', '만족', '활동', '통해', '부', '도시', '교육', '면모', '교원', '풍채', '과시', '경험', '총화', '향', '후의', '건설', '사업', '추', '동하', '기', '위해', '연길시', '교육', '전', '건설', '사업', '총화', '대회', '성대', '선진', '집단', '선진', '개인', '표창', '장려', '폭', '당원', '교원', '격려', '복기']
http://www.iybrb.com/pol/content/2007-12/25/17_16011.html	연성환경 개선해 외래투자 흡인	204	0	140	52	12	[]	['투자', '유치', '환경', '지역', '발전', '경쟁력', '고하', '봉사', '의식', '심사', '비준', '항목', '처리', '능률', '수금', '표준', '권', '익수', '도를', '기업', '대한', '간섭', '방침', '투자', '유치', '합리', '정치', '환경', '봉사', '환경', '집법', '환경', '구축', '지리', '위치', '편벽', '기초', '등', '정황', '대상', '현', '대상', '현', '건설', '대상', '백성', '대상', '건설', '주목', '대상', '건설', '위해', '봉사', '등', '현장', '시간', '나면', '기업', '현장', '직접', '정황', '료', '의료', '위생', '의료', '조직', '하여', '생산', '선', '종업원', '무료', '의료', '검진', '비상', '약품', '증정', '투자', '자녀', '입학', '의료', '봉사', '교통', '운수', '호적', '이적', '출입', '관리', '등', '외래', '투자', '관심', '문제', '우대', '정책', '제공', '조치', '투자', '의', '해바라기씨', '매하', '절강', '상인', '다년', '환경', '결심', '만원', '투자', '하여', '해바라기씨', '공공', '절강성', '각지', '선전', '영향', '무려', '명', '절강', '상인', '고찰', '세명', '결정', '기업', '전체', '노력', '현재', '추진', '대상', '개', '개', '증가', '억원', '이상', '대상', '개', '이상', '대상', '개', '장', '설화', '기자']
http://www.iybrb.com/pol/content/2007-12/24/17_14984.html	주당위 9기 3차 전체회의 소집	679	1	540	121	17	['리만']	['당위', '기', '차', '회의', '연길', '소집', '당위', '상무', '위원', '등', '군', '리', '경호', '효봉', '주석', '당위', '위원', '명중', '명', '명', '후보', '위원', '명', '회의', '참석', '당위', '위원', '후보', '위원', '주인', '상무', '위원회', '부', '주임', '정부', '부주', '부주석', '규률', '검사', '위원회', '부서', '기', '당위', '주인', '상무', '위원회', '정부', '규률', '검사', '위원회', '비서장', '부비', '서장', '각', '현', '시', '당위', '서기', '상무부', '서기', '현', '시', '정부', '현장', '시장', '중앙', '성', '주', '직속', '단위', '등', '해당', '부문', '책임자', '회의', '당위', '상무', '위원회', '회의', '사회', '당위', '상무', '위원', '당위', '서기', '등', '당위', '상무', '위원회', '위탁', '사업', '보고', '진술', '등', '당위', '상무', '위원회', '당위', '정부', '령도', '리론', '대표', '중요', '사상', '지도', '과학', '적발', '전관', '관철', '차', '대회', '정신', '학습', '관철', '주', '차', '대회', '제기', '전략', '배치', '전면', '실시', '진실', '추구', '개척', '진취', '단결', '투하', '경제', '사회', '발전', '전면', '추진', '하여', '연변', '건설', '기여', '강조', '경제', '쾌속', '발전', '실현', '하여', '종합', '실력', '층', '장대', '개혁개방', '지속', '발전', '동력', '도시화', '가속', '도시', '향', '진의', '면모', '변화', '민생', '사업', '민족', '인민', '혜택', '정신', '문명', '건설', '민주', '법', '건설', '완벽', '전', '주', '문명', '정도', '층', '건설', '혁신', '추진', '하여', '급', '조직', '응집', '전투력', '강화', '회고', '등', '명년', '사업', '대한', '체적', '요구', '차', '대회', '정신', '전면', '관철', '리론', '대표', '중요', '사상', '지도', '과학', '발전', '관', '통솔', '번영', '부유', '문명', '조화', '연변', '건설', '중심', '임무', '돌출', '경제', '발전', '전면', '추진', '민생', '개선', '조화', '사회', '구축', '중시', '민족', '문화', '발전', '번영', '민주', '법치', '진', '일보', '완벽', '연변', '진흥', '발전', '국면', '개척', '고', '강조', '등', '명년', '금후', '시기', '사업', '대해', '요구', '과학', '적발', '전관', '통솔', '경제', '발전', '추진', '신형', '공업화', '행정', '전면', '추진', '하여', '경제', '지속', '쾌속', '발전', '량호', '형세', '지속', '담보', '도시화', '농촌', '건설', '추진', '하여', '도시', '향', '진의', '일체', '발전', '추진', '국제화', '행정', '쾌속', '추진', '하여', '대외', '개방', '층차', '수준', '전면', '고하', '시장', '행정', '추진', '하여', '종합', '발전', '환경', '진', '일보', '혁신', '환경보호', '생태', '건설', '추진', '하여', '발전', '자원', '환경', '률', '담보', '민생', '개선', '중점', '조화', '연변', '건설', '전면', '쾌속', '발전', '민생', '문제해결', '진력', '민족', '문화', '발전', '번영', '민주', '법치', '건설', '진', '일보', '추진', '개혁', '혁신', '정신', '건설', '조직', '응집', '창조력', '전투력', '급', '지도', '부와', '간부', '대오', '건설', '층', '조직', '건설', '정', '건설', '부패', '척결', '사업', '등', '호소', '연변', '건설', '력사', '책임', '민족', '인민', '복', '영광', '사명', '차', '대회', '정신', '지도', '당위', '정부', '령도', '전', '주', '민족', '인민', '단결', '인솔', '하여', '정신', '분발', '개척', '진취', '하여', '연변', '건설', '웅위', '목표', '실현', '하기', '위해', '노력', '분투', '하자', '당위', '부서', '기이', '정부', '주장', '명년', '사업', '배치', '투자', '견인', '전략', '계속', '실시', '하여', '대상', '건설', '여야', '일련', '대상', '조직', '실시', '기초', '시설', '건설', '계속', '대상', '건설', '저장', '종합', '봉사', '능력', '고해', '산업', '우세', '산업', '신형', '공업화', '행정', '쾌속', '산업', '우세', '산업', '발전', '장대', '층', '추진', '공업', '쾌속', '효익', '고', '중소기업', '민영', '경제', '쾌속', '발전', '추진', '농업', '발전', '농촌', '농업', '적극', '발전', '농촌', '건설', '추진', '건설', '쾌속', '개방', '주도', '전략', '전면', '실시', '하여', '개발', '개방', '행정', '쾌속', '두만강', '지역', '국제', '합작', '개발', '추진', '외향', '경제', '쾌속', '발전', '투자', '유치', '관광', '전시회', '계기', '관광업', '발전', '추진', '북방', '관광', '교역', '회', '조직', '관광', '기초', '시설', '건설', '관광업', '대한', '선전', '판촉', '활동', '층', '룡', '일체', '추진', '하여', '도시화', '건설', '도시화', '수준', '인간', '근본', '원칙', '민생', '개선', '절실', '담보', '사회', '발전', '사업', '추진', '하여', '사회', '조화', '안정', '추진', '회의', '결속', '시', '등', '회의', '정신', '학습', '관철', '관해', '요구', '제기', '기자']
http://www.iybrb.com/pol/content/2007-12/25/17_16012.html	외자기업 새해 맞이 좌담회 마련	183	1	141	30	11	['팀']	['주', '투자', '개', '여개', '외자', '기업', '소등', '명년', '사업', '환경', '여건', '창업', '활동', '정부', '연길시', '전', '주', '외자', '기업', '좌담', '회', '개', '기업', '대표', '개', '주', '성', '중앙', '관계', '부서', '대표', '참가', '좌담', '회', '주의', '사업', '정황', '소개', '외국', '투자', '공인', '기업', '운영', '활동', '생활', '봉착', '문제', '제기', '정부', '관계', '부서', '외국', '투자', '공인', '문제점', '대하', '즉각', '해답', '연변', '물산', '연길', '방직', '훈춘', '방직', '한중', '항운', '등', '외국', '투자', '공인', '대표', '수입', '물처리', '존재', '문제', '환경', '변화', '수출', '기업', '인력', '부족', '해소', '문제', '정책', '혜택', '모색', '방안', '등', '정부', '측면', '연구', '할', '사안', '고민', '문제', '집중', '제기', '좌담', '회', '부주', '외국', '공인', '제기', '문제', '현실', '해결', '보아', '할', '문제', '외국', '공인', '안심', '기업', '활동', '생활', '환경', '지방정부', '밀어', '책임', '연변', '경제', '대한', '외국', '공인', '관심', '사의', '표', '외향성', '발전', '외국', '투자', '공인', '제기', '문제', '대하', '정부', '구체', '해결', '방안', '제기', '기자']
http://www.iybrb.com/pol/content/2007-12/06/17_16000.html	훈춘 정무공개고찰평의 실속있게	189	2	159	24	4	['홈페이지', '인터넷']	['일전', '훈춘시', '정무', '공개', '고찰', '평의', '결과', '발표', '이번', '고찰', '참가', '개', '단위', '시공', '상국', '문화', '사회', '구역', '유치', '마천', '향', '등', '개', '단위', '만점', '평의', '각', '단위', '정무', '공개', '사업', '진행', '사업', '작풍', '개', '처리', '능률', '하기', '하여', '정무', '감찰', '등', '부문', '련합', '검사', '구성', '하여', '전', '시', '각', '향진', '가두', '직속', '부문', '독촉', '하여', '정무', '공개', '사업', '층', '발전', '하여', '전시', '정무', '공개', '사업', '행정', '진척', '정무', '공개', '사업', '성과', '각', '단위', '부문', '정무', '공개', '사업', '중시', '자각', '정무', '공개', '사업', '책임자', '공사', '삼고', '사업', '작풍', '전변', '처리', '능률', '고', '조치', '간주', '정무', '공개', '사업', '행정', '추진', '하기', '하여', '각', '부문', '단위', '해당', '정무', '공개', '관', '사업', '제도', '제정', '정무', '공개', '목록', '정무', '공개', '군중', '관심', '열점', '난점', '문제', '군중', '리익', '절실', '관계', '중', '대결', '책', '중대', '돌출', '사건', '등', '사항', '공개', '동시', '정무', '공개', '건립', '통', '하여', '심사', '비준', '대상', '집법', '인원', '관련', '정책', '법규', '공개', '형식', '강구', '공개', '면', '적극', '확장', '하여', '군중', '호평', '기자']
http://www.iybrb.com/pol/content/2007-12/06/17_14964.html	제5차 조선어문사업표창대회 소집	157	1	121	29	6	['포치']	['연변', '조선족', '자치주', '차', '조선', '어문', '사업', '표창', '대회', '연길', '주인', '상무', '위원회', '부', '주임', '정부', '부주', '민', '광도', '회의', '참가', '회의', '지난', '주', '조선어', '사업', '총화', '조선어', '사업', '용솟음', '선진', '집단', '선진', '사업', '표창', '금후', '시기', '주', '조선어', '사업', '임무', '회의', '민', '광도', '지난', '주', '조선어', '사업', '당', '민족', '정책', '당', '국가', '당위', '인민', '정부', '중점', '사업', '적극', '조례', '조선어', '사업', '조례', '조선어', '사업', '조례', '실시', '관철', '활동', '전개', '하여', '주', '건설', '사회', '사업', '전면', '발전', '기여', '현저', '성과', '주', '조선어', '사업', '발전', '대적', '가속', '긍정', '향후', '인식', '층', '고하', '조례', '세칙', '관철', '집행', '적극', '전', '주', '사회', '발전', '사업', '참여', '책임', '의식', '조선어', '규범', '번역', '사업', '층', '심화', '연길시', '등', '개', '조선어', '집단', '등', '명', '선진', '개인', '표창', '복기']
