url	title	TotalKorean	EnglishRoot	ChineseRoot	KoreanRoot	UnknownRoot	EnglishRootList	ChineseRootList
http://www.iybrb.com/pla/content/2007-08/21/47_86610.html	찌개 국 끓일 때 생기는 거품 꼭 걷어내야 할가?	160	0	54	101	5	[]	['보통', '두면', '리', '유로', '경우', '발생', '성분', '등', '단백질', '녹말', '즉', '녹지', '유기물질', '응고', '우선', '액체', '기화', '현상', '용기', '생', '증기', '상승', '외부', '표', '포', '내용물', '포', '응고', '용성', '유기물질', '응고', '부유', '생', '생선', '생선', '내장', '피물', '생선', '단백질', '성분', '생', '된장찌개', '된장', '주성분', '단백질', '성분', '응고', '인체', '물질', '불순', '필요', '취향', '무방', '종합']
http://www.iybrb.com/pla/content/2007-08/09/47_86605.html	동광메돼지불고기성 친환경먹거리로 입맛잡는다	370	2	147	201	20	['메뉴', '메뉴']	['선호', '오염', '환경', '소비자', '무공', '식품', '각광', '전문', '경영', '음식점', '적지', '연길시', '주재', '정국', '위치', '동광', '은', '재료', '사용', '음식점', '박광훈씨', '음식점', '주인', '시장', '안목', '선호', '추구', '소비자', '심리', '면', '년', '투자', '하여', '개업', '면역성', '환경', '적응', '번식', '률', '률', '기간', '보통', '영양가', '오염', '장기간', '식용', '하면', '인체', '면역', '증강', '뇌', '심장', '등', '질병', '당뇨병', '예방', '소비자', '오염', '건강', '식품', '상업', '가치', '대한', '일가견', '음식점', '완', '사슴고기', '육회', '양고기', '송이버섯', '등', '시작', '호황', '소문', '시작', '좌석', '적지', '찬', '립체', '교', '시공', '시작', '박광훈씨', '식당', '문', '절강', '가', '한국', '무역', '회사', '취직', '축', '음식', '업', '성공', '고향', '음식점', '문', '원래', '개업', '소문', '하면', '시작', '음식점', '음식', '하지', '특유', '나지', '육질', '보통', '특징', '사슴고기', '사슴고기', '육회', '맛볼수', '음식', '입안', '순식간', '잔', '일품', '포식', '난후', '집의', '시간', '우려', '후', '야채', '칭찬', '집의', '음식', '부모', '축', '내지', '자신', '창업', '박광훈씨', '인생', '태도', '동광', '음식', '개발', '하여', '식도락', '건강', '선물', '기대', '기자']
http://www.iybrb.com/pla/content/2007-08/16/47_86609.html	채소 제대로 알고 먹자! 채소 색깔에 숨겨진 비밀	387	26	226	123	12	['카로틴', '카로틴', '베타카로틴', '베타카로틴', '비타민', '비타민', '비타민', '브로콜리', '셀러리', '케일', '파슬리', '마그네슘', '마그네슘', '콜레스테롤', '칼슘', '비타민', '비타민', '바이러스', '호르몬', '에스트로겐', '콜레스테롤', '토마토', '비트', '토마토', '토마토', '베타카로틴']	['색', '식품', '등', '피부', '빈혈', '여성', '필수', '노란색', '이토', '성분', '포함', '영양소', '계렬', '항산화제', '부분', '체내', '흡수', '특성', '정자', '형성', '면역', '반응', '식욕', '등', '생리', '과정', '관여', '동맥경화', '백내장', '야맹증', '빈혈', '저혈압', '암', '예방', '피부', '피부', '저항력', '효과', '가', '피부', '기도', '녀성', '성분', '녹', '색', '식품', '양상추', '등', '유해', '환경', '신장', '간장', '기능', '도시', '직장인', '필수', '채소', '신진대사', '피로', '기능', '역할', '엽록소', '엽록소', '엽록체', '화합물', '인체', '내', '치환', '조혈', '작용', '세포', '부활', '작용', '주고', '특성', '혈액', '불리', '기도', '엽록소', '성분', '혈중', '수치', '변비', '효과', '작용', '녀성', '인기', '록색', '채소', '치아', '골격', '형성', '골다공증', '예방', '색', '식품', '보라색', '보라색', '양배추', '등', '혈압', '시력', '수험생', '필수', '보라색', '검은색', '채소', '영양소', '자극', '전달', '합성', '촉진', '효과', '시력', '회복', '효과', '발휘', '할', '시력', '저하', '망막', '질환', '예방', '역할', '혈압', '상승', '효소', '제해', '고혈압', '동맥경화', '심근경색', '등', '예방', '효과', '기능', '로화', '방지', '골다공증', '예방', '기능', '색', '식품', '양파', '등', '폐경', '갱년기', '녀성', '질환', '필수', '하얀색', '채소', '영양소', '안토', '안토', '동물', '비교', '식물', '가열', '하면', '당', '분리', '색', '진해', '특성', '항균', '항암', '항', '항', '항', '염증', '기능', '체내', '산화', '작용', '억제', '기능', '안토', '중', '본은', '녀성', '중년', '녀성', '폐경', '초기', '증상', '완화', '심장병', '예방', '효과', '색', '식품', '등', '암', '로화', '중년', '층', '필수', '은색', '이토', '성분', '포함', '영양소', '영양소', '식욕', '작용', '고혈압', '동맥경화', '효과', '성분', '함유', '성인병', '예방', '유해', '산소', '제거', '청소부', '역할', '하기도', '전립선', '건강', '로화', '방지', '암세포', '성장', '억제', '효과']
http://www.iybrb.com/pla/content/2006-12/15/47_86510.html	음식 이쁘게 담는 아이디어	227	15	77	125	10	['크리스마스', '센스', '아이디어', '케이크', '아이디어', '슈퍼', '케이크', '케이크', '아이디어', '비닐', '케이크', '케이크', '케이크', '미니', '케이크']	['년말', '각종', '송년회', '신년', '회', '등', '음식', '기회', '료리', '분위기', '음식', '인용', '담기', '인분', '담아', '차잔', '정도', '종류', '모아', '강약', '주어', '큰것', '내면', '경단', '송편', '개', '유리컵', '인분', '계산', '준비', '하면', '초대', '후식', '담기', '집어', '담아', '내면', '한지', '사온', '준비', '정성', '직', '모양', '담기', '우', '생크림', '초', '간단', '모양', '초대', '쟁반', '모아', '담기', '조각', '담아', '쟁반', '보', '방법', '쟁반', '보여', '감각', '느낄수', '담기', '제과점', '별로', '준비', '과감', '보자', '모양', '우', '한', '조각', '고정', '모양', '초', '완성', '종합']
http://www.iybrb.com/pla/content/2006-12/29/47_86513.html	년말년시 모임에서돋보이는 화장법	302	46	122	121	13	['파티', '파티', '매너', '커플', '파티', '이미지', '베이스', '발라', '파운데이션', '파스텔', '핑크', '오렌지', '화이트', '컬러', '아이라인', '브라운', '아이라인', '발라', '로스', '톤', '립스틱', '발라', '로스', '그레이', '눈화장', '파티', '이미지', '포인트', '립스틱', '클럽', '파티', '클럽', '어필', '클럽', '파티', '브론즈', '컬러', '발라', '호텔', '파티', '이미지', '크림', '파운데이션', '발라', '파우더', '이미지']	['망년', '회', '신년', '회', '등', '각종', '참가', '할', '기회', '왕', '참석', '화장', '참가', '면', '금상첨화', '해서는', '분위기', '화장', '투명', '화장', '남자', '화장', '화장', '한', '녀자', '호감', '투명', '화장', '해서는', '함유', '소량', '리', '부분', '리용', '하여', '피부', '사용', '연출', '대신', '음영', '해서는', '필수', '연한', '제품', '사용', '중앙', '역시', '연한', '윤기', '친구', '친구', '화려', '해보이면', '친구', '질투', '화장', '장미', '활용', '피부', '빨간색', '준', '투명', '카키색', '갈색', '업무', '관련', '인상', '은색', '도', '활달', '정돈', '인상', '부가', '조명', '부분', '제외', '주변', '립체', '화장', '법', '혹', '남자', '녀자', '공간', '평소', '주저', '색상', '과감', '사용', '립체', '위해', '중앙', '자연', '과감', '색상', '리용', '해서', '고급', '연출', '부', '피부', '표현', '좌우', '피부', '연출', '효과', '준', '부위', '소량', '사용', '사실', '녀성', '화장품', '평소', '경향', '년말', '분위기', '분위기', '자신', '외부', '과감', '표현']
http://www.iybrb.com/pla/content/2006-12/29/47_86514.html	겨울철 물을 잘 마시면 건강이 보인다	251	2	106	126	17	['컵', '컵']	['식기', '아질산염', '농도', '아질산염', '중독', '침전', '소화', '신경', '비뇨', '조혈', '계통', '병변', '사실', '주전자', '경보', '시작', '설명', '할', '마실수', '설명', '시작', '해서', '정도', '유해', '물질', '제거', '후', '방광암', '직장암', '가능성', '증가', '후', '방치', '후', '수도꼭지', '수도관', '금속', '관벽', '반응', '금속', '오염', '수도', '잔류', '미생물', '번식', '사용', '해서는', '온도', '섭씨', '도인', '온도', '보통', '섭씨', '도인', '온도', '비교', '점막', '손상', '물통', '후', '보통', '오염', '물질', '물통', '류', '통기', '내', '시간표', '기상', '후', '혈액', '수분', '신장', '간장', '해독', '출근', '후', '신체', '무의식', '탈수', '사무실', '도착', '후', '오전', '오후', '수분', '보충', '정서', '안정', '식사', '하기', '간전', '일정량', '소화액', '분비', '식욕', '촉진', '소화', '흡수', '간전', '간전', '혈액', '농도', '낮추어주며', '수분', '공급']
http://www.iybrb.com/pla/content/2006-12/29/47_86515.html	년말년시 마음을 다스리는 방법	354	11	178	142	23	['메뉴', '쇼핑', '아드레날린', '이미지', '아인슈타인', '스트레칭', '스트레스', '스트레스', '스트레스', '스트레스', '포인트']	['년', '말년', '시', '한해', '벌려놓은', '함', '동시', '동료', '친구', '가족', '참석', '개', '지경', '일본', '한', '주간', '지친', '치유', '방법', '제시', '방법', '참고', '하면', '년말', '뇌', '활성화', '자극', '전문가', '체험', '뇌', '활성화', '조언', '례', '해서', '분비', '뇌', '자극', '지친', '뇌', '사무실', '자기', '시간', '한번', '정도', '사진', '할', '문자', '론리', '사고', '관장', '좌뇌', '시간', '한번', '영상', '음악', '등', '처리', '뇌', '자극', '하면', '좌뇌', '집중', '저하', '연구', '악기', '연주', '즉', '좌뇌', '뇌', '사용', '함', '뇌', '활성화', '능력', '발휘', '정신', '시작', '하기', '해서는', '사용', '반대쪽', '팔로', '평소', '출근', '뇌', '자극', '자기', '대한', '자기', '해서는', '우선', '안정', '상태', '긴장', '등', '효과', '자세', '호흡', '하면', '등', '이완', '긴장도', '욕', '효과', '수면', '자연', '체온', '욕', '통해', '일시', '체온', '체온', '상태', '청', '해소', '신경증', '우울증', '과민성', '장', '증후군', '부정맥', '협심증', '등', '유발', '병', '근원', '자률', '신경', '균형', '자률', '신경', '균형', '악순환', '악순환', '해서는', '이완', '전문가', '방법', '추천', '효과', '목욕', '운동', '복식호흡', '등', '긍정', '사고방식', '대한', '성', '방법', '례', '극적', '성격', '고민', '극적', '보자', '안정', '음악', '정신', '결림이나', '안구건조증', '피부', '수족', '랭증', '등', '효과', '음악', '틀어놓고', '감은', '상태', '음악', '집중', '정도', '도', '효과', '집중', '향상', '효과', '한번']
http://www.iybrb.com/pla/content/2006-12/29/47_86516.html	다이어트하려면 식사공간환경 개선해야	173	2	86	80	5	['다이어트', '다이어트']	['일전', '미국', '예방', '잡지', '자연', '건강', '잡지', '가구', '배치도', '체중', '영향', '주거', '환경', '개선', '선택', '미국', '대학', '다비', '분교', '영양학', '교수', '스탄', '연구', '발견', '습관', '음식', '사발', '사용', '건의', '색', '은색', '황색', '귤색', '사용', '하지', '건의', '색', '식욕', '왕성', '조명', '연구', '발견', '두운', '조명', '긴장감', '하여', '무의식', '식사', '조명', '배치', '하여', '의식', '식사', '음악', '음식', '식사', '할', '음악', '음악', '주감', '천연', '향료', '사용', '하기', '미국', '후각', '미각', '치료', '연구', '회의', '발표', '향료', '사용', '하면', '쾌감', '효과', '음식', '진짜', '미각', '만족', '조건', '허락', '향료', '음식', '미각', '만족']
http://www.iybrb.com/pla/content/2007-01/12/47_86517.html	공간을 환해보이게 하는 벽지선택	156	9	86	48	13	['페인트', '보이', '톤', '파스텔', '톤', '파스텔', '톤', '샘플', '톤']	['벽', '실내', '면적', '공간', '벽', '벽지', '회벽', '등', '사용', '중', '보편', '사용', '벽지', '벽지', '표정', '결정', '역할', '벽지', '선택', '평수', '경우', '공간', '벽지', '선택', '시각', '벽지', '선택', '요령', '벽지', '선택', '할', '선택', '공간', '용도', '분위기', '색상', '벽지', '리용', '하면', '안정감', '감각', '가구', '선택', '벽지', '선택', '자신', '연한', '하늘색', '벽지', '선택', '벽지', '공간', '무난', '장점', '통해', '색상', '실제', '시공', '후의', '색감', '차이', '벽지', '선택', '할', '실제', '단계', '두운', '색상', '선택', '요령', '실내', '색상', '무난', '실내', '가미', '선택', '천정', '벽지', '택', '벽', '색상', '선택', '공간', '안정감', '유지', '종합']
http://www.iybrb.com/pla/content/2007-01/12/47_86519.html	집에서 무공해콩나물기르기	334	3	163	153	15	['캔', '그람', '그람']	['세상', '할지는', '비교', '느낄수', '시중', '판매', '채소', '우려', '농약', '대한', '기간', '내', '직접', '수확', '해서', '실용', '가치', '각종', '영양소', '건강', '식품', '효과', '점', '매력', '가족', '건강', '위해', '직접', '식탁', '주부', '박채', '소개', '일반', '방법', '무공', '방법', '소개', '실내', '키우는것이', '준비', '용기', '종자', '준비', '용기', '일반', '사용', '하기', '음료수', '뚫은것', '유리', '병마개', '부분', '망사', '고정', '주고', '뒤집어세우면', '사용', '준비', '종자', '기계로', '발아', '수공', '타작', '종자', '준비', '씨', '종자', '약', '생체', '종자', '약', '정도', '종자', '잠기', '부분', '남', '정도', '발아', '과정', '필요', '시간', '정도', '두면', '주기', '수도', '필요', '단지', '적당', '시간', '온도', '올려주고', '염소', '기도', '물주', '량', '몸체', '각종', '유기물', '정도', '물의', '온도', '온도', '생장', '속도', '정도', '주지', '생장', '후기', '약', '경과', '후', '나기', '주의', '사실', '기적', '주기', '최소한', '정도', '점심', '식사', '시', '식사', '시', '취침', '전', '환경', '생장', '통', '하지', '동시', '호흡', '생장', '공기', '통', '하지', '하면', '통기', '조건', '나기', '환기', '고려', '하여', '유지', '흑색', '비닐봉지', '재배', '용기', '통', '하여', '공기', '재배', '용기', '면', '대우', '올려놓는것이', '생장', '침종후', '생장', '이후', '생장', '속도', '속도', '기자']
