url	title	TotalKorean	EnglishRoot	ChineseRoot	KoreanRoot	UnknownRoot	EnglishRootList	ChineseRootList
http://www.iybrb.com/soc/content/2007-09/18/21_46838.html	지금이 또 하나의 기회	154	3	99	46	6	['호텔', '보이', '마케팅']	['지금', '창업', '기회', '청도', '진출', '한국', '기업', '난', '도주', '한국', '기업', '조선족', '업체', '조선족', '대한', '우려', '청도', '조선족', '기업인', '협회', '회장', '김명', '남씨', '지금', '창업', '기회', '주장', '시작', '하여', '음식점', '등', '사업', '성공', '청도', '조선족', '기업인', '협회', '초대', '회장', '청도', '조선족', '기업', '한국', '기업', '패', '김명', '남씨', '이기', '주장', '의미', '김명', '남씨', '한국', '경제', '가', '한국', '악', '청도', '진출', '조선족', '기회', '지금', '청도', '잘나가고있는', '조선족', '기업', '당시', '한국인', '기업', '인수', '당시', '한국', '기업', '렴가', '인수', '사례', '창업', '정답', '하면', '기회', '청도', '진출', '세대', '취직', '자체', '사업', '구상', '진출', '충고', '한국', '기업', '관리', '기술', '전략', '소성', '청도', '특파', '기자', '허강']
http://www.iybrb.com/soc/content/2007-09/26/21_46587.html	《연변은 나의 제2고향 연변의 일은 곧 나의 일》	339	0	228	102	9	[]	['연변', '고향', '연변', '연변', '파견', '상무', '사업', '도', '사업', '해온', '중앙', '직부', '패', '박사', '봉사', '단', '성원', '란', '천산', '연변', '대한', '자신', '감정', '연변', '인민', '자신', '감동', '자신', '변인', '중앙', '직부', '패', '박사', '봉사', '단', '성원', '주', '파견', '란', '천산', '연변', '무국', '부국', '직', '활약', '적극', '고도', '창의', '사업', '방식', '연변', '사업', '주', '대상', '건설', '일련', '난제', '연변', '발전', '위해', '지혜', '기여', '주', '상무', '사업', '대상', '건설', '위해', '자신', '정열', '훈춘', '변경', '경제', '합작', '구가', '다년', '관리', '체제', '문제', '하여', '상무부', '제정', '관련', '혜택', '정책', '향수', '상황', '료', '해한', '란', '천산', '친히', '연구', '해당', '정책', '연구', '토대', '차례', '중앙', '해당', '부문', '훈춘', '변경', '경제', '합작', '구의', '관리', '체제', '문제', '해결', '하기', '위해', '노력', '노력', '문제', '해결', '훈춘', '변경', '합작', '발전', '전망', '무한', '란', '천산', '연변', '생활', '연변', '대해', '각별', '관심', '연변', '동북', '서도', '정품', '제시', '다년', '선전', '연변', '지명도', '지역', '실정', '이기', '연변', '품위', '연변', '대외', '적극', '선전', '표', '연변', '상무부', '종업원', '식당', '소개', '연변', '북경', '지명도', '인지도', '층', '물건', '시련', '연변', '인정', '층', '홍보', '과정', '단계', '연변', '국외', '향', '적극', '선전', '홍보', '하여', '연변', '국제', '품위', '표', '중앙', '파견', '박사', '봉사', '단', '성원', '봉사', '단련', '단', '란', '천산', '하', '주인공', '자태', '연변', '자신', '연변', '발전', '자신', '도', '책임', '간주', '하여', '봉사', '단련', '국가', '상무부', '직전', '란', '천산', '연변', '재능', '발휘', '무대', '제공', '하여', '자신', '감동', '연변', '인민', '연변', '고향', '향후', '계속', '하여', '연변', '발전', '지지', '사진', '기자']
http://www.iybrb.com/soc/content/2007-10/25/21_46863.html	기여를 인생의 락으로 삼고	396	5	273	107	11	['호텔', '골', '나이트클럽', '메터', '호텔']	['민족', '리사', '경리', '사회', '대한', '기여', '인생', '락', '삼고', '사회', '하여', '기여', '사회', '가수', '연변', '위생', '학교', '졸업', '병원', '간호원', '집단', '대한', '기여', '정신', '그녀', '실무', '찬', '단위', '실무', '병원', '녀', '위원회', '체위', '활약', '본', '병원', '위생', '계통', '문체', '오락', '사업', '군', '역할', '발휘', '본인', '련속', '시', '대가', '수로', '선발', '단위', '창업', '택', '그녀', '보따리', '사를하다가', '룡', '성진', '문화', '오락', '중심', '부진', '결손', '대외', '공개', '임대', '그녀', '모험', '친척', '친우', '권고', '노력', '임대', '금', '후', '문화', '오락', '중심', '임대', '그녀', '경영', '룡', '성진', '문화', '오락', '중심', '개업', '경험', '미숙', '그녀', '식당', '혼례', '청', '일체', '실체', '기', '고객', '요구', '만족', '주기', '최선', '노력', '그녀', '투자', '하여', '평방', '오락', '쎈터', '고품격', '종합', '봉사', '쎈터', '상', '반년', '투자', '하여', '식당', '혼례', '청', '객방', '회의실', '등', '각종', '기능', '구전', '종합', '성실', '체인', '민족', '창업', '경영', '성공', '사회', '기여', '자신', '포부', '얼마간', '실현', '감회', '그녀', '그녀', '창업', '사회', '하여', '기여', '초과', '세금', '관리', '납부', '정리', '실업', '종업원', '취업', '대기', '청년', '등', '군체', '하여', '기여', '그녀', '종업원', '채용', '할', '군체', '우선', '위로', '채용', '지금', '그녀', '여명', '종업원', '채용', '기본', '군체', '그녀', '종업원', '보살펴주기에', '정성', '시기', '봉사', '쎈터', '선로', '회갑', '무상', '혼례', '청', '사용', '한', '동시', '회갑', '차려주었다', '후', '선로', '류', '행성', '출혈', '연변', '병원', '호송', '자기', '내', '식당', '복무', '원전', '모의', '부친', '차사', '고로', '병원', '입원', '치료', '그녀', '사회', '상의', '열성', '다한', '화룡', '중', '빈곤', '학생', '방광', '남', '서화', '대리', '학부모', '졸업', '할', '방광', '남학생', '북경', '대학', '서화', '학생', '연변', '대학', '무난', '입학', '그녀', '교원', '각종', '대회', '운동회', '선후', '하여', '그녀', '기업', '선후', '문화', '선진', '단위', '모범', '기업', '주', '시', '치안', '관리', '선진', '단위', '위생', '선진', '단위', '모범', '위로', '표창', '그녀', '자신', '주', '시', '우수', '경영', '영예', '획득', '기자']
http://www.iybrb.com/soc/content/2007-05/30/21_46576.html	《왕청은 나의 고향》	709	4	440	244	21	['라지오', '네트', '뻐스', '찬가진']	['부', '현장', '파견', '단련', '공회', '국제', '련락', '부', '부장', '장', '명화', '사업', '수요', '하여', '파견', '단련', '기한', '결속', '소식', '군중', '중', '기관', '간부', '백성', '장', '화가', '파견', '전달', '하지도', '표현', '장', '명화', '생활', '조건', '소재지', '천리', '국가', '빈곤', '현인', '파견', '파견', '초기', '현', '장', '명화', '구체', '사업', '배치', '주동', '향진', '농호', '현직', '부문', '여개', '기업', '심', '사회', '발전', '인문', '지리', '민', '민속', '등', '료', '기회', '자원', '우세', '투자', '유치', '우대', '정책', '선전', '정부', '도일', '분공', '장', '명화', '현장', '협조', '로동', '사회보장', '로령', '사업', '위원회', '장애', '자련', '합회', '사회', '보험', '등', '부문', '책임졌고', '개', '보험', '회사', '련', '선후', '교육', '위생', '문체', '인구', '계획', '생육', '고발', '인민', '방공', '관광', '서류', '망', '회사', '등', '개', '부문', '책임졌다', '후', '각', '부문', '주관', '지도', '사업', '돌파구', '사업', '중점', '책략', '확정', '참여', '로동', '사회보장', '부문', '도시', '주민', '의료', '보험', '공상', '보험', '각항', '사회', '보험', '사업', '층', '추진', '전', '성', '의료', '보험', '범위', '사업', '정부', '표창', '로동', '사회보장', '현', '종합', '사업', '선진', '단위', '표창', '장애자', '련합회', '주동', '성과', '주', '장애', '자련', '합', '회의', '지지', '쟁취', '여명', '빈곤', '백내장', '환자', '무료', '백내장', '수술', '적십자', '회', '국가', '성', '주', '적십자', '회', '국제', '자선', '기구', '련계', '자금', '약품', '쟁취', '로령', '사업', '위원회', '사업', '책략', '방법', '모색', '예술', '단', '선후', '동북', '주내에서', '영예', '국가', '령', '사업', '위원회', '표창', '책임', '부문', '사업', '차원', '리기', '위해', '차례', '주관', '부문', '책임자', '성', '주', '관련', '부문', '문항', '자금', '쟁취', '장', '명화', '사업', '항상', '남', '관심', '장', '명화', '신소', '군중', '열정', '접대', '정책', '해결', '즉시', '해결', '사건', '현장', '해결', '정책', '거가', '잠시', '해결', '사건', '상세', '해석', '접대', '군중', '중', '여명', '다년', '해온', '해결', '하지', '한', '부녀', '가정', '형편', '중', '학', '잡비', '장', '명화', '자신', '호주머니', '그녀', '주고', '관련', '부문', '지시', '하여', '책임지고', '부분', '해결', '가두', '한', '남성', '뇨독증', '구', '하기', '위해', '재산', '팔고', '자신', '신장', '기증', '사실', '장', '명화', '부부', '사연', '감격', '해하면서', '기부', '형식', '적십자', '장애인', '빈곤', '정리', '실업', '종업원', '자신', '절약', '사무', '경비', '재정난', '부문', '자신', '공금', '전화', '료금', '한번', '결제', '하지', '현', '혈액', '고가', '소식', '혈액', '채집', '차', '의무', '헌혈', '여명', '동포', '관광', '경내', '강', '추락', '명', '사망', '기타', '동포', '부상', '당시', '위생', '사업', '책임진', '구급', '사업', '전개', '구급차', '실려', '동포', '안고', '구급', '실로', '오후', '부상', '동포', '전부', '배치', '후', '총', '점심식사', '구급', '사업', '사후', '처리', '사업', '배치', '동포', '만족', '표', '국가', '성', '주의', '긍정', '장', '명화', '사업', '직책', '매일', '일정', '정', '한번', '시간', '부모', '뇌졸증', '앓고있었지만', '사업', '부모', '여세', '장인', '장모', '할', '대신', '출장', '외출', '파견', '간부', '외손자', '중', '입학시험', '사업', '숙소', '량', '부모', '안부', '전', '학습', '정황', '자신', '남편', '사업', '가정', '선택', '후회', '사업', '우선', '선택', '월말', '전', '파견', '단련', '사업', '소식', '계속', '하여', '고수', '환송', '할', '고향', '장', '명화', '후', '인민', '산천초목', '고향', '마', '발전', '위해', '소임', '고', '본사', '기자']
http://www.iybrb.com/soc/content/2007-06/06/21_46817.html	함박꽃뿌리재배로 치부 꿈 꾼다	134	7	81	43	3	['헥타르', '헥타르', '헥타르', '헥타르', '헥타르', '헥타르', '헥타르']	['룡정', '시', '덕', '신향', '전봉', '촌', '룡정', '장백산', '약재', '기지', '재기', '치부', '룡정', '시', '덕', '신향', '정부', '룡정', '장백산', '약재', '기지', '투자', '전봉', '촌', '생산', '기지', '장백산', '약재', '기지', '직접', '재배', '호', '농가', '재배', '동시', '묘목', '주', '한주', '농민', '제공', '기술', '지도', '책임질', '회수', '하기로', '계약', '농민', '심어', '수입', '올릴수', '수입', '올릴수', '동시', '농민', '장백산', '약재', '기지', '기지', '가', '부업', '하여', '외지', '로무', '수입', '올릴수', '덕', '신향', '정부', '해당', '책임자', '향', '재배', '약재', '재배', '업', '산업', '발전', '전망', '기자', '통신원', '구미']
http://www.iybrb.com/soc/content/2007-06/12/21_46819.html	뿌리깊은 나무 잎이 무성하다	304	5	119	162	18	['호텔', '폼', '고스', '헥타르', '헥타르']	['대조', '광경', '무송', '년', '번', '참지', '자식', '공부', '시내', '간', '방', '정도', '갖추어놓고', '세상', '호기', '자식', '학비', '면목', '친구', '광경', '한', '무송', '출을', '연', '도록', '하여', '영위', '적지', '훈춘시', '마천', '향', '포태', '촌', '중', '금년', '해외', '무송', '출에', '문화생활', '갈망', '해외', '무송', '출로', '얼마간', '자기', '대상', '물색', '대상', '와중', '묘리', '터득', '규모', '농업', '정부', '농업', '격려', '정책', '적성', '대상', '농촌', '농사일', '였던것이다', '농업', '종사', '할', '결심', '규모', '농사', '도리', '번', '농기', '부근', '농민', '유', '휴지', '도급', '수입', '농업', '기계', '종기', '이앙기', '수확', '기', '등', '각종', '농기구', '구전', '만원', '투자', '금년', '년', '지계', '금년', '초봄', '불량', '기후', '감안', '하여', '등', '제반', '농사', '차비', '농사철', '금년', '풍작', '불순', '하여', '계절', '농사', '차비', '역시', '간', '비용', '기계', '일로', '무성', '법', '신심', '기자']
http://www.iybrb.com/soc/content/2007-06/06/21_46821.html	기회는 준비된자에게만 찾아온다	319	4	123	173	19	['택시', '오픈', '메뉴', '살아남을수']	['한국', '로무', '생활', '준비', '고향', '후', '장백산', '단지', '서쪽', '창왕', '개업', '수입', '올리고있는', '철수', '부부', '기회', '준비', '고', '합성', '공장', '월', '평균', '로임', '생활', '철수', '부부', '공장', '시장경제', '충격', '파산', '변두리', '로임', '내줄수', '업', '여의', '치가', '할', '자식', '공부', '철수', '친척', '친우', '서', '한국', '건축', '현장', '덕', '년', '후', '한국', '로무', '생활', '부부', '보면', '생', '해도', '고향', '할', '지탱', '기술', '고향', '가', '창업', '하기로', '항목', '중', '고향', '창업', '항목', '철수', '부부', '비법', '장악', '창업', '자금', '고향', '부부', '시장조사', '장백산', '단지', '서쪽', '창왕', '창왕', '개업', '후', '왕솥', '원인', '한국', '비법', '사로잡았던것이다', '인기', '등', '년', '연변', '체류', '한', '한국인', '식당', '보고', '고향', '요구', '해도', '무료', '인심', '고객', '지금', '주', '유일', '특허', '신청', '할', '타산', '남', '해서는', '신조', '가격', '음식', '맛볼수', '창왕', '식당', '철수', '부부', '기자']
http://www.iybrb.com/soc/content/2007-06/18/21_46822.html	기관간부로부터 양돈업주로	204	3	93	101	7	['헥타르', '메터', '메터']	['기관', '사업', '안정', '직업', '사양', '업', '택', '돈화', '송강', '림', '승', '창업', '고행', '남편', '송강', '림', '개', '장백산', '특종', '사양', '경영', '도급', '승', '친구', '남', '거래', '기관', '사업', '고생', '사서', '선의', '승', '굽힐수', '사양', '보수', '후', '승', '장백산', '특종', '구입', '산', '잡고', '창업', '결코', '구입', '가', '남지', '가족', '양돈', '업', '권고', '승', '산동성', '하북성', '등지', '가', '양돈', '기술', '건실', '승', '만원', '투자', '건축', '면적', '각기', '평방', '평방', '창고', '재건', '도급', '구역', '병균', '침습', '방지', '정성', '지극', '하면', '노력', '음력설', '기간', '해도', '상자', '판매', '하여', '수입', '현재', '승', '명의', '정리', '실업', '취업', '사양', '기자']
http://www.iybrb.com/soc/content/2007-06/18/21_46824.html	한 시골녀의 치부의 길	187	4	86	95	2	['메뉴', '골', '메뉴', '메뉴']	['진의', '조선족', '식당', '업주', '씨', '비법', '항상', '소문난', '두부', '점', '경영', '수입', '해외', '동풍', '타고', '한국', '이국', '향', '귀향', '후', '창업', '위해', '음식', '비결', '고향', '가산', '음식점', '개업', '개업', '초기', '불경기', '극복', '하기', '위해', '대학', '시험', '세상', '하직', '해도', '지켜주지', '노력', '대가', '영업', '호황', '음식점', '특색', '문진', '리용', '하여', '식탁', '작심', '전문', '고추장', '개발', '인기', '문진', '안도', '연길', '소문', '문진', '식당', '음식', '업', '한국', '해서가', '한식', '법', '비결', '터득', '하기', '해서였다', '개업', '조선족', '음식점', '한국', '음식', '연변', '음식', '결합', '격의', '만원', '수입', '현재', '자산', '만원', '기자']
http://www.iybrb.com/soc/content/2007-06/19/21_46825.html	취업난…창업으로 뚫는다	216	12	129	65	10	['인터넷', '사이트', '인터넷', '컴퓨터', '컴퓨터', '컴퓨터', '컴퓨터', '디자인', '사이트', '서비스', '인터넷', '사이트']	['취업', '한파', '정부', '기관', '사업', '단위', '대기업', '취직', '비현실적', '감안', '대', '대졸', '생', '자체', '창업', '세대', '운영', '도전', '던지고있다', '대학', '이어질것이라는', '책', '일상', '삼고', '대학입시', '위해', '분투', '대학', '졸업', '후', '취직', '하여', '무작정', '배낭', '소주', '향', '심수', '가', '한국', '기업', '취직', '인재', '문전', '유명', '기업', '단위', '각', '문턱', '상대', '회사', '선택', '회사', '중요', '사무', '책임졌고', '회사', '운영', '관리', '식', '후', '회사', '사직', '자체', '전자제품', '공장', '대', '사장', '변신', '과학기술', '발전', '산업', '궐기', '시대', '대학생', '리용', '상상', '펼칠수', '무한', '공간', '기회', '연변', '대학', '농학', '초', '흥취', '졸업', '기전', '전업', '황금', '나선', '회사', '판매', '회사', '한경', '본격', '판매', '제작', '제작', '등', '기술', '리용', '각종', '제공', '태원', '북경', '등지', '무역', '광고', '회사', '현재', '운영', '학문', '국가', '통일', '배치', '취직', '시대', '지금', '대학', '취직', '하기가', '대졸', '생', '자체', '창업', '선택', '장', '설화', '기자']
