url	title	TotalKorean	EnglishRoot	ChineseRoot	KoreanRoot	UnknownRoot	EnglishRootList	ChineseRootList
http://www.iybrb.com/pla/content/2011-05/16/47_86808.html	약효도 풍부한 밥상우의 보약—봄나물	433	35	192	185	21	['비타민', '비타민', '비타민', '그람', '칼슘', '콜린', '콜레스테롤', '비타민', '칼슘', '그람', '칼슘', '밀리', '그람', '린', '밀리', '그람', '밀리', '그람', '비타민', '비타민', '밀리', '그람', '비타민', '밀리', '그람', '밀리', '그람', '비타민', '비타민', '비타민', '칼슘', '비타민', '그람', '해먹', '샐러드']	['계절', '시장', '야생', '등', '쏟아져나와', '향', '전', '해주고있다', '활동량', '조량', '단백질', '무기질', '향', '가', '식욕', '의', '경우', '가', '동의보감', '혈압', '강하', '해열', '진정', '두통', '숙취', '효험', '기록', '위장', '통한', '대개', '식물', '염증', '식욕', '증진', '효과', '식욕', '위장', '소화', '기능', '면역', '증강', '효과', '성인병', '예방', '속병', '악창', '항암', '항', '효과', '채소', '단백질', '철분', '식품', '향', '여', '성분', '간장', '활동', '촉진', '간', '기능', '회복', '리', '산', '혈관', '수치', '성인병', '예방', '효과', '동의보감', '간', '고', '가에', '향', '미각', '가', '체내', '합해', '배출', '된장', '등', '음식', '편', '식단', '음식', '빈혈', '간장', '기능', '개선', '동맥경화', '예방', '효과', '방', '애엽', '애호', '황초', '등', '국화', '철분', '등', '무기질', '필', '요량', '섭취', '가', '감기', '예방', '치료', '체질', '산성', '효과', '리뇨', '진정', '해열', '진통', '월경', '불순', '등', '효험', '용', '리용', '최근', '항암', '피로', '회복', '효능', '산채', '왕', '순이', '어린', '순', '차례', '채취', '채소', '비해', '단백질', '섬유질', '함량', '단백질', '구성', '아미노산', '조성', '여', '식품', '방', '당뇨병', '신장염', '위궤양', '등', '약재', '위장', '약제', '두통', '타박상', '효과', '성질', '혈액', '순환', '촉진', '근육', '관절', '요통', '두통', '등', '효과', '기관지염', '인후', '염', '등', '장복', '하면', '효과', '당', '의', '복용', '하면', '타박상', '즙', '내서', '효과', '위장', '질환', '효과', '종기', '향', '만성', '위장', '질환', '생잎', '효과', '종기', '종합']
http://www.iybrb.com/pla/content/2011-05/16/47_86807.html	안동간고등어 한손	346	3	156	180	7	['만나', '잽이는', '잽이의']	['한국', '경상북도', '안동', '당지', '음식', '안동', '간', '해왔다는', '리', '선생', '지리', '보아', '안동', '경상북도', '중앙', '위치', '륙', '지방', '해산물', '상인', '위해', '간', '한', '공급', '안동', '간이', '통', '간', '영덕', '출발', '동의', '장터', '도착', '안동', '남은', '십리', '간', '왕', '뿌려진', '안동', '자연', '숙성', '포장', '실려오면서', '물기', '안동', '도착', '할', '육질', '간이', '배게', '소작농', '가정', '태', '난', '리', '선생', '교문', '한번', '행', '상단', '장터', '등', '왕', '군대', '후', '전', '팔면', '수입', '간', '소망', '선', '홍색', '간', '일수', '퇴근', '하면', '남아', '둔', '간', '보', '주인', '작업장', '보', '주위', '리', '선생', '잔', '점차', '성품', '성심', '남', '적극', '도', '리', '선생', '보면', '중량', '매번', '오차', '량', '리', '선생', '염장', '료리', '구워진', '간', '한', '리', '선생', '지금', '건강', '고려', '하여', '전통', '재래', '물전', '간', '비교', '하면', '염도', '현저', '염도', '등', '생선', '핵산', '함유량', '생선', '특', '유의', '화해', '창', '설명', '료', '해한데', '안동', '국내', '시장', '국외', '시장', '적극', '진출', '지난', '북경', '중국', '발전', '협회', '안동', '중국', '합작', '공장', '설립', '하기로', '약정', '국화', '기자']
http://www.iybrb.com/pla/content/2010-08/08/47_86803.html	자연적으로 익은 과일 고르는 방법	141	2	51	81	7	['골', '제로']	['시장', '판매', '각양각색', '이목', '중', '타지방', '일부', '영양가', '자연', '지방', '관건', '우선', '계절', '본', '지방', '생산', '농산물', '지방', '생산', '영양가', '손실', '보선', '처리', '할', '필요', '오염', '비교', '기억', '원칙', '보고', '고려', '자연', '례컨대', '보편', '충족', '환경', '색갈', '생신', '판단', '향', '향', '촉매', '향', '고려', '비교', '품종', '인공', '자연', '비교', '하여', '종합']
http://www.iybrb.com/pla/content/2009-04/22/47_86770.html	손쉽게 할수 있는 봄나물 료리	119	0	25	94	0	[]	['된장', '재료', '된장', '법', '후', '물기', '된장', '재료', '개', '초', '간장', '간장', '식초', '법', '수염', '후', '물기', '후', '반', '간장', '식초', '초', '간장', '초', '간장']
http://www.iybrb.com/pla/content/2009-04/22/47_86772.html	봄나물 어떻게 먹어야 맛과 영양 살릴수 있을가	472	4	128	328	12	['고스', '비닐', '비타민', '올리브']	['조리', '영양', '란', '상차림', '향', '시작', '등', '밥상', '건강', '번', '식단', '색', '후', '두면', '조리', '영양', '손실', '향', '번', '행', '구고', '우려', '후', '조리', '번', '량', '료리', '하지', '준비', '료리', '할', '고유', '향', '위해', '시간', '핵심', '조리', '향기', '느낄수', '한지', '포장', '랭동고', '두면', '보관', '죽', '등', '응용', '가능', '채소', '단백질', '함유량', '진', '초록', '검', '응용', '료리', '죽', '등', '잡티', '담가', '두면', '생으로', '배게', '매력', '갈라지는것이', '간장', '된장찌개', '된장국', '향', '식욕', '향', '만인', '초고추장', '기도', '담고', '간이', '고루', '무치', '두면', '차례', '주어', '조리', '담가', '별미', '산나물', '왕', '헹군후', '초고추장', '향', '별미', '무치', '가', '사과', '어린', '순은', '된장국', '할', '향기', '식욕', '은', '노란색', '할', '직전', '특유', '각거리', '느낄수', '생채', '리용', '향', '살릴수', '생', '생굴', '식초', '식욕', '증진', '생선', '매운탕', '재료', '향', '느낄수', '추리', '어린', '순', '오일', '추리', '향기', '향', '추리']
http://www.iybrb.com/pla/content/2009-04/22/47_86771.html	천연조미료로 우리 음식의 고유한 맛을	122	5	81	29	7	['호텔', '세미나', '세미나', '메뉴', '세미나']	['연변', '조선족', '전통', '료리', '협회', '한국', '대구', '보건', '대학', '조리', '학과', '필', '교수', '초청', '하여', '춘기', '조리사', '실무', '강습', '개최', '전통', '음식', '기본', '사용', '중점', '내용', '식', '재료', '관리', '개발', '등', '대해', '리론', '실기', '합해', '강의', '필', '교수', '음식점', '음식', '개성', '인공', '조미료', '음식', '고유', '인공', '조미료', '대신', '조미료', '내야', '함', '강조', '직접', '한식', '료리', '조리법', '양파', '등', '우려', '조미료', '시범', '해보', '주내에서', '한식', '업', '종사', '업주', '주방', '조리사', '여명', '이번', '참석', '외식', '문화', '차례', '교육', '현장', '찬사', '사진', '연화', '기자']
http://www.iybrb.com/pla/content/2009-04/22/47_86773.html	주부의 장보기 원칙	125	8	68	42	7	['마트', '지퍼', '팩', '팩', '팩', '팩', '마트', '체크']	['야채', '일주일', '한번', '야채', '일주일', '한번', '사서', '랭', '보관', '보관', '잎채소', '생으로', '사용', '품질', '산다', '생선', '한번', '산다', '생선', '주일', '주일', '분량', '사서', '랭', '보관', '용도', '별로', '보관', '요령', '랭동', '두면', '변질', '담아', '사용', '야채', '두면', '량', '조리', '경우', '하지', '량', '소량', '담아', '장보기', '목록', '작성', '광고지', '확인', '사야', '목록', '적어', '가야', '물건', '사지', '주말', '랭장', '일요일', '장', '위해', '토요일', '랭장고', '건어물', '통조림', '료리', '음식', '남', '재료', '음식']
http://www.iybrb.com/pla/content/2009-04/01/47_86769.html	겨울옷 보관요령	274	13	112	137	12	['노하우', '아이디어', '스웨터', '티셔츠', '랩', '타월', '스타킹', '스카프', '넥타이', '폴리에스테르', '나일론', '비닐', '비닐']	['옷장', '하기', '수납', '요령', '정리', '구겨지지도', '보관', '의류', '수납', '층층', '보관', '경우', '공간', '방식', '보면', '입기도', '대신', '옷장', '공간', '활용', '번', '접어', '두면', '편리', '부분', '모양', '통', '호일', '등', '남은', '심', '등', '섬유', '별로', '보관', '모자', '등', '보', '관할', '공간', '리용', '상자', '화장품', '상자', '등', '활용', '한', '방법', '모양', '상자', '모아', '상자', '부분', '상자', '수납', '상자', '완성', '품목', '별로', '보관', '흠집', '사용', '공간', '별', '보관', '수납', '할', '하면', '습기', '통풍', '섬유', '상', '소재', '등', '의류', '수납', '할', '면', '소재', '의류', '재일', '경우', '신문지', '보관', '하면', '리지', '공간', '하지', '보통', '비해', '습기', '습기', '합성섬유', '면', '모직', '중간', '습기', '비단', '등', '보관', '하면', '세탁소', '씌워오는', '습기', '의류', '보', '관할', '사용', '하면', '방습', '효과', '종합']
http://www.iybrb.com/pla/content/2009-05/20/47_86777.html	외식보다 집에서 식사해야 할 리유	187	7	111	61	8	['버터', '크림', '칼로리', '인테리어', '서비스', '메뉴', '메뉴']	['성분', '염려', '식당', '기본', '위해', '재료', '사용', '재료', '설탕', '조미료', '등', '대부분', '료리', '하면', '내', '대부분', '통제', '할', '즉', '인지', '량', '조절', '식당', '가면', '량', '조절', '하지', '대개', '리', '유로', '과식', '량', '조절', '절약', '식당', '음식', '음식', '지불', '점', '명', '식당', '공간', '사용', '료', '기타', '등등', '지불', '대개', '경우', '실제', '음식', '지불', '장', '본', '재료', '음식', '음식', '원가', '비용', '지불', '음식', '재료', '질', '청결', '도를', '염려', '할', '필요', '식당', '경우', '음식', '재료', '질', '청결', '도를', '보장', '청결', '도', '비용', '절감', '위해', '재료', '리', '한정', '건강', '외식', '고를수', '식당', '종류', '무한', '료리', '하면', '항상', '계획', '통해', '식단', '하기', '내', '제한', '음식', '음식', '섭취', '할', '능동', '사고', '결과', '식사', '습관', '점', '명', '종합']
http://www.iybrb.com/pla/content/2009-05/20/47_86775.html	하늘하늘 원피스로 여름을 시원하게	275	53	95	109	18	['원피스', '디자인', '원피스', '로맨틱', '시폰', '원피스', '원피스', '라인', '시폰', '원피스', '시폰', '원피스', '리본', '포인트', '보이', '원피스', '프린트', '원피스', '원피스', '니트', '매치', '시폰', '원피스', '디자인', '프릴', '디자인', '섹시', '스타일', '블라우스', '원피스', '로맨틱', '원피스', '디자인', '이미지', '미니', '원피스', '매치', '미니', '원피스', '미니스커트', '원피스', '재킷', '재킷', '매치', '원피스', '레깅스', '매치', '원피스', '원피스', '샌들', '패션', '원피스', '원피스']	['대비', '녀성', '필수', '의류', '장점', '여유', '체형', '신체', '단점', '가려주면서', '녀성', '분위기', '연출', '점', '품목', '녀성', '대화', '시켜줄수', '소재', '이면', '녀성', '입고', '순위', '살려주는데', '제격', '타고', '자연', '부분', '원색', '공단', '주면', '열풍', '계속', '전망', '벌', '연출', '롱', '등', '하면', '녀성', '소재', '안이', '비치', '하기', '위해', '신축', '넣어주었는데', '감촉', '느낄수', '류행', '부분', '단', '부분', '성함', '녀성', '동시', '느낄수', '부분', '달아주고', '넣어주어', '인기', '강조', '소녀', '의', '녀성', '등', '유혹', '어린', '소녀', '품목', '동시', '추구', '선', '청바지', '품목', '청', '류', '하면', '출의', '부담', '찬', '공기', '류행', '품목', '하면', '연출', '분위기', '선택', '부분', '예정', '을', '입고', '녀', '도전', '기자']
http://www.iybrb.com/pla/content/2009-05/20/47_86776.html	향수로 상큼하고 시원한 여름향기를	264	7	120	124	13	['스커트', '스커트', '올려주는', '보디', '쇼핑', '테스트', '발라']	['매력', '향수', '용법', '향수', '부위', '피부', '직접', '귀', '체온', '상대방', '전', '효과', '절대로', '위해', '향수', '사용', '하지', '향수', '단', '단', '뿌려주면', '향기', '우', '효과', '향기', '지속', '향수', '향기', '할', '손수건', '리용', '향수', '손수건', '옷장', '향수', '향기', '할', '향수', '향기', '부채', '리용', '부채', '할', '향기', '정말', '향수', '사용', '방법', '향기', '향수', '주변', '외출', '시', '최소', '향기', '느낄수', '매력', '향수', '사용', '비결', '향수', '향수', '향기', '사용', '기본', '향기', '화장품', '후각', '용도', '계절', '고려', '하여', '전문가', '계속', '할', '경우', '향', '개', '이상', '향', '판매원', '취향', '용도', '대한', '상의', '자신', '성분', '용기', '직접', '향', '자신', '피부', '직접', '향', '등', '피부', '한', '증발', '제품', '선택', '향수', '보', '관할', '직사', '광선', '피해', '보관', '향수', '역시', '화장품', '년', '이상', '보관', '경우', '색', '향', '개봉', '후', '사용', '기자']
http://www.iybrb.com/pla/content/2009-04/22/47_86774.html	상큼한 봄나물로 입맛을 찾아라	260	10	106	134	10	['보이', '호르몬', '비타민', '비타민', '비타민', '비타민', '칼슘', '비타민', '제로', '비타민']	['계절', '원기', '하여', '전신', '노곤', '춘곤', '증세', '반대', '보통', '증세', '기기', '위해', '부신피질', '분비', '소모', '진', '만일', '생활', '되찾아주는', '춘곤', '예방', '하기', '선조', '지혜', '생명력', '향기', '무기질', '신진대사', '춘곤', '특유', '내면', '역할', '등', '급', '식품', '인체', '감초', '역할', '무기질', '성분', '산나물', '추리', '등', '산나물', '등', '특유', '향', '섬유소', '다량', '엽록소', '함유', '특유', '성분', '혈액', '순환', '촉진', '감기', '치료', '랭증', '치료', '효과', '복통', '자궁', '출혈', '증상', '개선', '효과', '생리통', '치료', '상처', '지혈', '효과', '성질', '혈액', '순환', '촉진', '근육', '관절', '요통', '두통', '등', '효과', '기관지염', '인후', '염', '등', '장기간', '복용', '하면', '효과', '약간', '매력', '주로', '조리', '의', '손실', '식초', '된장국', '식품', '기자', '천지', '시장', '산나물', '장식', '장', '화기']
