url	title	TotalKorean	EnglishRoot	ChineseRoot	KoreanRoot	UnknownRoot	EnglishRootList	ChineseRootList
http://www.iybrb.com/civ/content/2016-12/08/27_54834.html	눈이 내리는 날에는	546	6	151	361	28	['고스', '릴', '택시', '핀', '테스트', '고스']	['무성', '계절', '욕심', '주면', '생기', '대자연', '숙명', '안고', '란', '창가', '염', '염', '감정', '맞고싶었다', '잠시', '보아', '세상', '염', '다가오는것도', '출근', '복', '입고', '만송', '기분', '이외', '맞고싶었던', '방금', '전의', '순간', '출근길', '한편', '하기에도', '어불성설', '현실', '허구', '용기', '객관', '아집', '잠시', '미련', '순간', '행복', '간혹', '욕망', '추억', '잡고', '욕망', '한', '실제', '본', '은', '절대', '현실', '적도', '욕망', '현실', '실현', '용왕', '매진', '가령', '욕망', '지금', '남', '문단', '상도', '상', '영광', '현혹', '내겐', '욕망', '다가갈수', '노력', '장벽', '상황', '허위', '적거', '수만', '기만', '자기', '과오', '느낄수', '가로수', '붕우', '전선', '도로', '승용차', '차', '파란', '전선', '내려앉', '거부', '차량', '출근길', '자기', '역시', '출근길', '주은', '욕망', '란', '나도', '내', '욕망', '욕심', '탐하려는', '욕망', '남', '느껴질지는', '대자연', '내', '욕심', '욕망', '가려', '버리고싶었다', '내', '가증', '탐', '심', '욕심', '사회', '부조리', '나도', '욕망', '보게', '정원', '해도', '보', '내', '욕망', '잠든것', '욕심', '욕망', '독자', '감명', '읽을수', '인민군', '환호', '내', '추억', '상처', '치유', '사회', '만들어가며', '유혹', '미련', '추운', '목마', '맞고싶다', '추장', '맞고싶다', '한번', '맞고싶다']
http://www.iybrb.com/civ/content/2016-12/08/27_54836.html	비방울이 되여서 (외 2수)	183	1	37	133	12	['클로버']	['창가', '유리창', '여긴', '끌어져', '창가', '선', '당신', '당신', '눈동자', '남아', '은', '내', '계절', '몇번', '당신', '미소', '축복', '당신', '추억', '한', '금방', '시', '한수', '초록', '서쪽하늘', '귤빛', '시내', '내', '귀', '기울여주던', '추억', '지금', '추억', '두운', '할', '초연', '흙탕물']
http://www.iybrb.com/civ/content/2016-11/24/27_54831.html	락엽을 밟으며	534	2	175	330	27	['하모니', '파티']	['락엽', '계절', '해도', '과언', '작별', '고하', '락엽', '용기있게', '락엽', '락엽', '세월', '일가', '단풍', '생', '락엽', '폭', '신한', '장식', '락엽', '정취', '선사', '단풍', '락엽', '색칠', '지금', '준비', '락엽', '긴', '시간', '인내', '대자연', '희생', '버텨가는', '락엽', '강', '해보인다', '락엽', '락엽', '원동력', '락엽', '통해', '준비', '위해', '락엽', '락엽', '계절', '행복', '도취', '간혹', '단풍', '운치', '하기', '장렬', '준비', '계절', '정취', '숲속', '락엽', '숲속', '락엽', '락엽', '세월', '세상', '도록', '소슬', '락엽', '지면', '시절', '추억', '선사', '자신', '희생', '영양분', '약속', '일생', '선사', '생', '락엽', '남지', '리', '추억', '락엽', '편지', '일가', '락엽', '은근', '나도', '자연', '리별', '답', '락엽', '작일', '마', '찬', '락엽', '갈색', '강', '지친', '순이', '계절', '지난', '락엽', '락엽', '담겨있을지', '사연', '락엽', '찬', '내', '상상', '남지', '자취', '사연', '내', '인생', '결코', '락엽', '풍물', '여가', '인생', '시간', '자기', '인생', '락엽', '자신', '시절', '감지', '정돈', '향기', '색', '진', '락엽', '보면', '재롱', '사탕', '포장', '단풍', '락엽', '순리', '이겨내고', '이겨내고', '단풍', '일생', '단풍', '락엽', '보면', '자신', '내', '인생', '자연', '계절', '생명력', '부어', '채색', '생명력', '생명', '락엽', '과연', '위해', '자기', '자신', '희생', '생명', '탄생', '위해', '락엽', '자연', '섭리', '숙연', '일가', '락엽', '내', '내', '시계', '락엽', '세월']
http://www.iybrb.com/civ/content/2016-03/17/27_54719.html	참새고기 (외 4수)	210	0	66	134	10	[]	['인간', '귀', '동네', '다산', '산', '향기', '바람소리', '구속', '인간', '동네', '공론', '귀', '목련', '목련', '모자', '미소', '여행', '향', '청소', '도찰', '우주', '귀', '은행나무', '가고', '미소', '별', '호수', '공원', '보련', '다언', '정리', '서서', '행인', '부산', '항', '업고우주가', '안내', '파도', '정', '바다해', '비단', '인간', '미운', '낡아지게', '영등포', '공원', '파란', '문자', '모양', '꾸려진', '동네', '모과나무', '감탕나무', '침해', '청소', '별', '건강', '행인', '금방', '귀', '상하', '정지', '분수', '자세', '목욕', '대기']
http://www.iybrb.com/civ/content/2016-03/17/27_54721.html	한 애견녀의 씁쓸한 반전	676	18	225	384	49	['패션', '마이너스', '메이크업', '밍크', '슈나우저', '메터', '포스', '서커스', '이미지', '모멘트', '보일', '모멘트', '바이러스', '바이러스', '이란', '슬로건', '스키', '슈나우저']	['첫인상', '편이', '근거', '극도', '혐오', '성격', '인지', '첫인상', '대해', '선', '고집', '그녀', '요점', '종합', '결정', '이건', '내', '기준', '지금', '당장', '무대', '도를', '요염', '함', '공주', '고갈', '끙끙대면서도', '그녀', '인상', '계기', '애견', '녀', '실체', '자택', '순종', '당시', '임신', '내', '할', '순', '자괴', '정도', '산책', '미용', '매일', '일상', '매달', '한번', '향수', '내심', '상팔자', '비춰졌었다', '와중', '파보', '만난', '그녀', '파보', '난', '그녀', '남편', '난', '풍', '남자', '당초', '느껴지지도', '혈통', '덕', '인걸', '주인', '기도', '편', '준걸', '주', '완치', '부활', '소식', '치료', '지불', '문화', '지역', '미국인', '찰', '정도', '애견', '녀', '그녀', '단연', '조차', '그녀', '률', '느껴졌다', '그녀', '란', '단지', '비교', '불가', '존재', '수도', '내', '첫인상', '정치', '편견', '수도', '반성', '기여', '기도', '그녀', '견', '고', '속물', '질문', '시장', '대답', '순간', '내', '그녀', '식성', '모양새', '변모', '그려졌다', '그녀', '고집', '미아', '방지', '존재', '비춰지지', '그녀', '소독', '사진', '파보', '전쟁', '파보', '일단', '문제', '답', '차', '질문', '대답', '성격', '지기', '싶은게', '가', '병원', '파보', '난', '이상', '출근', '청소', '집어', '원래', '그녀', '대답', '삿된', '반전', '가족', '출근', '그녀', '그녀', '존재', '대한', '불요불굴', '집착', '격하', '공감', '견종', '주인', '보면', '행위', '대해', '절대', '리해', '소위', '그녀', '평등', '인정', '편애', '일수', '치가', '인간', '지구', '존재', '대해', '설명', '개죽', '애교', '풍년', '들도', '혈통', '인간', '점', '견종', '당신', '시간', '정성', '주인', '대한', '충성', '표시', '편이', '표시', '건', '래서', '불구', '진짜', '차이점', '재롱', '무시', '혈통', '불구', '의', '차이', '단지', '가식', '그녀', '책임', '글자', '락서', '남아있다', '전', '한번', '권고', '내', '척', '척', '배신']
http://www.iybrb.com/civ/content/2016-03/31/27_54726.html	사 랑 (외 1수)	103	2	31	65	5	['렌즈', '메시지']	['문', '가눈은', '호수', '은밀', '담아', '끓고신', '매', '육신', '연', '필', '련', '습장', '령감', '다가설은', '련', '습장', '타고', '련습장', '종소리', '래일', '식단', '계획', '순서', '필', '책', '기록', '정돈', '일상', '존재', '리', '유이']
http://www.iybrb.com/civ/content/2016-03/24/27_54723.html	부서진 욕심	583	6	222	326	29	['트럭', '람', '인돌', '골', '타르', '메터']	['욕심', '소문', '자기', '페지', '남', '절호', '기회', '하지', '여생', '횡재', '기회', '동네', '지방정부', '도로', '호의', '토지', '가옥', '일부', '점', '주변', '쌍', '정도', '년전', '지은', '평방', '가옥', '도로', '건설', '계획', '지방정부', '토지', '보상금', '동네', '농호', '합의', '십년', '단층', '도시', '주변', '사고', '외', '별로', '생계', '갈만', '보상금', '차려질', '판이', '하여', '동네', '농호', '횡재', '귀', '가', '정도', '차례', '진', '토지', '보상금', '이사', '할', '기한', '기전', '시내', '촌', '사고', '이사', '욕심', '평생', '남', '상', '욕심', '기회', '리용', '하면', '부자', '기회', '일이', '평생', '오십이', '벌', '재간', '절대로', '상우', '결정', '소위', '빠질줄', '지방정부', '유관', '부문', '관원', '차례', '지방정부', '농호', '리익', '절대', '수호', '정부', '결정', '사정', '사정', '척도', '요구', '보상금', '주지', '할', '막무가내', '관원', '번', '축', '색바랜', '철기', '인', '승용차', '대가', '문밖', '승용차', '칫', '내', '정부', '관원', '문', '번', '문', '정부', '보상금', '해당', '규정', '최고', '표준', '드리는것', '내', '몇번', '농민', '사고', '평생', '살란', '이우', '재간', '내', '제기', '금액', '기전', '최선', '다한', '협조', '정부', '관원', '후', '대의', '불도', '지게차', '등', '중장비', '차량', '파고', '난리', '할', '정부', '관원', '심치', '도로', '설계되', '매일', '여생', '부자', '행세', '젖어있을', '도로', '점차', '형태', '도로', '동네', '직선', '피해', '시작', '총', '정부', '해당', '부문', '정부', '관원', '별수', '설계도', '설명', '반년', '후', '고속도로', '방불', '차로', '포장도로', '시내', '칠', '한', '도로', '내면', '세상', '할', '도로', '지면', '량', '정도', '대도시', '번', '방불', '별', '등불', '주위', '비춰주었다', '도', '차량', '끌어지듯', '시내', '외자', '기업', '경제', '합작', '구', '도로', '헐', '단층', '망망', '대해']
http://www.iybrb.com/civ/content/2016-03/24/27_54725.html	인생 도화지	397	3	166	201	27	['그린', '박스', '록']	['종종', '백색', '도화지', '칠색', '어린시절', '반원', '모양', '자연', '준', '폭', '선물', '대신', '도화지', '중학교', '통학', '친구', '타고', '빨간색', '파란색', '노란색', '자전거', '경이', '빨간색', '자전거', '보면', '동산', '노란색', '자전거', '보면', '책가방', '매일', '색상', '자전거', '타고', '친구', '친구', '자전거', '색상', '자전거', '대한', '갈망', '어린시절', '불혹', '색상', '선호', '집착', '작년', '남편', '상자', '여', '순간', '기대', '빗나감을', '남편', '결코', '색상', '남편', '의문', '의', '꼬리표', '아보', '결혼', '후', '백색', '도화지', '고', '남편', '과연', '결혼', '하여', '지금', '남편', '색상', '백색', '도화지', '남편', '성의', '우선', '옷장', '내', '옷장', '내', '색상', '색상', '내', '상', '색상', '대해', '편견', '내', '만일', '내', '주입', '하여', '입지', '색상', '보고', '나도', '두운', '색상', '입기', '시작', '두운', '색상', '색상', '주지', '발견', '우선', '단어', '사전', '정의', '대기', '원형', '색갈', '실제', '색상', '색', '분할수', '색', '만일', '색상', '보고', '감동', '환호', '자연', '인간', '단지', '등', '황', '청', '남', '자색', '자신', '색상', '자신', '색상', '고집', '내', '색상', '단지', '리', '유로', '접촉', '내', '원인', '애가', '고민', '적도', '내', '내', '선입견', '백색', '도화지', '색상', '색상', '내', '색상', '쫓아왔던것', '세상', '색갈', '조화', '칠색', '색갈', '인생', '도화지', '갈수']
http://www.iybrb.com/civ/content/2016-03/24/27_54724.html	초록빛서정 (외 3수）	197	1	55	131	10	['솟아있고']	['초록빛', '초록', '눈동자', '초록', '춘삼월', '생명', '희망', '초록', '초록', '령혼', '초록빛', '고모', '부활', '욕망', '안겨주는', '초록', '초록', '천사', '세상', '파란', '불가항력', '초록빛', '만리', '오신다기에', '오신다기에', '연분홍', '연지', '초롱', '아란', '방석', '오매불망', '약속', '동구', '다산', '밥상', '이내', '파아란', '여산', '산이기에', '강', '강', '이기', '이기', '연분홍', '세상', '채화', '사하게', '하지', '필줄', '하지', '섭리', '오고', '지면', '지면', '여서']
http://www.iybrb.com/civ/content/2016-03/31/27_54727.html	황새들의 욕심(외 1수)	201	1	54	138	8	['베일']	['공장', '박아', '실어', '소음', '건물', '개천', '기여', '자존심', '작년', '해도', '식구', '물의', '저력', '보고긴', '시간', '계천', '긴', '계천', '하천', '파고', '번지', '일상', '어가', '정', '가가', '공장', '개천', '중심', '소음', '개천', '호적', '종', '점', '페트병', '파도', '가라', '착각', '해서', '허기', '지금', '산산이', '표적', '만물', '파도', '만끽', '하지', '해변', '수체', '만난', '세월', '유람', '할', '기회', '페트병']
