url	title	TotalKorean	EnglishRoot	ChineseRoot	KoreanRoot	UnknownRoot	EnglishRootList	ChineseRootList
http://www.iybrb.com/sport/content/2016-06/11/35_68238.html	박태하: "패배 빨리 잊고 다음 경기 준비할것"	92	6	43	35	8	['팀', '라운드', '팀', '팀', '팀', '팀']	['경기', '기자회견', '감독', '결과', '선수', '원정', '최선', '최선', '선수', '수요일', '대', '하남', '건업', '원정', '경기', '가', '패배', '경기', '준비', '감독', '지난', '경기', '상대', '대한', '연구', '연변', '경기', '위해', '준비', '자신', '특점', '전술', '관철', '후반전', '비교', '경기', '순간', '운', '승리', '고', '사진', '리', '기자']
http://www.iybrb.com/sport/content/2016-06/11/35_68239.html	연변팀 원정서 0대1로 천진팀에 석패	532	59	301	144	28	['팀', '올림픽', '슈퍼리그', '라운드', '팀', '팀', '팀', '팀', '벤치', '니콜라', '세네갈', '스트라이커', '디', '패스', '팀', '팀', '패스', '팀', '팀', '디', '키퍼', '슛', '팀', '팀', '팀', '벤치', '올린', '헤딩', '팀', '팀', '키퍼', '슛', '니콜라', '팀', '팀', '사르', '팀', '팀', '팬', '팀', '패스', '팀', '팀', '디', '슛', '팀', '팀', '팀', '올린', '헤딩', '팀', '팀', '키퍼', '슛', '니콜라', '팀', '팀', '팀', '팬']	['연변', '천진', '중심', '경기장', '중국', '원정', '경기', '경기', '상대', '범백', '번', '수비', '선수', '결승', '대', '경기', '연변', '포', '내', '최', '전방', '부상', '선수', '복귀', '선수', '배치', '지난주', '활략', '합류', '선수', '석', '수비', '충국', '선수', '리', '호걸', '선수', '수비', '진', '계속', '문', '선수', '최후', '방', '꼴문', '지문', '일이', '개인', '능력', '여', '번', '전방', '서우', '장거리', '연변', '수비', '진의', '경기', '시작', '동시', '연변', '상대', '밀어', '리훈선수', '선수', '상대', '수비', '강슛', '문대', '후', '분간', '상대', '치렬', '접전', '동권', '쟁탈', '연변', '경기', '상대', '선수', '대', '상황', '창조', '선수', '막아내며', '위기', '모면', '각각', '실점', '위기', '쌍방', '후', '조심', '경기', '전반전', '대', '사', '후반', '시작', '연변', '감독', '충국', '선수', '리호', '선수', '투입', '선수', '대신', '최인', '선수', '투입', '후반전', '동권', '경쟁', '다소', '연변', '경기', '지난', '한국', '국가', '경기', '체력', '선수', '석', '대기', '선수', '투입', '전략', '구상', '효과', '수가', '변선', '선수', '위협', '장면', '연출', '역시', '선수', '상대', '수비수', '강슛', '연변', '경기', '득점', '기회', '창조', '상대', '선방', '무산', '변선', '공격', '조직', '후보', '투입', '수비수', '범백', '선수', '선수', '로선', '변경', '연변', '꼴문', '경기', '순간', '불운', '결정', '타', '감독', '후', '연변', '투혼', '동점', '만회', '적극', '남은', '시간', '연변', '원정', '극히', '패배', '한편', '명의', '관중', '입장', '경기장', '명', '연변', '축구', '원정', '관람', '석', '경기', '열띤', '응원', '사진', '리', '기자', '경기', '시작', '연변', '상대', '밀어', '상대', '수비', '강슛', '문대', '후', '분간', '동권', '쟁탈', '이어가던', '연변', '경기', '상대', '지문', '일과', '대', '상황', '위험', '처', '지문', '일이', '위기', '모면', '쌍방', '이후', '조심', '경기', '전반전', '대', '후반', '시작', '연변', '감독', '충국', '대신', '리호', '대신', '최인', '투입', '후반전', '동권', '쟁탈', '다소', '연변', '경기', '지난', '한국', '국가', '경기', '체력', '대체', '전략', '구상', '효과', '최인', '변선', '선수', '상대', '위협', '역시', '선수', '상대', '수비수', '강슛', '상대', '선방', '무산', '변선', '공격', '조직', '후보', '투입', '수비수', '범백', '선수', '선수', '로선', '변경', '연변', '꼴문', '경기', '순간', '불운', '결정', '타', '감독', '후', '연변', '동점', '만회', '패', '면치', '명', '연변', '축구', '경기장', '열띤', '응원', '리', '기자']
http://www.iybrb.com/sport/content/2016-05/30/35_68224.html	국가대표팀 선수간의 합작이 승리로···	332	44	169	91	28	['슈퍼리그', '라운드', '팀', '팀', '팀', '감비아', '팀', '슛', '슛', '슛', '팀', '팀', '팀', '팀', '슛', '팀', '팀', '팀', '팀', '팀', '팀', '옐로카드', '팀', '패스', '바르셀로나', '팀', '팀', '패스', '팬', '드리블', '패스', '패스', '키퍼', '라운드', '컴백', '팀', '팀', '패스', '포지션', '플레이', '팀', '포인트', '패스', '키퍼']	['오후', '중국', '연변', '부덕', '이하', '부덕', '대', '이하', '간의', '경기', '부덕', '한국', '선수', '한국', '선수', '선수', '맹활약', '입어', '대', '대승', '통계', '경기', '부덕', '차', '범위', '차', '범위', '반면', '차', '범위', '차', '범위', '차수', '보면', '경기', '결과', '부덕', '절대', '우세였다', '범위', '차수', '부덕', '차', '차로', '부덕', '이외', '통계', '수치', '부덕', '우세', '경기', '치렀다는것을', '증명', '즉', '부덕', '상대편', '차단', '차수', '부덕', '차단', '성공', '차수', '부덕', '차', '반칙', '부덕', '차', '차로', '반칙', '후방', '압력', '부덕', '부덕', '장', '장', '압력', '증명', '풍격', '경기', '시종', '나간', '부덕', '재치', '위치', '선정', '흥분', '윤빝가람', '단독', '침투', '일품', '공간', '동물', '감각', '대방', '수비수', '실점', '허락', '실로', '감탄', '명', '선수', '묵계', '합작', '지난', '경기', '선수', '공격', '주입', '출현', '부덕', '공격', '선', '개인', '돌파', '효과', '위치', '이동', '보충', '반면', '대인', '방어', '작용', '속도', '특점', '돌격', '출현', '하여', '터뜨린것이다', '이후', '자신', '속도', '리용', '하여', '개인', '돌파', '과감', '시도', '기회', '부덕', '공격', '다양해지지', '감독', '불참', '감안', '위주', '구사', '공격', '축구', '구사', '결과', '성공', '후방', '안전', '보강', '할', '만약', '지문', '표현', '결과', '장담', '전방', '의', '대인', '압박', '방어', '전체', '압박', '방어', '기자']
http://www.iybrb.com/sport/content/2016-04/01/35_73520.html	전 주 축구팬들에게 드리는 발기문	225	24	145	54	2	['팬', '슈퍼리그', '팬', '팬', '팬', '팬', '팬', '팬', '팬', '팬', '팬', '팬', '팬', '팀', '홈팀', '팀', '팬', '팬', '팬', '슈퍼', '팬', '팬', '팬', '팬']	['전', '주', '축구', '연변', '부덕', '축구팀', '중국', '연변', '축구', '고향', '응원', '연변', '부덕', '축구팀', '응원', '연변', '축구', '열정', '문명', '친선', '민족', '결의', '영광', '전통', '구현', '쾌락', '문명', '조화', '분위기', '조성', '하기', '위해', '연변', '축구', '협회', '장', '호랑이', '축구', '구락부', '추구', '축구', '구락부', '축구', '구락부', '전', '주', '축구', '창의', '복장', '통일', '축구', '관람', '연변', '축구', '은색', '축구', '응원', '복', '은색', '의복', '건의', '함성', '통일', '구역', '관람', '대의', '축구', '협회', '지휘', '통일', '지휘', '복종', '배합', '하여', '응원', '문명', '관람', '축구', '경기', '관람', '할', '박수', '격려', '심판원', '원정', '선수', '욕', '하지', '물품', '원정', '차량', '가로막', '공격', '하지', '경기', '리지', '대하', '문명', '축구', '두지', '축구', '경기', '관람', '할', '가급', '회수', '소지', '경기', '난후', '자기', '주변', '정리', '건의', '해바라기씨', '식품', '경기장', '연변', '축구', '중국', '리그전', '차례', '원정', '경기', '경기장', '두지', '전국', '인민', '인상', '남겨주었다', '전체', '축구', '일심동체', '재차', '연변', '축구', '형상', '수립', '연변', '축구', '풍채', '과시', '하자', '연변', '축구', '협회']
http://www.iybrb.com/sport/content/2016-03/31/35_68099.html	박태하감독의 희망가,16년만의 슈퍼리그 홈경기	275	29	157	65	24	['시즌', '프로축구', '리그', '챔피언', '슈퍼리그', '리그', '컨디션', '올린', '시즌', '라운드', '팀', '아시아', '리그', '리그', '클래식', '리그', '챔피언', '리그', '페널티킥', '그룹', '메인', '스폰서', '라인업', '브라질월드컵', '브라질', '슈퍼리그', '팬', '세르비아', '뉴미디어']	['조선족', '구성', '연변', '부덕', '지난', '중국', '갑', '부', '등', '부', '진입', '안방', '부', '경기', '상대', '중국', '전통', '북경', '안이', '체력', '훈련', '일본', '가고시마', '제주도', '서귀포', '실전', '감각', '감독', '연변', '초반', '안정', '유지', '적지', '성적', '패', '승점', '순위', '주목', '할', '필요', '가능성', '확인', '상대', '전부', '막강', '전력', '상해', '신화', '강소', '자금', '지난', '이적', '시장', '강소', '축구', '련맹', '조', '부', '전북현대', '신흥', '강호', '연변', '상해', '신화', '강소', '원정', '패', '갑', '득점', '실축', '하지', '승점', '도', '바라볼수', '현지', '평가', '중국', '유력', '보험', '기업인', '부덕', '한화', '투자', '단행', '광주', '항', '강소', '상해', '항', '상해', '신화', '북경', '등', '예산', '비교', '감독', '한화', '선수', '명', '중국', '중국', '묘', '특징', '광주', '항', '대만', '선수', '보유', '전체', '조직', '균형', '연변', '경쟁력', '자신', '북경', '전력', '감독', '지휘봉', '토이기', '국가대표', '국가대표', '등', '객관', '전력', '보면', '비교', '감독', '희망', '분위기', '수년', '력사', '승리', '조선족', '덕분', '입장권', '감치', '매진', '상해', '원정', '전치', '개월', '부상', '중앙', '수비수', '출전', '하지', '수비', '정비', '하면', '만하', '필승', '의지', '외신', '연변', '일보', '부', '편집']
http://www.iybrb.com/sport/content/2016-05/25/35_68211.html	[축구전망대]"너"를 잡아야 "내"가 산다	317	40	163	99	15	['팀', '팀', '팀', '라운드', '시즌', '슈퍼리그', '팀', '슈퍼리그', '슈퍼리그', '시즌', '라운드', '라운드', '팀', '팀', '슈퍼리그', '팀', '팀', '록', '팀', '팀', '팀', '팀', '슈퍼리그', '팀', '팀', '팀', '록', '팀', '라운드', '팀', '옐로카드', '레드카드', '페널티킥', '홈팬', '홈팬', '팀', '팀', '팀', '슈퍼리그', '살아남을수']	['감독', '연변', '부덕', '이하', '연변', '은', '지난', '하북', '원정', '경기', '의', '경기', '현재', '승', '패', '순위', '연변', '신군', '맛보고있다', '이번', '주', '토요일', '중기', '사투', '본격', '시작', '토요일', '오후', '연변', '경쟁자', '연길시', '인민', '경기장', '사활', '전', '경기', '대', '경기', '연변', '무조건', '승전', '경기', '현재', '순위', '하위', '점수', '차이', '장춘', '아태', '항주', '연변', '산동', '중경', '단', '승전', '여부', '강등', '할', '가능성', '상황', '연변', '위해', '작전', '시점', '사실', '개', '억', '잔류', '실현', '산동', '제외', '력사', '실력', '절대', '연변', '억', '가야', '할', '상대', '장춘', '아태', '항주', '중경', '이번', '대결', '한편', '강등', '장춘', '아태', '한국', '감독', '리', '임명', '련속', '점', '상승세', '대', '승리', '승전', '절박', '승전', '후', '지금', '승리', '최근', '득점', '단', '지난', '대', '광주', '항', '팀전', '대부분', '주전', '출전', '대', '연변', '팀전', '준비', '경기', '대한', '필승', '의지', '강등', '사활', '전인', '등', '판정', '속출', '할', '가능성', '경기', '절대', '지지', '응원', '기선', '제압', '부정', '판정', '절대', '연변', '선수', '역시', '판정', '대응', '능력', '도덕', '규정', '행위', '절대', '전체', '압박', '심판', '판정', '영향', '주기도', '연변', '무조건', '경기', '부담', '존재', '하기', '부담']
http://www.iybrb.com/sport/content/2016-05/23/35_68206.html	리철감독 “연변팀은 특별한 팀, 기전술능력이 좋다”	126	10	63	43	10	['팀', '팀', '팀', '팀', '팀', '팀', '팀', '팀', '팀', '팀']	['감독', '연변', '전술', '능력', '경기', '기자회견', '하북', '감독', '기전', '선수', '연변', '경기', '경기', '지난', '경기', '경기', '원정', '경기', '선수', '체력', '등', '면', '선수', '노력', '감사하고', '선수', '감독', '의도', '관철', '승점', '점', '고', '연변', '전술', '능력', '상상', '초월', '교오', '자격', '자본', '경기', '현재', '하북', '분위기', '고', '연변', '감독', '기자회견', '경기', '대해', '영향', '일부', '요소', '대해', '심기', '선수', '상병', '여부', '대해', '부상', '주', '경기', '기자']
http://www.iybrb.com/sport/content/2016-05/27/35_68216.html	숨막히는 혈투…연변팀 승리로 막을 내려	134	13	55	51	15	['팀', '페널티킥', '슈퍼리그', '라운드', '패스', '팀', '팀', '팀', '페널티킥', '팀', '패스', '팀', '파티']	['연변', '선수', '선수', '선수', '각각', '만회', '대', '제압', '오후', '연길시', '인민', '경기장', '중국', '경기', '전반', '선수', '선제', '기선', '제압', '선수', '선수', '추가', '전반전', '연변', '파상', '공세', '전반전', '연변', '대', '앞선', '후반전', '연변', '공격', '심판', '판정', '경기', '판국', '선수', '선수', '리용', '선수', '경기', '기록', '선수', '최우수선수', '선정', '명', '관중', '감독', '생일', '생일', '가', '사진', '리', '기자']
http://www.iybrb.com/sport/content/2016-05/23/35_68207.html	2016 중국 슈퍼리그 제10라운드 경기결과, 순위표	7	2	3	1	1	['슈퍼리그', '라운드']	['중국', '경기', '결과']
http://www.iybrb.com/sport/content/2016-05/26/35_68214.html	5월 28일 연변팀 홈장경기 교통관제 취소	102	8	75	15	4	['슈퍼리그', '라운드', '팬', '팀', '슈퍼리그', '라운드', '팀', '팀']	['오후', '연길', '인민', '경기장', '중국', '축구', '대', '경기', '교통', '관제', '취소', '구락부', '측은', '이번', '경기', '선', '구역', '안전', '검사', '구역', '제외', '기타', '구역', '자동차', '드나들수', '축구', '자가용', '차', '운전', '하여', '순서', '경기장', '구역', '진입', '번', '경기', '교통', '관제', '여부', '향후', '통지', '속보', '중국', '축구', '협회', '연변', '부덕', '대', '하북', '경기', '심판', '판이', '승인', '중국', '축구', '협회', '동시', '향', '후의', '연변', '부덕', '경기', '심판원', '선정', '심판', '결과', '한층', '중시', '돌릴것을', '약속', '환경', '제공', '승낙', '연변', '일보']
