url	title	TotalKorean	EnglishRoot	ChineseRoot	KoreanRoot	UnknownRoot	EnglishRootList	ChineseRootList
http://www.iybrb.com/civ/content/2019-10/14/26_376617.html	<추억 속의 소품 한마당> 전통문화의 맥 잇다-연변일보 Yanbian Daily	355	7	208	131	9	['그린', '그린', '라지오', '뉴스', '채널', '프로듀서', '고스']	['일상', '담아', '연극', '문화', '축제', '연변', '무단', '배우', '실감', '치매', '연기', '덕', '자식', '대한', '로년', '부모님', '소품', '동네', '잠시', '등장', '행복', '출연', '배우', '최', '연기', '장내', '지난', '오후', '연변', '무단', '극장', '성황리', '중국', '창건', '기념', '특별', '기획', '추억', '소품', '공연', '소품', '내용', '공연', '고향', '변천사', '서막', '연변', '주제', '한', '배우', '전통', '음식', '통한', '귀향', '창업', '주제', '한', '토장', '등', '작품', '대중', '선', '배우', '채용', '가족', '소품', '산간', '가', '여운', '감동', '편의', '소품', '꾸며진', '공연', '리', '원용', '란', '등', '유명', '연극배우', '출연', '관중', '감동', '선물', '본', '건', '소품', '배우', '소품', '동네', '은', '지금', '현실', '부모', '립', '현장', '김정', '현장', '직접', '공연', '생동', '말로', '무대', '대중', '접근성', '참여', '도를', '높여줄', '무대', '공연', '배우', '토장', '작품', '열연', '연변', '무단', '연극', '부', '원용', '란', '부장', '원용', '란', '부장', '영상', '동시', '생방송', '연무대', '건', '평균', '공연', '해온', '배우', '개', '월간', '준비', '덕', '공연', '전', '관객', '반응', '다행', '접속', '사용자', '공연', '시작', '초반', '명', '확인', '계속', '공연', '기획', '열기', '용기', '준', '공연', '기획', '연변', '조선어', '방송', '종합', '윤일씨', '저조', '문화', '민족', '란', '기록', '준', '민족', '연극', '계속', '발전', '위해', '선', '언론', '역할', '강조', '한편', '중국', '조선족', '문화', '한층', '발전', '보급', '취지', '둔', '공연', '연변', '인민', '방송', '연변', '무단', '공동', '주최', '훈춘시', '예술', '단', '훈춘시', '화관', '문화', '과', '협조', '연길시', '장식', '회사', '협찬', '박', '기자']
http://www.iybrb.com/civ/content/2019-10/11/26_376281.html	훈춘시도서관 홍색문화활동 조직-연변일보 Yanbian Daily	125	0	93	31	1	[]	['훈춘시', '도서관', '중국', '창건', '초심', '사명', '명기', '하자', '홍색', '문화', '교양', '활동', '조직', '활동', '국경절', '경축', '당', '휘황', '려정', '당', '영광', '전통', '작풍', '계승', '고양', '중국', '창건', '헌신', '혁명', '선렬', '리기', '취지', '특강', '한', '류', '성신', '동북', '홍색', '문화', '연구', '발기인', '이자', '동북', '구역', '홍색', '문화', '연구원', '연변', '지방', '사료', '수집가', '연구', '차례', '중국', '길림', '지역', '매체', '발표', '이번', '특강', '청취', '당원', '감촉', '수확', '홍군', '정길', '간난', '신고', '공산당', '심전', '인민', '위해', '봉사', '취지', '대해', '학습', '공산주의', '리', '사명', '인식', '초심', '사명', '명기', '혁명', '선렬', '당', '사업', '위해', '공헌', '할', '소감', '발표', '기자']
http://www.iybrb.com/civ/content/2019-09/27/26_374835.html	룡정∙윤동주연구회 설립 6돐 맞아-연변일보 Yanbian Daily	135	1	96	31	7	['팀']	['룡정', '윤동주', '연구', '회', '이하', '룡', '윤회', '가', '설립', '연변', '대학', '교장', '당위', '선전', '부', '부부', '등', '사회', '각계', '지명', '인사', '룡', '윤회', '임원', '여명', '지난', '회고', '사회', '단체', '향후', '방향', '대해', '탐구', '지난', '윤동주', '고향', '룡정', '설립', '지역', '사회', '배출', '문인', '생', '기념', '인물', '전과', '연구', '문집', '출판', '력사', '유적지', '답사', '관련', '특강', '등', '일련', '행사', '초대', '회장', '다과회', '지역', '풍토', '소신', '명감', '안고', '사회', '단체', '민족', '문화', '고양', '일조', '할', '현재', '연변', '지역', '국내', '지역', '대학가', '교수', '전문가', '문단', '작가', '필', '산하에', '전용', '사무실', '력사', '답사', '독서', '회', '둔', '비교', '규모', '단체', '부상', '기자']
http://www.iybrb.com/civ/content/2019-09/27/26_374837.html	디자인전, 연변대학에 바친 성적표-연변일보 Yanbian Daily	422	34	266	102	20	['마크', '대학시절', '디자인', '디자이너', '그릴', '디자이너', '디자인', '아이디어', '디자인', '심플', '디자인', '디자인', '프로그램', '아이디어', '디자인', '아이디어', '로고', '로고', '로고', '마스코트', '로고', '로고', '마스코트', '디자인', '로고', '디자인', '디자인', '디자이너', '디자인', '지로', '디자인', '디자인', '디자인학', '예나']	['중국', '창건', '연변', '대학', '연변', '대학', '미술', '학원', '시각디자인', '학과', '교수', '부교수', '가', '연변', '대학', '미술', '학원', '미술관', '작품', '전시회', '교수', '교수', '인생', '예술', '인생', '년', '유종', '하기라도', '퇴직', '개인', '전시', '작품', '전시회', '연변', '대학', '기념', '경축', '회장', '회장', '설계', '등', '교수', '시각디자인', '작품', '점', '전시', '교수', '연변', '대학', '당위', '부서', '기', '리', '등', '래빈', '작품', '설명', '개막식', '교수', '이번', '전시', '선생', '선생', '선생', '학생', '사회', '대학', '설계자', '소비자', '교류', '할', '고', '교수', '유화', '분야', '섭렵', '미술', '학원', '중앙', '미술', '학원', '한국', '성균관', '대학', '등', '시각디자인', '학과', '경력', '한국', '성균관', '대학', '현재', '한국', '광고', '금남', '교수', '서', '금남', '교수', '최', '교수', '개인', '전시회', '개막식', '참석', '교수', '자신', '력사', '문화', '래일', '의뢰인', '봉사자', '의뢰인', '교수', '자신', '학생', '창의', '생명', '설계자', '각도', '소비자', '각도', '설계', '민족', '특색', '경쟁력', '민족', '요소', '가미', '민족', '정서', '담아', '작품', '각광', '하면', '할', '창의력', '최', '교수', '우선', '실용', '여야', '시각', '향수', '산업화', '경제', '여야', '설명', '교수', '연변', '대학', '연변', '대학', '자치주', '창립', '경축', '활동', '연변', '조선족', '문화', '관광', '길림성', '소수민족', '전통', '체육', '운동회', '등', '여개', '작품', '연변', '대학', '룡', '태양', '향', '연변', '대학', '략칭', '연대', '도안', '형상', '중화민족', '상징', '룡', '태양', '민족', '지역', '상징', '민족', '교육', '발상', '지인', '룡정', '와룡산', '인재', '배출', '등', '요소', '분투', '진취', '화합', '문화', '생명력', '기상', '등', '의미', '함축', '해서', '담은', '지금껏', '사용', '연변', '지역', '국내', '기타', '도시', '해서', '분야', '발전', '작품', '완성', '세련', '도', '기타', '지역', '심', '수준', '대중', '심', '수준', '련관', '교수', '퇴직', '위해', '준비', '현재', '퇴직', '하면', '연변', '정선', '문화', '예술', '유한회사', '간판', '전문', '상업', '용', '작품', '취급', '학부', '생', '실천', '활용', '할', '계획', '세상', '무궁무진', '승부', '시대', '전망', '지금', '이번', '작품', '전시회', '지속', '사진', '기자']
http://www.iybrb.com/civ/content/2019-09/27/26_374832.html	《붉은 바위》 등 홍색경전작품 친필원고 전시-연변일보 Yanbian Daily	201	0	145	56	0	[]	['중국', '문학관', '소장', '홍색', '경전', '친필', '원고', '전시회', '중국', '문학관', '개막', '이번', '전시', '청춘', '창업', '사', '등', '포함', '부의', '홍색', '경전', '작품', '친필', '원고', '전시', '작품', '원고', '복원', '중국', '작가', '시대', '발전', '인민', '중심', '천지개벽', '력사', '기록', '해왔으며', '민족', '부흥', '인민', '행복', '중국', '문학', '자신', '품격', '세워져있었으며', '매', '한편', '홍색', '작품', '한세대', '한세대', '인민', '영웅', '정신', '개막식', '참가', '중국', '작가', '협회', '서기', '부주석', '전소', '홍색', '작품', '친필', '원고', '중국', '민족', '기억', '민족', '정신', '홍색', '작품', '홍색', '작품', '중국', '인민', '투쟁', '반영', '중국', '세대', '령혼', '영향', '홍색', '작품', '친필', '원고', '통해', '시대', '작가', '문학', '사업', '문학', '선배', '살로', '창작', '경험', '할', '독자', '민족', '초심', '감수', '할', '고', '개막식', '초심', '문학사', '기자', '공화국', '창건', '경축', '문학작품', '송회', '가', '초', '조국', '조국', '등', '작품', '중국', '작가', '협회', '기관', '각', '부문', '각', '직속', '단위', '여명', '청년', '사업', '신문학', '기', '청년', '작가', '연수', '반의', '학생', '대표', '랑송됐다', '이번', '전시', '종합']
http://www.iybrb.com/civ/content/2019-09/03/26_371582.html	9월1일, "백산수컵"제3회 중국 조선족 민족무용 표현 시상식 연변대학에서 거행-연변일보 Yanbian Daily	28	1	19	7	1	['컵']	['산수', '중국', '조선족', '민족', '무용', '표현', '시상식', '연변', '대학', '거행', '전국', '각지', '무용수', '편의', '작품', '변주', '부주', '활동', '참가']
http://www.iybrb.com/civ/content/2019-09/25/26_374464.html	제4회 ‘무형문화의 메아리’ 음악회 개최-연변일보 Yanbian Daily	214	1	170	39	4	['라지오']	['조선족', '전통음악', '예술', '층', '보급', '연길시', '문화', '방송', '관광', '주최', '연길시', '조선족', '무형문화재', '보호', '중심', '주관', '연변', '음악가', '협회', '연변', '무단', '교향악단', '연변', '대학', '예술', '학원', '연변', '조선족', '전통음악', '회', '연길시', '음악가', '협회', '협찬', '건국', '무형', '문화', '음악회', '연길시', '조선족', '무형문화재', '산', '보호', '중심', '음악회', '서곡', '관현악', '합주', '청산', '벌', '풍년', '녀성', '독창', '양금', '독주', '중주', '풍년', '대금', '독주', '비류', '해금', '독주', '등', '개', '종목', '현장', '관객', '문화', '향연', '선사', '중국', '조선족', '전통음악', '예술', '유구', '발전', '려정', '세월', '세례', '조선족', '전통음악', '예술', '중국', '민족', '전통음악', '예술', '지위', '시대', '중국', '사회주의', '민족', '문예', '발전', '시대', '요구', '전면', '조선족', '전통음악', '예술', '보급', '중국', '소수민족', '문화', '함', '하기', '위해', '조선족', '전통음악', '문화', '애호가', '요청', '연길시', '조선족', '무형문화재', '보호', '중심', '심혈', '음악회', '개최', '해왔으며', '연길시', '조선족', '무형문화재', '보호', '중심', '설립', '조선족', '전통', '민간', '민속', '문화', '예술', '발굴', '정리', '전승', '발전', '중국', '연변', '조선족', '무형문화재', '전통음악', '문화', '선전', '취지', '조선족', '해금', '조선족', '만담', '과', '재담', '조선족', '농악', '등', '성', '주급', '음악', '류', '무형문화재', '보호', '종목', '성공', '제기', '각', '종목', '보호', '전승', '발전', '사업', '주력', '기자']
http://www.iybrb.com/civ/content/2019-07/17/26_364777.html	세계에서 가장 아름다운 도서관-연변일보 Yanbian Daily	385	23	226	118	18	['클레멘티', '클레멘티', '가이드', '덴마크', '다이아몬드', '아트', '콘서트홀', '가이드', '뉴욕', '뉴욕', '킬로', '메터', '제퍼슨', '가이드', '아일랜드', '트리니티', '보이', '메터', '슈투트가르트', '판테온', '이집트', '알렉산드리아', '알렉산드리아']	['도서관', '내부', '도서관', '책', '장소', '보고', '지역', '특유', '문화', '유명', '기도', '려행', '보면', '지식', '보고답게', '력사', '도서관', '고대', '서적', '유명', '작가', '필사본', '위해', '북경', '대학', '출판사', '간', '세계', '도서관', '세계', '도서관', '소개', '양식', '도서관', '복도', '성당', '방불', '천장', '벽화', '고풍', '건물', '내부', '책', '가고', '고풍', '유명', '도서관', '중세', '필사본', '등', '희귀', '자료', '포함', '책', '소장', '매일', '투어', '보아', '할', '왕립', '도서관', '완공', '도서관', '일명', '건물', '중간', '부의', '유리', '벽', '통해', '건물', '매혹', '도서관', '시공간', '등', '시설', '시민', '한', '토요일', '투어', '미국', '공립', '도서관', '세계', '대', '도서관', '이자', '대표', '도심', '웅장', '대리석', '건물', '박물관', '도서관', '내', '점', '도서', '소장품', '무려', '책꽂이', '피어', '작품집', '독립', '선언문', '자필', '원고', '등', '희귀', '본도', '다수', '소장', '일요일', '제외', '매일', '오전', '오후', '무료', '투어', '도서관', '중세', '기독교', '예술', '주목', '할', '작품', '입장권', '구매', '시공간', '층', '층', '층', '서를', '포함', '고서', '적의', '필사본', '전시', '상단', '사진', '긴', '층', '일명', '긴', '방', '약', '도서', '필사본', '보관', '독일', '도서관', '도서관', '내부', '공간', '대부분', '하얀색', '도시', '분위기', '도서관', '중심부', '공간', '심장', '불리', '우기', '도시', '정신', '구심', '상징', '강조', '로마', '신전', '령감', '현대', '해석', '공간', '건물', '외부', '면', '개', '국어', '도서관', '표시', '북쪽', '독일어', '서쪽', '영어', '남쪽', '아랍어', '동쪽', '한국어', '적혀있다', '도서관학', '문과', '예술', '상징', '세계', '최초', '도서관', '개관', '도서관', '개관', '하기까지', '국가', '참여', '도서관', '외벽', '각', '언어', '문자', '석판', '장식', '현재', '서적', '자료', '보유', '이중', '산재', '지역', '도서관', '수집', '고서', '권', '중세', '주요', '과학', '포함', '종합']
http://www.iybrb.com/civ/content/2019-07/17/26_364759.html	중국아동도서박람회 17일 개막-연변일보 Yanbian Daily	154	1	110	42	1	['브랜드']	['중국', '도서', '박람회', '북경', '일정', '진행', '이번', '박람회', '전시', '도서', '여권', '주최', '이번', '중국', '도서', '박람회', '등', '국제', '도서', '출판', '대거', '참여', '인지도', '박람회', '개', '특색', '구역', '설치', '개', '언어', '여권', '원작', '그림책', '전시', '국제', '그림책', '구역', '폭', '국제', '수상', '삽화', '전시', '국제', '삽화', '전시', '함', '중국', '세계', '책', '동시', '세계', '중국', '책', '하자', '주최', '목표', '실현', '이번', '아동', '박람회', '독', '체험', '목적', '지혜', '미궁', '공장', '등', '구역', '설치', '무대', '공연', '책', '려행', '등', '체험', '활동', '차례', '독', '추천', '활동', '소년', '아동', '여름방학', '문화생활', '의미', '이외', '박람회', '기간', '대중', '중신', '서점', '중국', '외문', '서점', '민족', '등', '여개', '문화', '기구', '직접', '방문', '문화', '서성', '공식', '계정', '통해', '무료', '입장권', '중국', '길림']
http://www.iybrb.com/civ/content/2019-09/26/26_374663.html	《나와 나의 조국》 새 중국 창건70돐 경축 대형 문예야회 개최-연변일보 Yanbian Daily	288	3	186	89	10	['라지오', '온라인', '플랫폼']	['조국', '중국', '창건', '경축', '대형', '야회', '룡정', '극장', '중앙', '통전', '부', '전임', '부부', '국가', '민족', '사무', '위원회', '전임', '주임', '당위', '상무', '위원', '당위', '서기', '강치', '당위', '부서', '기', '주장', '주석', '흥해', '주인', '상무', '위원회', '전임', '주임', '장숙', '등', '로동', '전', '주', '사회', '각계', '대표', '인사', '공연', '관람', '주의', '중국', '창건', '경축', '계렬활동', '대형', '야회', '조국', '우', '중국', '등', '개', '장', '대형', '조국', '과', '합창', '련창', '조국', '창립', '생활', '변강', '비추네', '연변', '인민', '조국', '대한', '축복', '전시', '우', '초심', '등', '개혁개방', '후', '변화', '중국', '대지', '열정', '국제', '가수', '허창', '정서', '오늘밤', '불면', '은', '조국', '대한', '표현', '조국', '위해', '중국', '연변', '인민', '전시', '초심', '노력', '분투', '중국', '실현', '결심', '신념', '전시', '통신', '기술', '운용', '다지', '역', '련결', '시가', '련송', '중국', '연변', '은', '실시간', '화면', '전환', '현장', '화룡', '광동', '촌', '장백산', '천지', '두만강', '강변', '훈춘', '방천', '초소', '등', '개', '회장', '개', '지역', '동시', '랑송표현', '형식', '관객', '통신', '기술', '융합', '발전', '혁신', '돌파', '직접', '전시', '야회', '중국', '관객', '박수갈채', '야회', '국경절', '연변', '위성', '국내', '동시', '방영', '예정', '당위', '상무', '위원', '주인', '상무', '위원회', '정부', '도부', '성원', '주급', '동지', '연변', '대학', '해당', '책임자', '주', '직속', '관련', '부문', '책임자', '공연', '관람', '기자']
