url	title	TotalKorean	EnglishRoot	ChineseRoot	KoreanRoot	UnknownRoot	EnglishRootList	ChineseRootList
http://www.iybrb.com/eco/content/2019-10/15/7_376779.html	윈윈 통해 특색농산물 생산 판매로-연변일보 Yanbian Daily	410	11	274	109	16	['하우스', '하우스', '온라인', '헥타르', '키위', '프로젝트', '오프라인', '온라인', '패키지', '메터', '파트너']	['훈춘시', '시', '봉화', '현대', '농업', '합작', '적극', '추진', '지난', '절강성', '시', '봉화', '구', '일대일', '지원', '대상', '일환', '일부', '농', '특산', '훈춘시', '도착', '봉화', '구', '품종', '장', '홍협', '영안', '진', '촌', '재배', '옮겨져', '장춘', '선씨', '린근', '소문', '재배', '농', '봉화', '구', '모종', '소식', '전', '재정', '비하느라', '지난', '장춘', '선', '기자', '봉화', '구', '훈춘', '지역', '전문가', '재배', '전문', '구성', '단체', '방', '가입', '재배', '호', '단체', '방', '재배', '과정', '문제점', '의문', '점', '제기', '하면', '전문가', '해결', '책', '방안', '제시', '등', '원격', '기술', '지도', '재배', '진행', '전', '전문가', '기술', '지도', '입어', '량', '호해', '생존', '률', '이상', '훈춘시', '재배', '호', '이상', '소득', '증가', '기대', '고', '장춘', '선', '신심', '료', '시', '봉화', '구의', '농업', '전문가', '훈춘시', '농업', '관련', '부문', '기술', '교류', '봉화', '구의', '농업', '전문가', '모종', '보내준', '후', '재배', '기술', '병충해', '퇴치', '등', '농업', '지식', '전수', '실제', '빈곤층', '농사', '봉화', '구', '훈춘시', '농업', '기초', '조건', '밀도', '등', '재배', '대상', '지원', '순차', '추진', '훈춘시', '자원', '활용', '송이버섯', '등', '식용', '균', '재배', '기술', '지원', '훈춘시', '농업', '농촌', '농', '특산', '물의', '합작', '판로', '대상', '착지', '외부', '시장', '개척', '상품', '판로', '확장', '등', '사업', '추진', '훈춘', '농', '특산', '시', '시장', '성공', '진출', '여명', '농', '특산', '기업인', '봉화', '구', '고찰', '농', '특산', '가공', '기업', '봉화', '구', '진출', '협력', '가동', '판매', '판매', '결부', '식', '적극', '구축', '판로', '개척', '훈춘시', '농업', '농촌', '국장', '훈춘', '량질', '인삼', '목이버섯', '등', '농', '특산', '시장', '경쟁력', '우세', '고', '전', '훈춘시', '농업', '농촌', '개', '농', '특산', '가공', '기업', '봉화', '구', '상업', '무역', '유한회사', '현재', '훈춘시', '농산물', '기업', '대다수', '형식', '봉화', '구', '평방', '훈춘', '특산', '매장', '개설', '년', '판매', '만원', '예상', '서부', '협력', '소비', '빈곤층', '사업', '층', '추동할', '전망', '향후', '훈춘', '봉화', '구', '장기', '기제', '유지', '통해', '협력', '추진', '할', '기대', '최복', '기자']
http://www.iybrb.com/eco/content/2019-10/16/7_376910.html	농장주 왕립신, ‘황금알’ 낳는 소형 벼수확기로 재미 쏠쏠~~-연변일보 Yanbian Daily	356	7	198	141	10	['업그레이드', '헥타르', '헥타르', '헥타르', '헥타르', '헥타르', '헥타르']	['기계', '동음', '농장', '책임자', '수확', '기', '수확', '사용', '소형', '수확', '수확', '수공', '수확', '별반', '차이', '품질', '고하', '수입', '증가', '할', '기자', '반', '룡', '산촌', '부근', '망', '무제한', '농호', '수확', '각종', '류형', '수확', '기', '수확', '대형', '수확', '기', '비해', '사용', '소형', '수확', '류', '기자', '농가', '수확', '시작', '자신', '일전', '수확', '시작', '소형', '수확', '기', '수확', '수공', '수확', '수공', '수확', '점', '사업', '능률', '수공', '수확', '소형', '수확', '기', '수확', '사양', '기업', '선호', '전부', '회수', '리용', '함', '작물', '처리', '부담', '고', '왕립', '신은', '기자', '장부', '계산', '할', '대형', '수확', '기', '수확', '필요', '소형', '수확', '기', '필요', '소형', '수확', '기', '수확', '비용', '대형', '수확', '기보', '작물', '작물', '대형', '수확', '기보', '소요', '인공', '비용', '한편', '소형', '수확', '기', '수확', '수공', '수확', '최대한', '영양성분', '보존', '하여', '품질', '대형', '수확', '기', '수확', '벌수', '소형', '수확', '성숙', '후', '건조', '전', '수확', '할', '대형', '수확', '기', '수확', '일간', '랭동', '재해', '수확', '영향', '주어', '농민', '경제', '손실', '할', '왕립', '신은', '토지', '농민', '보물', '제한', '토지', '효익', '내고', '농민', '수입', '증가', '효과', '방법', '산량', '품질', '소형', '수확', '사용', '하면', '정황', '품질', '효과', '할', '고', '시도', '소형', '수확', '기', '수확', '가공', '주문', '전부', '상황', '가격', '대형', '수확', '기', '수확', '년', '농장', '면적', '전부', '소형', '수확', '기', '수확', '할', '예정', '기자']
http://www.iybrb.com/eco/content/2019-10/10/7_376154.html	중고차시장 악세력 제거 사업 전개-연변일보 Yanbian Daily	175	0	144	31	0	[]	['업자', '억압', '등', '행위', '조사', '시장', '감독', '관리', '중고', '자동차', '거래', '시장', '환경', '층', '최적화', '폭력배', '악', '세력', '제거', '투쟁', '심입', '전개', '최근', '주내', '중고', '자동차', '거래', '시장', '악', '세력', '란무', '현상', '대한', '조사', '전개', '집법', '주내', '중고', '자동차', '거래', '시장', '전면', '조사', '중점', '영업주', '영업', '자질', '점검', '범위', '초과', '경영', '여부', '경영', '차량', '종류', '매출', '판매', '행방', '등', '검사', '차량', '상태', '차량', '근원', '거래', '정보', '등', '허구', '조작', '정황', '여부', '폭력배', '악', '세력', '리용', '업자', '억압', '시장', '독점', '행위', '여부', '규정', '어기', '봉사', '비용', '중개', '비용', '수금', '행위', '여부', '조사', '조사', '결과', '현재', '주내', '각', '중고', '자동차', '시장', '영업주', '보편', '신의', '경영', '림', '자률', '가격', '시장', '수호', '시장', '감독', '관리', '폭력배', '악', '세력', '제거', '투쟁', '지속', '전개', '폭력배', '폭력배', '제거', '폭력배', '악', '세력', '제거', '악', '세력', '현상', '정돈', '원칙', '장기', '효능', '기제', '구축', '조화', '안정', '중고', '자동차', '거래', '시장', '환경', '진력', '강화', '기자']
http://www.iybrb.com/eco/content/2019-09/12/7_372756.html	우리 나라 사교육 시장 ‘호황’-연변일보 Yanbian Daily	182	4	113	62	3	['컨설팅', '온라인', '온라인', '스케줄']	['최근', '년', '중국', '부모', '교육', '외국', '자본', '교육', '시장', '투입', '일전', '국내', '한', '매체', '최근', '년', '방과', '후', '사교육', '시장', '집중', '보도', '소개', '지난', '중국', '교육', '개혁', '발전', '통해', '개인', '교육', '시장', '개방', '외국', '자본', '집중', '국내', '교육', '시장', '투입', '하기', '시작', '국제', '학교', '사립학교', '규모', '이상', '개', '경제', '성장', '풍요', '생활', '경쟁', '사회', '현실', '사교육', '시장', '최근', '년', '급성', '부모', '자식', '교육', '나올', '정도', '현재', '부모', '교육', '열정', '현재', '사교육', '시장', '확대', '전망', '최근', '교육', '열풍', '교육', '시장', '규모', '전문가', '보고', '한편', '한', '교육', '회사', '통계', '현재', '인구', '교육비', '전체', '가계', '지출', '비중', '인', '중산층', '가정', '자녀', '방과', '후', '사교육', '핵심', '대부분', '영어', '음악', '미술', '등', '예체능', '교육', '시간', '비용', '지불', '종합']
http://www.iybrb.com/eco/content/2019-09/10/7_372479.html	전국 특색관광상품대회서연길시 추천상품 성과 괄목-연변일보 Yanbian Daily	197	8	160	28	1	['실크', '시리즈', '세트', '시리즈', '미디어', '시리즈', '플랫폼', '포럼']	['지난', '사천성', '락산', '아미', '산시', '중국', '특색', '관광', '상품', '전', '중국', '특색', '관광', '상품', '대회', '연길시', '추천', '상품', '금', '개', '은상', '개', '동상', '개', '대회', '참가', '성적', '대회', '상', '개', '관광', '상품', '연길', '관광', '상품', '대회', '수상한', '상품', '이중', '금', '개', '상품', '각각', '염색', '상품', '유한회사', '제작', '수공', '염색', '예술', '가구', '변장', '백송', '조각', '공예', '미술', '유한회사', '차', '선물', '길림', '정인', '유한회사', '은진', '홍삼', '음료', '이외', '변종', '광고', '유한회사', '제작', '만화', '자동', '차용', '향수', '훈춘', '삼업', '생물', '공정', '유한회사', '인삼', '음료', '은상', '영예', '안고', '장', '건강', '과학기술', '유한회사', '차', '연길', '복림', '실업', '유한회사', '칠기', '목기', '동상', '선정', '료', '해한', '길림성', '이번', '대회', '개', '상품', '출품', '개', '상', '연길시', '추천', '상품', '이중', '절반', '상', '정부', '구축', '기업', '발전', '일조', '취지', '연길', '관광', '상품', '대회', '여개', '관광', '상품', '생산', '관련', '기업', '개인', '여종', '관광', '상품', '발굴', '대회', '평가', '교류', '전람회', '추천', '전문가', '지도', '등', '방식', '통해', '관광', '상품', '기업', '발전', '방향', '제시', '보장', '공함', '연변', '관광', '상품', '사업', '진흥', '기여', '강화', '기자']
http://www.iybrb.com/eco/content/2019-09/12/7_372750.html	심수만(연길)산업육성단지 개원식 연길서 거행-연변일보 Yanbian Daily	246	1	199	37	9	['플랫폼']	['투자', '달해', '연길', '산업', '육성', '단지', '개원', '식이', '연길', '거행', '연길', '산업', '단지', '연길시', '정착', '연길', '심수', '지역', '기업', '상호', '협력', '교류', '통로', '개통', '전국', '각지', '대상', '기술', '자금', '인재', '등', '자원', '접목', '연길시', '인', '입하', '일조', '할', '이번', '행사', '연길', '산업', '단지', '협력', '단위', '투자', '기구', '단지', '진입', '기업', '정식', '계약', '체결', '연길', '산업', '육성', '단지', '리사', '구도', '용의', '소개', '패', '단지', '계약', '체결', '기업', '심수', '북경', '등', '각', '대도시', '여개', '기업', '포함', '교육', '식품', '심층', '가공', '인재', '연수', '투자', '등', '업종', '망라', '도용', '연길', '산업', '성단', '현재', '광동', '향항', '오문', '만구', '심수', '핵심', '혁신', '자원', '창업', '투자자', '연길시', '접목', '성단', '심수시의', '우세', '자원', '자본', '연길시', '인', '연길시', '우세', '대상', '발굴', '하여', '대상', '육성', '가속', '현재', '전국', '각지', '연길시', '신청', '기업', '여개', '고', '연길시', '식품', '의약', '관광', '상업', '무역', '등', '산업', '위주', '중국', '조선족', '민족', '특색', '살기', '관광', '개방', '중심', '도시', '종합', '실력', '전', '성', '현', '시', '련속', '전국', '종합', '실력', '강현', '입선', '연길시', '전국', '과학기술', '혁신', '강현', '전국', '친환경', '발전', '강현', '등', '여개', '국가', '영예', '획득', '이번', '연길', '산업', '단지', '연길시', '정착', '투자자', '연길시', '미래', '발전', '잠재력', '중시', '연길', '산업', '육성', '단지', '투자', '심', '수시', '개', '투자', '기구', '연길시', '정부', '연변', '산업', '단지', '발기', '지역', '기지', '기자']
http://www.iybrb.com/eco/content/2019-09/12/7_372758.html	‘금테크’ 금융시장서 황금빛 발하다-연변일보 Yanbian Daily	513	22	331	151	9	['테크', '테크', '펀드', '테크', '테크', '테크', '골드바', '테크', '골드바', '골드바', '시스템', '포인트', '카드', '테크', '테크', '테크', '골드바', '테크', '골드바', '골드', '펀드', '테크']	['최근', '경기', '둔화', '안전', '자산', '대명사', '금값', '고공', '행진', '금값', '상승', '안전', '자산', '선호', '심리', '금', '투자', '일명', '금', '금', '재테크', '가', '주목', '금', '대한', '지식', '금융시장', '투자', '도리', '손해', '투자', '꺼려하고', '대부분', '심리', '전문가', '불황', '금융', '경제', '지속', '주식', '등', '투자', '금', '등', '안전', '자산', '대한', '비중', '확대', '고', '조언', '지금', '적기', '금', '투자', '과연', '시작', '하면', '지금', '시작', '해도', '주의', '할', '점', '등', '대해', '상세', '지난', '교통', '은행', '연변', '행', '금융', '재테크', '관리', '전문가', '금', '시작', '하면', '보통', '금', '검색', '창', '검색', '금', '방법', '금', '투자', '방법', '금', '시세', '순금', '투자', '등', '련관', '검색어', '나올', '정도', '관심', '실질', '투자', '방법', '대해', '금은', '방', '가', '금', '은행', '내', '황금', '거래소', '식', '경우', '금', '방법', '직접', '금은', '방', '등', '구매', '업체', '거래', '가격', '구조', '경우', '사실', '반면', '은행', '황금', '거래소', '통해', '사면', '수수료', '내야', '대신', '현물', '거래', '할', '경로', '리득', '고', '설명', '상속세', '증여세', '등', '제외', '현금화', '장점', '실물', '금', '직접', '보유', '할', '금융', '붕괴', '사정', '절대', '가치', '보유', '할', '장점', '시중', '은행', '금', '투자', '국제', '금', '시세', '환률', '변동', '통장', '금', '적립', '황금', '적립', '구조', '개설', '하면', '시중', '은행', '적금', '저축', '지금', '시작', '하면', '금', '가격', '상승', '리유', '국제', '형세', '환률', '변동', '등', '미국', '증시', '련방', '준비', '제도', '의', '금리', '인상', '속도', '조절', '국내', '황금', '장량', '황금', '시장', '변동성', '배경', '작용', '고', '전문가', '당분간', '금', '가격', '계속', '금', '이상', '장기', '타산', '지금', '가격', '구매', '해도', '후', '지금', '가격', '강세', '금', '가격', '적정', '상황', '분석', '가격', '대가', '상승', '할', '공간', '지금', '시작', '해도', '가격', '상승', '기대', '만하', '고', '현재', '변화', '국제', '시세', '형국', '전망', '망일', '금', '가격', '변동', '자신', '할', '수익', '비중', '투자', '조언', '안전', '자산', '성향', '투자', '금', '투자', '투자', '수단', '투자', '보조', '투자', '수단', '활용', '의미', '고', '금', '가치', '대해', '설명', '금', '시작', '해서', '무조건', '수익', '발생', '장점', '례', '경우', '장점', '거래', '판매', '시', '부가가치세', '수수료', '가', '발생', '하기', '구매', '당시', '이상', '수익', '발생', '구조', '류', '성향', '금', '무조건', '투자', '하면', '벌', '인식', '현재', '시중', '등', '금', '방식', '투자', '가치', '수익률', '배분', '구도', '각자', '투자', '고', '강조', '최복', '기자']
http://www.iybrb.com/eco/content/2019-09/09/7_372374.html	의약산업과 류통분야 협력 추진-연변일보 Yanbian Daily	277	4	222	46	5	['플랫폼', '플랫폼', '라인', '플랫폼']	['주의', '산업', '공상', '접목', '추진', '합작', '체결', '돈화', '개최', '주의', '산업', '공상', '접목', '추진', '회', '합작', '체결', '식이', '돈화', '이번', '활동', '공업', '정보화', '길림성', '품류', '통', '업종', '협회', '중국', '약물', '협회', '약품', '길림', '위원회', '공동', '주최', '공업', '정보화', '주관', '활동', '당면', '의약', '정책', '산업', '발전', '변화', '적극', '대응', '하여', '주', '약품', '생산', '기업', '판로', '경로', '확장', '층', '동시', '전', '주', '의약', '산업', '전', '성', '약품', '류통', '업종', '교류', '합작', '구축', '하여', '품질', '발전', '촉진', '취지', '추진', '회', '공업', '정보화', '길림성', '품류', '통', '업종', '협회', '공상', '합작', '전략', '협의', '체결', '전', '주', '의약', '산업', '공상', '합작', '봉사', '가동', '주내', '개', '약품', '생산', '기업', '현장', '홍보', '추진', '회', '진행', '길림', '강의', '주식', '유한회사', '길림', '약방', '약주', '유한회사', '구입', '판매', '합작', '협의', '체결', '길림', '항의', '주식', '유한회사', '길림', '약방', '체인', '유한회사', '장춘', '의선', '당대', '약방', '체인', '유한회사', '구입', '판매', '합작', '협의', '체결', '길림', '초환', '의약', '유한회사', '길림', '약방', '약주', '유한회사', '길림성', '약방', '체인', '유한회사', '길림성', '약방', '체인', '유한회사', '구입', '판매', '합작', '협의', '체결', '체결', '길림성', '품류', '통', '기업', '해당', '관계자', '항', '능성', '약', '생산', '작업장', '참관', '한편', '최근', '년', '주', '의약', '산업', '발전', '비교', '산업', '형성', '의약', '장량', '전', '성', '일련', '유명', '기업', '연변', '투자', '흥업', '이번', '활동', '주', '의약', '산업', '공상', '합작', '봉사', '정식', '가동', '자원', '우세', '통합', '의약', '기업', '량질', '봉사', '제공', '주', '의약', '산업', '쾌속', '발전', '실현', '층', '추진', '전망', '최복', '기자']
http://www.iybrb.com/eco/content/2019-09/11/7_372676.html	사탕옥수수 재배로 빈곤호 소득 올려-연변일보 Yanbian Daily	319	3	211	100	5	['메터', '시스템', '메터']	['영안', '진', '가구', '빈곤', '호', '수확', '할', '전망', '훈춘시', '영안', '진', '쌍', '신촌', '빈곤', '호', '의', '촌', '건설', '지도', '당원', '촌', '간부', '촌민', '대표', '도', '사탕', '훈춘시', '농', '재배', '합작', '사', '실어', '려고', '차', '채소', '약', '평방', '전', '감자', '등', '사탕', '소득', '나올', '영안', '진', '사탕', '재배', '뜨락경제', '발전', '빈곤', '호', '소득', '효과', '증가', '사례', '가정', '빈곤', '호', '영안', '진', '훈춘시', '농', '재배', '합작', '사와', '합작', '사', '빈곤', '호', '위해', '사탕', '종자', '재배', '기술', '운수', '차량', '등', '무상', '제공', '조건', '사탕', '회수', '하기로', '대부분', '빈곤', '호가', '한계', '진', '각', '촌', '도급', '단위', '소통', '촌', '건설', '지도', '빈곤', '호', '사탕', '재배', '수확', '구체', '진의', '가구', '빈곤', '호', '사탕', '재배', '수확', '할', '전망', '진', '사탕', '재배', '외', '부대', '랭', '대상', '대상', '부지면적', '평방', '투입', '정상', '가동', '진', '사탕', '대면', '재배', '수확', '집중', '가공', '랭', '저장', '판매', '일체', '운영', '방법', '전격', '실시', '할', '계획', '영안', '진의', '빈곤', '호', '사탕', '재배', '안정', '소득', '보자', '훈춘시', '기타', '향진', '진', '견학', '학습', '년', '빈곤', '호', '사탕', '뜨락재배', '보급', '할', '계획', '훈춘', '시신', '재배', '전문', '합작', '사', '책임자', '곡가', '사탕', '서도', '대가', '특점', '토질', '기후', '등', '감안', '하면', '훈춘', '지역', '재배', '빈곤', '회수', '사탕', '가공', '포장', '북경', '상해', '광동', '등', '지역', '판매', '공급', '상황', '년', '훈춘시', '사탕', '재배', '지속', '보급', '빈곤', '호', '소득', '할', '고', '향후', '계획', '종합']
http://www.iybrb.com/eco/content/2019-09/03/7_371577.html	개인소득세 미납자도 신용불량 블랙리스트에 포함-연변일보 Yanbian Daily	191	7	147	34	3	['리스트', '베이스', '플랫폼', '데터', '서비스', '플랫폼', '인터넷']	['개인', '소득세', '납세', '사회', '신용', '관리', '범위', '포함', '전망', '일전', '국가', '발전', '개혁', '위원회', '청', '국가', '세무', '청', '공동', '개인', '소득세', '납세', '신용', '건설', '관', '통지', '발부', '통지', '개인', '소득세', '신고', '낙제', '전면', '실시', '개인', '소득세', '납세', '신용', '기록', '구축', '건전', '자연인', '신용', '불량', '행위', '인정', '체제', '구축', '등', '면', '개인', '소득세', '납세', '신용', '관리', '체제', '건립', '할', '요구', '세무', '부문', '개인', '소득세', '자진', '납세', '신고', '등', '격식', '표준', '통일', '낙서', '만들어진다', '납세', '기입', '정보', '진실성', '정확성', '완전', '대해', '신용', '동시', '자연인', '납세', '식별', '번호', '표', '하여', '전국', '자연인', '납세', '구축함', '동시', '전국', '공유', '공유', '체제', '구축', '통지', '신용', '기록', '지속', '납세', '대해', '관련', '부문', '편리', '제공', '반면', '법', '위반', '신용', '납세', '대해', '전국', '공유', '관련', '정보', '추송', '법', '련합징벌', '실시', '한편', '국가', '발전', '개혁', '위원회', '집계', '전국', '법원', '발표', '신용', '불량', '집행', '대상자', '명단', '대해', '구매', '제한', '대해', '렬차', '표', '구매', '제한', '연변', '일보', '사업', '부']
