url	title	TotalKorean	EnglishRoot	ChineseRoot	KoreanRoot	UnknownRoot	EnglishRootList	ChineseRootList
http://www.iybrb.com/news/content/2019-11/27/60_382428.html	“중국경제 안정 건전 발전 세계에 유리”-연변일보 Yanbian Daily	168	3	118	47	0	['리나', '인터뷰', '모델']	['총재', '지적', '중국', '경제', '세계', '성장', '동력', '세계', '경제성장', '기여', '상회', '북경', '신화통신', '세계', '경제', '감속', '배경', '중국', '경제', '성장', '합리', '구간', '유지', '세계', '경제', '성장', '원천', '중국', '경제', '안정', '발전', '세계', '일전', '국제통화기금', '총재', '북경', '신화사', '기자', '총재', '우선', '중국', '경제', '언급', '현재', '세계', '경제성장률', '전망', '치가', '최저', '상황', '중국', '경제성장률', '폭', '하락', '목표', '구간', '내', '지적', '총재', '최근', '중국', '정부', '감세', '수수료', '인하', '금리', '조절', '등', '재정', '통화', '정책', '조치', '대해', '인정', '총재', '중국', '공급', '개혁', '추진', '대해', '찬사', '개혁', '현재', '경제', '성장', '장기', '경쟁력', '향상', '고', '강조', '중국', '경제', '세계', '성장', '동력', '세계', '경제', '성장', '기여', '도', '상회', '중국', '경제', '안정', '발전', '세계', '중국', '경제', '점차', '제조업', '위주', '성장', '소비', '서비스업', '주도', '전환', '고', '총재']
http://www.iybrb.com/news/content/2019-11/27/60_382425.html	한국-아세안 특별정상회의 공동성명 발표-연변일보 Yanbian Daily	224	14	174	36	0	['아세안', '아세안', '파트너', '아세안', '아세안', '파트너', '아세안', '비전을', '서비스', '아세안', '아세안', '테로', '아세안', '파트너']	['한국', '특별', '정상', '회의', '공동', '성명', '발표', '형식', '무역', '보호', '주의', '반대', '한국', '부산', '개최', '중인', '한국', '특별', '정상', '회의', '평화', '번영', '관계', '구축', '관련', '한국', '공동', '성명', '발표', '성명', '한국', '전략', '협력', '관계', '한층', '심화', '할', '단합', '평화', '안정', '공동체', '란', '목표', '인간', '본위', '평화', '번영', '공동체', '구축', '할', '항구', '평화', '안정', '실현', '화물', '무역', '교류', '추진', '할', '지적', '각', '정상', '성명', '평화', '방식', '비핵화', '항', '국적', '평화', '실현', '지지', '하기', '위해', '주도', '지역', '협상', '기제', '적극', '활용', '대화', '협력', '추진', '함', '항구', '평화', '안전', '안정', '위해', '기여', '하기로', '상정', '국가', '위해', '건설', '역할', '발휘', '할', '준비', '표', '성명', '형식', '무역', '보호', '주의', '반대', '무역', '투자', '지지', '할', '약속', '발전', '번영', '추진', '지역', '발전', '격차', '계속', '재천', '성명', '범죄', '주의', '폭력', '극단', '주의', '등', '전통', '안보', '문제', '효과', '대응', '하기', '위해', '각', '안보', '문제', '협력', '지적', '한국', '대통령', '부', '청와대', '한국', '특별', '정상', '회의', '무역', '보호', '주의', '범죄', '대두', '차', '산업혁명', '도래', '상황', '한국', '정부', '남방', '정책', '대해', '중기', '총화', '각', '측', '가능', '발전', '협력', '기반', '한국', '아세아', '협력', '관계', '전면', '격상', '평가']
http://www.iybrb.com/news/content/2019-11/26/60_382188.html	케냐 산사태로 37명 사망-연변일보 Yanbian Daily	0	0	0	0	0	[]	[]
http://www.iybrb.com/news/content/2019-07/31/60_366705.html	“중국 성과 전 세계서 주목”-연변일보 Yanbian Daily	211	5	146	58	2	['수바', '카슈미르', '인터뷰', '카슈미르', '플랫폼']	['피지', '학자', '지적', '중국', '세계', '발전', '국가', '성장', '신화통신', '피지', '학자', '전', '신화사', '기자', '자신감', '중국', '지난', '십년', '전', '세계', '주목', '할', '성과', '개혁개방', '년', '이후', '중국', '희망', '찬', '미래', '향', '위풍', '전진', '고', '남태평양', '대학교', '경제학', '강사', '중국', '유학', '중국', '경제', '일대일', '구상', '대해', '연구', '한', '중국', '유학', '년', '중국', '국가', '년', '개혁개방', '통해', '중국', '과거', '자신감', '생기', '충만', '무한', '기회', '국가', '부상', '고', '중국', '발전', '공동', '발전', '점', '역설', '중국', '세계', '발전', '국가', '세계', '경제', '남태평양', '지역', '도서국가', '경제', '발전', '기여', '중국', '세계', '공장', '의', '칭호', '손색', '세계', '최대', '시장', '중', '품질', '가격', '중국', '상품', '서방', '국가', '포함', '국가', '소비자', '혜택', '중국', '계속', '해서', '수입', '중국', '국제', '수입', '박람회', '입증', '증거', '중국', '세계', '최대', '관광객', '송', '출국', '중', '세계', '관광업', '발전', '기여', '고', '설명', '중국', '제안', '일대일', '구상', '세계', '공헌', '강조', '일대일', '구상', '중국', '참여', '협력윈윈', '촉진', '국가', '남태평양', '지역', '도서국가', '포함', '개도국', '환영']
http://www.iybrb.com/news/content/2019-07/24/60_365761.html	존 볼턴, 일본 방문 일본국가안전보장 국장과 회담-연변일보 Yanbian Daily	169	9	118	40	2	['존', '존', '론', '존', '론', '존', '이란', '론', '존']	['볼턴', '일본', '방문', '일본국', '안전보장', '국장', '회담', '신화통신', '볼턴', '미국', '대통령', '국가', '안전보장', '회의', '보좌', '관', '일본', '방문', '하여', '쇼타', '일본', '국가', '안전보장', '국장', '회담', '의제', '관련', '건설', '일본', '언론', '전', '히데', '일본', '내각', '관방', '장관', '총리관저', '기자회견', '볼턴', '보좌', '관', '쇼타', '국장', '오전', '총리관저', '회담', '전', '히데', '관방', '장관', '회담', '내용', '보도', '회담', '후', '볼턴', '량자', '의제', '관련', '건설', '최근', '미국', '민', '용선', '박의', '안전', '보호', '리', '유로', '해협', '등', '해역', '합동', '순찰', '고저', '초청', '일본', '언론', '미국', '해당', '련맹', '가입', '일본', '호소', '할', '여부', '회담', '초첨', '분석', '한편', '정부', '소식통', '볼턴', '보좌', '관', '일본', '외무', '회담', '문제', '미국', '해협', '공동', '순찰', '계획', '관련', '일본', '총리', '일본', '우선', '미국', '의도', '파악', '할', '볼턴', '보좌', '관', '한국', '방문']
http://www.iybrb.com/news/content/2019-07/08/60_363449.html	간추린 국제뉴스-연변일보 Yanbian Daily	338	14	216	99	9	['브리핑', '라마', '디지털', '라마', '네트워크', '람', '론', '사이트', '밸리', '킬로', '메터', '킬로', '메터', '린']	['한국', '정부', '위안부', '금회', '청산', '수속', '한일', '정부', '한일', '위안부', '협의', '설립', '화해', '치유', '금회', '가', '일전', '청산', '수속', '관련', '금회', '한국', '정부', '관련', '통보', '일본', '내각관방', '차관', '오전', '진행', '한국', '정부', '항의', '표', '한국', '정부', '관련', '금회', '청산', '방침', '위안부', '협의', '위반', '표', '남아프리카', '대통령', '화위', '기술', '환영', '남아프리카공화국', '대통령', '부', '남아프리카공화국', '차', '산업혁명', '회의', '중국', '화위', '회사', '남아프리카공화국', '기술', '환영', '대통령', '남아프리카공화국', '업체', '자신', '서한', '화위', '금지', '하면', '남아공', '건설', '애하', '유의', '영향', '지적', '남아공', '수요', '화', '위만', '남아공', '전세계', '기술', '회사', '지지', '고', '강조', '남', '렬도', '령토', '표기', '항의', '외교부', '대변인', '자하', '정상', '회의', '기간', '일본', '배포', '공식', '자료', '남', '렬도', '령토', '표기', '대해', '외교부', '항의', '각서', '교부', '항의', '각서', '일본', '의장', '역할', '령토', '대한', '근거', '유권', '주장', '전략', '무기', '감축', '미국', '협상', '전망', '불투명', '대통령', '전략', '무기', '감축', '미국', '협상', '전망', '고', '인정', '표', '대통령', '미국', '체결', '공격성', '전략', '무기', '감축', '협정', '만료', '상황', '협정', '연장', '문제', '차례', '현재', '대통령', '량국', '군축', '전략', '무기', '감축', '면', '달성', '협의', '세계', '안전', '안정', '수호', '유조', '대해', '정치', '의향', '협정', '연장', '가능성', '미국', '립', '표', '미국', '캘리포니아주', '규모', '지진', '발생', '미국', '캘리포니아주', '남부', '규모', '의', '강진', '발생', '지역', '진동', '지금', '부상', '미국', '지질', '사국', '지진', '정보', '이번', '지진', '시간', '오전', '북경시', '발생', '진앙', '남쪽', '진원', '지진', '발생', '후', '지역', '차례', '여진', '발생', '여진', '규모', '신화통신']
http://www.iybrb.com/news/content/2019-07/08/60_363467.html	이란, 영국에 억류 유조선 석방 요구-연변일보 Yanbian Daily	136	16	81	36	3	['테헤란', '이란', '이란', '이란', '이란', '이란', '이란', '이란', '케르', '이란', '이란', '이란', '빠', '수리아', '수리아', '유럽']	['신화통신', '주재', '영국', '대사', '원유', '탑재', '유조선', '척', '해역', '억류', '항의', '표', '즉각', '유조선', '석방', '할', '영국', '요구', '외무부', '외무부', '성명', '영국', '미국', '요구', '유조선', '억류', '용납', '할', '불법', '강조', '외무부', '측은', '능력', '유조선', '석방', '확보', '할', '주재', '영국', '대사', '의견', '영국정부', '전달', '할', '영국', '측은', '추종', '하여', '일방', '제재', '가하지', '강조', '오전', '영국', '외', '령토', '집법', '기구', '국기', '건', '유조선', '호', '영국', '해군', '해병대', '협조', '억류', '리', '유로', '유조선', '원유', '운송', '인정', '대한', '련', '합의', '관련', '제재', '법령', '위반', '주장']
http://www.iybrb.com/news/content/2019-07/08/60_363537.html	태평양동맹, 역내경제통합 심화-연변일보 Yanbian Daily	216	27	146	35	8	['리마', '페루', '리마', '리마', '리마', '라틴', '플랫', '아시아', '마르틴', '스카', '페루', '바스티안', '칠레', '콜롬비아', '에콰도르', '에콰도르', '에콰도르', '칠레', '페루', '페루', '콜롬비아', '칠레', '리마', '칠레', '안토파가스타', '라틴', '옵서버']	['태평양', '동맹', '역', '경제통합', '심화', '다자', '무역', '체제', '수호', '약속', '신화통신', '태평양', '동맹', '지도자', '회의', '수도', '개최', '회의', '선언', '채택', '역', '경제통합', '심화', '다자', '무역', '체제', '수호', '하기로', '약속', '선언', '은', '태평양', '동맹', '회원', '무역', '한층', '확대', '자유무역', '계속', '촉진', '경제성장', '지속', '가능', '발전', '추동할', '언급', '태평양', '동맹', '주요한', '무역', '통합', '태평양', '협력', '기구', '협상', '기제', '건립', '할', '기타', '기구', '무역', '협력', '표', '대통령', '대통령', '이반', '대통령', '르드', '외무', '장관', '각기', '본국', '대표', '선언문', '서명', '회의', '발표', '다자', '무역', '체계', '관련', '성명', '세계', '보호무역', '주의', '직면', '태평양', '동맹', '국제무역', '세계', '무역', '기구', '중요성', '재차', '강조', '노', '대통령', '초청', '회의', '참석', '회의', '참석', '지도자', '태평양', '동맹', '가입', '재차', '지지', '회의', '결정', '태평양', '동맹', '후', '보국', '외', '태평양', '동맹', '륜번', '의장', '등', '개국', '지도자', '협의', '서명', '태평양', '동맹', '설립', '선언', '개국', '지도자', '협정', '서명', '태평양', '동맹', '정식', '설립', '태평양', '동맹', '회원', '국내총생산', '총', '생산', '점', '중국', '태평양', '동맹']
http://www.iybrb.com/news/content/2019-07/08/60_363468.html	로씨야, 로케트 하나로 33매 위성 발사 성공-연변일보 Yanbian Daily	117	15	73	27	2	['모스크바', '그룹', '로케트', '그룹', '로케트', '모스크바', '로케트', '마이크로', '그룹', '마이크로', '프랑스', '이스라엘', '핀란드', '타이', '에스']	['신화통신', '우주', '항공', '지역', '동방', '우주', '항공', '발사', '운반', '매', '위성', '예정', '궤도', '우주', '항공', '발표', '성명', '련맹', '운반', '시간', '북경시', '동방', '우주', '항공', '발사', '발사', '비행', '운반', '매', '기상위성', '기타', '매', '위성', '차례', '예정', '궤도', '진입', '우주', '항공', '해당', '기상위성', '가시광선', '적외선', '주파수', '구간', '지표', '적설', '빙층', '관측', '해면', '온도', '지구', '오존층', '탐측', '제공', '기상관측', '수준', '할', '소개', '대부분', '과학', '실험', '위성', '외', '매', '위성', '각기', '독일', '미국', '영국', '등', '국가', '위성']
http://www.iybrb.com/news/content/2019-07/08/60_363538.html	오스트랄리아 류학생 조선에서 추방당해-연변일보 Yanbian Daily	70	5	55	10	0	['알렉', '글리', '인터넷', '글리', '글리']	['평양', '신화통신', '조선', '중앙', '통신사', '조선', '공부', '류', '학생', '조선', '대선', '활동', '진행', '조선', '관계', '부문', '체포', '조선', '추방', '보도', '보도', '조사', '결과', '조선', '매체', '선동', '류', '학생', '신분', '리용', '수집', '분석', '자료', '사진', '조선', '매체', '조선', '내부', '상황', '자료', '체계', '수집', '타인', '제공', '간첩', '행위', '시인', '조선', '주권', '침범', '행위', '사과', '차례', '용서', '구']
