aurl	title	TotalKorean	EnglishRoot	ChineseRoot	KoreanRoot	UnknownRoot	EnglishRootList	ChineseRootList
http://www.iybrb.com/news/content/2019-10/15/61_376751.html	청소중 찾은 론문 토대로 노벨상 수상-연변일보 Yanbian Daily	207	25	110	70	2	['코발트', '리튬', '노벨화학상', '존', '디', '코발트', '리튬', '노벨화학상', '배터리', '노벨화학상', '노벨화학상', '배터리', '폴리', '아세틸렌', '배터리', '캠코더', '배터리', '폴리', '아세틸렌', '디', '배터리', '배터리', '아웃사이더', '노벨화학상', '배터리']	['연구실', '청소', '중', '산', '양극', '발견', '음극', '재료', '고', '여진', '론문', '요시노', '수상', '한', '론문', '당시', '주목', '론문', '요시노', '론문', '양극', '산', '합성', '요시노', '지난', '영예', '준', '리튬이온', '탄생', '순간', '일본', '신문', '리튬이온', '전기', '개발', '수상한', '요시노', '의', '수상', '공개', '리튬이온', '원형', '태', '나기', '전이', '요시노', '기업', '가세', '화학물질', '산업', '리용', '하기', '연구', '요시노', '응용', '고심', '충전', '할', '차', '사용', '할', '요시노', '당시', '보급', '시작', '가정', '용', '사용', '할', '개발', '목표', '음극', '재료', '재료', '연구', '직면', '요시노', '연구실', '청소', '중', '론문', '론문', '활용', '요시노', '연구', '리튬이온', '원형', '요시노', '전문가', '회고', '일본인', '노벨상', '수상한', '이번', '번', '번', '리튬이온', '작고', '용량', '전기자동차', '태양광', '발전', '풍력발전', '등', '활용', '친환경', '기술', '도', '평가', '외신']
http://www.iybrb.com/news/content/2019-09/14/61_373005.html	“조선 단거리 발사체2발 발사했다”-연변일보 Yanbian Daily	160	2	119	38	1	['킬로', '메터']	['한국', '군부', '신화통신', '한국', '군부', '측은', '조선', '동부', '해역', '방향', '단거리', '발사체', '발사', '한국', '합동', '참모', '본부', '합참', '가', '발표', '소식', '조선', '평안남도', '개천', '일대', '발사체', '두발', '발사', '발사체', '두발', '최대', '비행', '대략', '합참', '비행', '고도', '속도', '등', '조선', '발사체', '관련', '정보', '공개', '하지', '한미', '발사체', '구체', '류형', '분석', '전', '합참', '한국', '군부', '측은', '정세', '주시', '경계', '태세', '유지', '조선', '긴장', '분위기', '격', '행동', '즉각', '중지', '할', '촉구', '한국', '청와대', '국가', '안전보장', '회의', '상임', '위원회', '긴급', '회의', '개최', '전체', '안보', '형세', '중점', '주시', '조선', '발사', '활동', '대해', '우려', '표명', '전', '조선', '중앙', '통신', '보도', '최', '조선', '외무성', '부상', '조선', '하순', '경', '미국', '조미', '실무', '협상', '개최', '할', '용의', '고', '미국', '량국', '공동', '리익', '부합', '조선', '수용', '할', '방안', '촉구']
http://www.iybrb.com/news/content/2019-08/28/61_370853.html	“한국 일본, 군정협정재검토 할수 있다”-연변일보 Yanbian Daily	82	0	58	21	3	[]	['한국', '총리', '표시', '신화통신', '한국', '국무총리', '한국', '일본', '량', '자간', '갈등', '대화', '진행', '하길', '호소', '만약', '일본', '한국', '대한', '조치', '철회', '한국', '일본', '군사', '협정', '검토', '국무총리', '고위', '정청', '회의', '일본정부', '정식', '한국', '무역', '백색', '국가', '명단', '제외', '관련', '명령', '시행', '자신', '사태', '악화시키지', '한국', '일본', '정부', '현', '상황', '타개', '할', '판단', '한국', '일본', '량국', '자세', '대화', '하길']
http://www.iybrb.com/news/content/2018-11/28/61_334925.html	박원순 서울시장, 중국서 투자유치 활동-연변일보 Yanbian Daily	230	8	163	51	8	['그랜드', '호텔', '컨설팅', '핀', '테크', '핀', '테크', '인터넷']	['중국', '방문', '중인', '서울시장', '북경', '대학', '학당', '미래', '도시', '주제', '강연', '서울시장', '중국', '투자', '위해', '한국', '서울시', '북경', '의', '중국', '투자', '협력', '주간', '진행', '중국', '투자', '협력', '주간', '북경', '간의', '경제', '협력', '강화', '행사', '과', '등', '차', '산업혁명', '관련', '분야', '소재', '중소기업', '중국', '현지', '투자자', '명', '참석', '일대일', '투자', '설명', '회', '서울시', '성공', '투자', '유치', '위해', '참가', '기업', '대상', '주간', '일대일', '하여', '기업', '별', '핵심', '경쟁력', '시장', '현황', '등', '분석', '법무', '법인', '협력', '투자', '분야', '경험', '변호사', '초청', '중국', '방문', '중인', '서울시장', '현장', '참가', '기업', '실어', '시장', '투자', '유치', '희망', '중소기업', '기술', '보유', '발전', '가능성', '업체', '선발', '중국', '투자', '협력', '주간', '북경', '한국', '중국', '경제', '분야', '교류', '협력', '점화', '계기', '고', '서울시', '중국', '은행', '산업', '육성', '위해', '협력', '하기로', '업무', '협약', '체결', '중국', '은행', '중국', '대', '국유', '은행', '중', '이자', '공식', '외환', '관리', '은행', '협약', '박', '시장', '류련', '중국', '은행', '행', '참석', '협약', '서울시', '중국', '은행', '량국', '기업', '간', '교류', '투자', '활성화', '산업', '관련', '기업', '지원', '육성', '계획', '연변', '일보', '사업', '부', '외신']
http://www.iybrb.com/news/content/2019-06/21/61_361373.html	전용기에서 내리는 습근평 주석 부부-연변일보 Yanbian Daily	18	0	13	3	2	[]	['조선', '국빈', '방문', '국가주석', '부인', '녀', '사가', '평양', '순안', '공항', '도착', '전용기', '인사']
http://www.iybrb.com/news/content/2019-02/25/61_345716.html	김정은 베트남 방문…개방형 외교발전 의지 전달-연변일보 Yanbian Daily	546	36	365	129	16	['베트남', '베트남', '베트남', '베트남', '베트남', '베트남', '베트남', '하노이', '베트남', '이미지', '트럼프', '싱가포르', '디아스', '아시아', '베트남', '베트남', '베트남', '베트남', '하노이', '베트남', '베트남', '이미지', '베트남', '베트남', '베트남', '베트남', '하노이', '헥타르', '미디어', '하노이', '하노이', '베트남', '베트남', '베트남', '베트남', '베트남']	['조미', '지도자', '차', '회담', '준비', '개방', '대외', '정책', '모색', '소통', '친선', '협력', '심화', '외국', '자본', '유치', '관광', '산업', '발전', '각국', '관계', '발전', '유조', '북경', '신화통신', '위원장', '국무위원', '회', '위원장', '베트남공산당', '중앙', '총서기', '국가주석', '초청', '대한', '공식', '친선', '방문', '진행', '외교부', '선포', '인사', '분석', '이번', '위원장', '방문', '개방', '대외', '정책', '모색', '조선', '의도', '반영', '한편', '이번', '방문', '수도', '진행', '차', '조미', '정상회담', '국제', '향상', '기회', '년초', '조선', '적극', '외래', '전개', '위원장', '중국', '차례', '방문', '재차', '중국', '방문', '한국', '대통령', '차례', '회담', '진행', '미국', '대통령', '차', '회담', '진행', '위원장', '조선', '방문', '외무', '장관', '관원', '접견', '조선', '국무위원', '회', '주석', '부장', '회의', '주석', '회담', '중국', '사회과학', '태평양', '세계', '전략', '연구원', '왕준', '생', '부연', '구원', '위원장', '방문', '개방', '외교', '발전', '견', '조선', '자세', '기', '중앙', '위원회', '차', '회의', '사회주의', '경제', '발전', '인민', '생활수준', '향상', '투쟁', '전력', '하기로', '결정', '사회주의', '건설', '유조', '국제', '환경', '세계', '평화', '안정', '수호', '하기', '위해', '조선', '주변', '각국', '국제사회', '련계', '대화', '적극', '모색', '관련', '인사', '위원장', '방문', '시작', '소통', '친선', '협력', '심화', '조선', '의도', '분석', '위원장', '신년사', '조선', '당', '정부', '평화', '친선', '리념', '사회주의', '국가', '단결', '협력', '계속', '조선', '친선', '국가', '간주', '적극', '관계', '발전', '고', '표', '조선', '로동신문', '은', '조선', '외교', '정책', '론술', '조선', '사회주의', '국가', '친선', '교류', '협력', '발전', '각별', '중시', '사회주의', '국가', '단결', '협력', '계속', '조선', '당', '정부', '대외', '정책', '견지해', '할', '립', '조선', '위원장', '방문', '후', '조미', '지도자', '차', '회담', '인사', '외교', '후', '안보', '등', '면', '준비', '사업', '적극', '진행', '함', '국제', '인정', '부총리', '외무', '장관', '조선', '공식', '방문', '조선', '외무', '중앙', '정치국', '위원', '중앙', '부위', '원장', '국제', '부', '부장', '회담', '외부', '이번', '행차', '조선', '미국', '지도자', '회담', '준비', '작업', '총리', '전', '차', '조미', '정상회담', '준비', '사업', '주재', '할', '외교부', '지시', '배합', '할', '관련', '부문', '요구', '정상회담', '기간', '도심', '위치', '면적', '문화', '친선', '궁', '국제', '쎈터', '설치', '하여', '모인', '각국', '기자', '봉사', '제공', '조미', '대표', '단', '회담', '보도', '기자', '안전', '확보', '하기', '위해', '경찰', '공항', '정거장', '전력', '시설', '문화', '유적', '등', '중점', '장소', '대한', '천후', '순', '진행', '사회과학', '동북아시아', '연구소', '소장', '대행', '차례', '활동', '기회', '간주', '고', '설명', '소장', '대행', '소개', '각국', '언론사', '이번', '회담', '보도', '함', '동시', '발전', '성과', '풍경', '세계', '소개', '외국', '자본', '관광', '산업', '발전', '유조', '지적', '이번', '회담', '성공', '주최', '각국', '리득', '각국', '관계', '발전', '유조', '분석']
http://www.iybrb.com/news/content/2019-08/19/61_369362.html	“일본과의 대화 협력의 길로 나가련다”-연변일보 Yanbian Daily	95	2	62	30	1	['시스템', '시스템']	['일본', '대화', '협력', '대통령', '표시', '신화통신', '한국', '대통령', '광복절', '주년', '축의', '만약', '일본', '화협', '선택', '한국', '일본', '무역', '협력', '동아시아', '구축', '하려', '표', '대통령', '협력', '공동', '가능', '발전', '발전', '후', '발전', '발전', '기회', '박탈', '해서는', '세계', '고도', '통해', '공동', '번영', '경제', '자유무역', '질서', '리익', '보고', '만약', '자체', '구비', '우세', '평화', '자유무역', '파괴', '일본', '식민지', '통치', '해방', '한국', '광복절', '정', '기념', '행사', '진행']
http://www.iybrb.com/news/content/2018-12/10/61_336544.html	조선, 인류무형문화유산 등재 활발-연변일보 Yanbian Daily	102	4	73	25	0	['유네스코', '아프리카', '모리셔스', '포트루이스']	['남', '북', '인류', '무형', '문화유산', '대표', '목록', '공동', '등', '조선', '최근', '각종', '문화유산', '등재', '사업', '적극', '추진', '무형', '유산', '보호', '협약', '정부', '위원회', '무형', '유산', '위원회', '최근', '수도', '개막', '차', '회의', '인류', '무형', '문화유산', '대표', '목록', '등재', '조선', '과', '남', '북', '공동', '등재', '결정', '총', '개', '인류', '무형', '문화유산', '보유', '매년', '추석', '평양', '대규모', '경기', '선수', '금', '건', '실제', '조선', '내외', '천연기념물', '무형', '문화유산', '등록', '사업', '전개', '등', '국가', '유산', '보호', '관심', '외신']
http://www.iybrb.com/news/content/2019-02/26/61_345864.html	김정은 위원장, 66시간 렬차 타고 베트남 동당역 도착...자동차로 하노이행-연변일보 Yanbian Daily	116	12	74	30	0	['베트남', '랑선', '베트남', '랑선', '베트남', '베트남', '하노이', '앤드루스', '트럼프', '하노이', '트럼프', '인터넷']	['국무위원', '역', '도착', '환영', '인파', '인사', '차', '조미', '정상회담', '오전', '북경시', '조선', '국무위원', '중국', '접경', '지역', '역', '도착', '지난', '오후', '전용', '렬차', '타고', '평양', '출발', '중국', '대륙', '종단', '한지', '도착', '위원장', '이번', '중국', '종단', '북경', '김일성', '주석', '과거', '방문', '광동성', '광주', '등', '최단', '로선', '택했다', '위원장', '역', '전용', '자동차', '출발', '미국', '메릴랜드', '공군기지', '전용기', '출발', '미국', '대통령', '오후', '현지', '시간', '노', '국제공항', '도착', '할', '예정', '위원장', '대통령', '핵', '담판', '연변', '일보', '사업', '부', '외신']
http://www.iybrb.com/news/content/2019-08/17/61_369244.html	139t 중국 의류, '한국제'로 바꿔 부당이득 챙긴 일당 검거-연변일보 Yanbian Daily	180	7	126	45	2	['브랜드', '메이드', '코리아', '플랫폼', '플랫폼', '센터', '인터넷']	['최근', '한국', '관세청', '한국', '동대문', '위장', '중국', '의류', '압수', '혐의', '명', '적발', '보도', '한국', '관세청', '적발', '혐의', '명', '중국', '국적', '한국', '동대문시장', '작업실', '중국', '구입', '의류', '세관', '신고', '하지', '밀수', '중국', '반입', '전', '여', '명의', '중국', '소비자', '주문', '의류', '운송', '등', '서류', '상의', '내용', '상품', '가치', '물건', '위조', '률', '관세', '혐의', '차례', '중국', '총', '벌', '밀수', '부당', '리득', '조사', '한국', '관세청', '리', '동현', '특수', '사과', '통관', '속도', '위해', '한국', '측은', '현재', '간이', '출신', '고제', '검사', '비용', '인하', '등', '조치', '취하', '이번', '사건', '혐의', '점', '악용', '상품', '가치', '표시', '밀수', '한', '혐의', '고', '한편', '의류', '밀수', '등', '사건', '빈발', '한국', '관세청', '의류', '제조', '공장', '물류', '공항', '등', '수출입', '의류', '원산지', '대한', '단속', '검사', '률', '인상', '등', '통해', '시장', '질서', '유지', '하기', '하여', '단속', '연변', '일보', '사업', '부']
