url	title	TotalKorean	EnglishRoot	ChineseRoot	KoreanRoot	UnknownRoot	EnglishRootList	ChineseRootList
http://www.iybrb.com/sport/content/2019-09/16/35_373185.html	북국호, 원정서 강팀에 참패-연변일보 Yanbian Daily	130	23	58	47	2	['북국팀', '북국팀', '리그', '팀', '팀', '북국팀', '리그', '라운드', '팀', '북국팀', '리그', '팀', '북국팀', '팀', '북국팀', '팀', '북국팀', '팀', '시즌', '북국팀', '북국팀', '팀', '시즌']	['대', '원대', '팀전', '대', '패', '연변', '이하', '원정', '급', '순위', '위인', '원대', '이하', '대', '오후', '원정', '급', '경기', '단', '허용', '갑', '승격', '목표', '상대로', '시종일관', '고전', '전반전', '상대', '선제', '불과', '추가', '실점', '반전', '전반전', '련속', '실점', '사실', '경기', '상대', '만회', '경기', '종료', '직전', '상대', '대', '참패', '점수', '차', '패배', '한편', '오후', '인민', '체육', '경기장', '내몽골', '경기', '리', '기자']
http://www.iybrb.com/sport/content/2019-08/29/35_370935.html	북국팀, 길림더비전 보충경기서 0대3 패-연변일보 Yanbian Daily	95	15	50	28	2	['북국팀', '팀', '라운드', '북국팀', '팀', '리그', '라운드', '팀', '북국팀', '팀', '북국팀', '팀', '북국팀', '리그', '라운드']	['연변', '이번', '주중', '수요일', '길림', '보충', '경기', '헌납', '오후', '원정', '길림', '급', '보충', '경기', '전반전', '후반전', '허용', '대', '완패', '장인', '길림', '진행', '경기', '경기', '초반', '상대', '전반전', '헌납', '이후', '총력', '공세', '수비', '진의', '집중', '부재', '후반전', '상대', '허용', '한편', '장춘', '직접', '심양', '이동해', '주말', '급', '원정', '경기', '대비', '리', '기자']
http://www.iybrb.com/sport/content/2019-08/05/35_367303.html	‘리호 발리슛’ 북국팀, 원정서 2대0 승-연변일보 Yanbian Daily	307	51	154	94	8	['시즌', '북국팀', '북국팀', '북국팀', '팀', '팀', '리그', '라운드', '시즌', '팀', '발리', '슛', '북국팀', '북국팀', '하프', '홈팀', '팀', '팀', '슛', '북국팀', '북국팀', '팀', '팀', '북국팀', '슛', '북국팀', '북국팀', '슛', '팀', '북국팀', '북국팀', '북국팀', '크로스', '발리', '슛', '스타', '이브', '발리', '슛', '홈팀', '팬', '북국팀', '슛', '팀', '슛', '북국팀', '북국팀', '녕하팀', '리그', '라운드', '북국팀']	['쾌', '조의', '련승', '연변', '이하', '원정', '승리', '오후', '원정', '서안', '대흥', '이하', '서안', '중국', '축구', '급', '경기', '김현', '리', '호가', '전', '후반전', '각각', '대', '승리', '쾌', '조의', '련승', '이적', '시장', '통해', '합류', '리호', '후반전', '개시', '동시', '환상', '련승', '주역', '활약', '윤광', '꼴문', '남', '리', '호걸', '등', '명의', '수비수', '배치', '진', '리호', '리', '호걸', '박', '구성', '최', '전방', '계속', '내', '경기', '개시', '동시', '공격', '서안', '전반', '금지', '구역', '외곽', '상대', '장거리', '위협', '위기', '상대', '진영', '기회', '전반', '서안', '수비', '실수', '타', '수비수', '김현', '선제', '감치', '득점', '계속', '해서', '상대', '진영', '기회', '이후', '차례', '기회', '창조', '위협', '장면', '서안', '수비', '간격', '한편', '역습', '점', '기회', '반면', '추가', '전반전', '후반', '공격', '시도', '후반전', '개시', '경기', '변선', '박', '문전', '포진', '리', '호가', '기습', '축구', '비치', '련', '환상', '탄성', '이후', '계속', '해서', '경기', '분위기', '공격', '경기', '장거리', '꼴문', '우', '경기', '서안', '후반전', '차례', '기회', '창조', '위협', '경기', '차', '승리', '한편', '인민', '체육', '급', '경기', '련승', '련승', '도전', '리', '기자']
http://www.iybrb.com/sport/content/2018-12/17/35_337431.html	황선홍 연변팀 감독으로 부임-연변일보 Yanbian Daily	288	31	152	90	15	['리그', '팀', '스타', '팀', '팀', '시즌', '홀', '팀', '팀', '올림픽', '팀', '코치', '팀', '코치', '키퍼', '코치', '팀', '팀', '팬', '팀', '팬', '팀', '그로', '팀', '팬', '팀', '팀워크', '팀', '팀', '팀', '타이']	['한국', '간판', '현역', '시절', '퇴역', '후', '한국', '부산', '포항', '등', '감독', '지도력', '립증', '한국', '감독', '반렬', '연변', '신임', '감독', '부임', '계약', '기한', '연변', '구단', '력사', '한국인', '감독', '초빙', '도전', '오전', '연길', '인민', '경기장', '식공', '연변', '부덕', '축구', '구락부', '신임', '감독', '취임식', '한국', '연변', '감독', '선임', '부산', '포항', '등', '감독', '한국', '국가', '수석', '강철', '연변', '수석', '취임', '한국', '감독', '취임식', '감독', '관리', '층', '진심', '느껴졌다', '연변', '발전', '제안', '진심', '연변', '리유', '대해', '설명', '감독', '려', '선수', '만날', '발전', '하기', '위해', '최선', '성원', '부탁', '고', '계약', '기한', '감독', '목표', '대해', '감독', '계약', '기한', '개인', '계약', '내', '진출', '목표', '잡고', '계획성', '의욕', '감독', '선수', '특점', '대한', '파악', '상황', '축구', '할', '약속', '연변', '구단', '우장', '룡', '경리', '감독', '선정', '절차', '감독', '선택', '원인', '대해', '현역', '시절', '감독', '성과', '지휘', '풍격', '중요시', '연변', '전문가', '선수단', '교류', '감독', '연변', '인물', '판단', '고', '설명', '한편', '감독', '취임식', '오후', '항공', '편', '연변', '차', '동계', '훈련', '지인', '향발', '사진', '리', '기자']
http://www.iybrb.com/sport/content/2019-04/29/35_354529.html	북국팀 시즌 첫 홈경기 완승으로 장식-연변일보 Yanbian Daily	360	52	173	119	16	['북국팀', '북국팀', '시즌', '북국팀', '리그', '라운드', '팀', '팀', '팬', '막스', '북국팀', '북국팀', '라인', '팀', '시즌', '팀', '팀', '북국팀', '북국팀', '크로스', '헤딩', '슛', '팀', '프리킥', '슛', '키퍼', '팀', '팀', '패스', '북국팀', '팀', '팀', '슛', '키퍼', '북국팀', '북국팀', '패스', '키퍼', '슛', '패스', '프리킥', '팀', '북국팀', '시즌', '북국팀', '시즌', '시즌', '북국팀', '북국팀', '팀', '리그', '라운드']	['연변', '이하', '경기', '무려', '쾌승', '오후', '인민', '체육', '경기장', '급', '경기', '서안', '대흥', '이하', '서안', '상대로', '후반전', '장덕', '입어', '대', '완승', '경기', '전', '경기', '결과', '무조건', '승리', '연변', '선사', '할', '승리', '비치', '감독', '전술', '공격', '경기', '꼴문', '계속', '곽위', '양옥', '초', '남', '수비', '담당', '수비', '리', '호걸', '공격', '윤창', '배치', '내', '초반', '변선', '적극', '활용', '전방', '압박', '적극성', '수비', '전방', '상대', '파상', '공세', '지금', '무승', '기록', '서안', '원정', '승점', '대한', '서안', '원정', '밀집', '수비', '배치', '최', '전방', '속도', '우세', '역습', '꼴문', '경기', '윤창', '변선', '장면', '연출', '상대', '곽위', '선방', '경기', '상대', '변선', '상대', '금지', '구역', '문전', '쇄도', '남', '절호', '득점', '기회', '전반전', '득점', '대', '후반전', '전반전', '잡고', '통제', '률', '정도', '상대', '반면', '공격', '속도', '상대', '꼴문', '경기', '상대', '강력', '곽위', '선방', '간담', '후', '수비', '동시', '쾌속', '반격', '경기', '경기', '상대', '금지', '구역', '파고', '대', '상황', '상대', '꼴문', '이번', '리', '호걸', '추가', '성공', '경기', '대', '승리', '후반전', '폭풍', '득점', '경기', '대', '대승', '장식', '경기', '총', '명의', '관중', '인민', '경기장', '열띤', '응원', '한편', '경기', '승', '패', '계속', '오후', '원정', '화', '봉황', '급', '경기', '리', '기자']
http://www.iybrb.com/sport/content/2019-04/24/35_353836.html	북국호, ‘허술한 수비’ 해결책 찾아야-연변일보 Yanbian Daily	335	42	176	109	8	['시즌', '리그', '라운드', '북국팀', '북국팀', '시즌', '북국팀', '시즌', '라운드', '북국팀', '라운드', '북국팀', '북국팀', '팀', '팀', '시즌', '북국팀', '팀', '시즌', '북국팀', '시즌', '북국팀', '세르비아', '막스', '팬', '팀', '리그', '팀', '라운드', '팀', '팀', '북국팀', '북국팀', '시즌', '북국팀', '북국팀', '시즌', '북국팀', '시즌', '막스', '북국팀', '팬']	['급', '시작', '경기', '연변', '이하', '이번', '주말', '경기', '결과', '극히', '경기', '성적', '전반', '선수', '영향', '승점', '점', '선수', '절실', '시점', '초반', '련속', '원정', '경기', '대', '장춘', '팀전', '원정', '경기', '연기', '지금', '승', '패', '승점', '점', '순위', '머물러있다', '경기', '원정', '승리', '기도', '후', '원정', '경기', '조직', '미흡', '수비', '안정', '등', '문제점', '여실히', '총', '실점', '현재', '절치', '부심', '방', '노리', '오후', '인민', '체육', '경기장', '서안', '대흥', '이하', '서안', '상대로', '도전', '서안', '상대로', '승리', '할', '경우', '운영', '지난', '주말', '원정', '경기', '연변', '서안', '팀전', '대비', '각오', '지휘봉', '비치', '감독', '경기', '결과', '무조건', '승리', '연변', '선사', '할', '승리', '한편', '승점', '점', '극도', '서안', '구단', '성립', '급', '진격', '서안', '선수단', '구성', '초반', '경기', '분석', '할', '비교', '약체', '서안', '패', '승점', '점', '머물러있다', '서안', '지금', '단', '득점', '반면', '점도', '비해', '경기', '상황', '실점', '경기', '상대', '밀집', '수비', '가능성', '선전', '문제점', '수비', '축구', '경기', '결과', '득점', '긍정', '요소', '공격', '지향', '축구', '통해', '승리', '공식', '해도', '매', '경기', '실점', '전반', '성적', '뒤문', '단속', '해결', '책', '경기', '비치', '감독', '경기', '약속', '약속', '위해', '전략', '내심', '기대', '대', '서안', '팀전', '후', '경기', '방', '무대', '리', '기자']
http://www.iybrb.com/sport/content/2019-04/23/35_353506.html	을급리그 북방경기구 제6륜 순위표-연변일보 Yanbian Daily	77	7	45	21	4	['리그', '북국팀', '북국팀', '북국팀', '북국팀', '리그', '리그']	['중국', '축구', '협회', '급', '륜', '연변', '원정', '염성', '대풍', '대', '패', '연변', '경기', '자체', '실수', '반복', '하여', '피동', '처', '전반전', '선제', '상황', '수비수', '담당', '연변', '부덕', '선수', '동점', '추가', '허락', '하여', '최종', '대', '패', '현재', '륜', '승', '패', '도표', '중국', '축구', '협회', '급', '륜', '기자']
http://www.iybrb.com/sport/content/2019-04/25/35_354068.html	리호걸, 허파의 중심 역할 발휘돼야-연변일보 Yanbian Daily	519	45	296	158	20	['북국팀', '시즌', '세르비아', '마크', '팀', '시즌', '리그', '팀', '북국팀', '북국팀', '팀', '북국팀', '팀', '팀', '팀', '팀', '팀', '북국팀', '테스트', '북국팀', '몰리우게', '팀', '북국팀', '팀', '북국팀', '북국팀', '에이스', '패스', '북국팀', '리그', '라운드', '팀', '팀', '북국팀', '센터', '링', '북국팀', '패스', '라운드', '패스', '패스', '북국팀', '퍼센트', '북국팀', '팀']	['현재', '상황', '의치', '감독', '비치', '휘하', '한', '경기', '상황', '중', '하위', '승', '패', '득점', '실점', '대', '북방', '중', '초', '갑', '진출', '목표', '시작', '고', '득점', '개', '이상', '평균', '약', '정도', '수치', '공격', '중', '하위', '수준', '반면', '실점', '보면', '하위', '막상막하', '최근', '경기', '수비', '문제', '경기', '개', '하위', '점수', '보면', '산서', '신도', '실점', '최', '하위', '내몽골', '초상', '실점', '서안', '대흥', '숭덕', '실점', '길림', '실점', '청도', '홍', '실점', '기록', '수치', '중', '하위', '성적', '현실', '비교', '성적', '련', '원정', '경기', '이번', '경기', '고', '원정', '경기', '다방면', '영향', '점수', '경기', '승', '점', '관건', '지난', '경기', '보면', '문제점', '자체', '실수', '수비수', '집중', '저하', '조직', '부족', '등', '반복', '원인', '경기도', '실수', '피동', '처', '축구', '지난', '경기', '실점', '보면', '문제점', '두드려졌다', '집중', '점', '수비', '할', '대', '대인', '수비', '상대', '공격수', '점', '시점', '위치', '선정', '부상', '악재', '송건', '선수', '부상', '맹활약', '주장', '선수', '선수', '층', '연변', '선수', '리', '호걸', '입하', '보충', '예상', '대치', '도달', '하지', '자체', '실수', '경기', '대한', '자세', '실수', '치렬', '경기', '부담', '여야', '할', '시점', '선수', '자세', '여서', '현재', '리', '호걸', '선수', '활약', '체력', '저하', '문제', '위치', '중앙', '수비수', '압박', '수비수', '위치', '이동', '하면', '공격', '선', '전술', '전술', '선수', '선수', '포문', '도록', '선수', '전형', '중앙', '공격수', '후방', '지원이', '경기', '선수', '살의', '두뇌', '경기', '연변', '본토', '공격수', '중', '공격', '여', '동물', '감각', '선수', '평가', '당시', '현재', '북경', '맹활약', '박성', '선수', '선수였다', '매개', '동작', '세련', '대한', '지원이', '결핍', '상태', '해결', '하지', '경기', '오후', '위치', '좌석', '체육', '경기', '상대', '머물고있는', '서안', '대흥', '숭덕', '우세', '대', '대인', '수비', '안정', '수비', '공격', '조직', '량변', '리용', '하여', '중원', '금지', '구역', '파고', '정확도', '하여', '경기', '사실', '롱', '지면', '배합', '위주', '선전', '경기', '련속', '차례', '송건', '선수', '송건', '선수', '금지', '구역', '부근', '중원', '금지', '구역', '선수', '기차', '하여', '능', '자신', '심리', '압력', '평소', '훈련', '실력', '수준', '발휘', '승리', '이끌수', '현재', '각종', '수치', '상대', '서안', '대흥', '숭덕', '우세', '승리', '기대', '기자']
http://www.iybrb.com/sport/content/2019-05/05/35_355189.html	‘실력차이 실감’ 북국팀원정서 녕하팀에 2대3 패-연변일보 Yanbian Daily	297	44	160	84	9	['해트트릭', '팀', '녕하팀', '만나', '북국팀', '북국팀', '녕하팀', '만나', '리그', '라운드', '북국팀', '팀', '해트트릭', '라운드', '시즌', '북국팀', '녕하팀', '키퍼', '북국팀', '팀', '패스', '팀', '키퍼', '슛', '홈팀', '녕하팀', '팀', '슛', '드리블', '슛', '북국팀', '북국팀', '막스', '북국팀', '슛', '팀', '컨디션', '북국팀', '해트트릭', '북국팀', '북국팀', '리그', '팀', '만나']	['상대', '공격수', '허용', '원정', '강적', '화', '봉황', '이하', '실점', '연변', '이하', '대', '패배', '순위', '오후', '원정', '중국', '축구', '급', '경기', '반격', '리용', '상대', '공격수', '료', '허용', '최종', '대', '패배', '지난', '경기', '대', '대승', '원정', '강적', '상대로', '곽위', '수비', '진', '양옥', '초', '김현', '중원', '리', '호걸', '박', '배치', '최', '전방', '계속', '내', '한편', '지난', '경기', '부상', '윤창', '선수', '명단', '경기', '시작', '동시', '량', '변선', '적극', '활용', '공격', '상대', '꼴문', '경기', '변선', '강슛', '상대', '선방', '후', '경기', '장악', '시작', '경기', '경기', '상대', '공격수', '료', '후방', '자신', '선제', '성공', '경기', '한번', '료', '측면', '중앙', '파고', '시도', '추가', '시간', '내', '허용', '후', '능률', '경기', '전반전', '대', '전반전', '수비', '문제점', '보아', '비치', '감독', '후반전', '시작', '동시', '선발', '수비수', '김현', '대신', '투입', '통제', '률', '경기', '주장', '측면', '과감', '시도', '후', '경기', '쌍방', '밀고', '공방전', '경기', '상대', '료', '폭발', '수비수', '경기', '만회', '경기', '결과', '집기', '시간', '역', '대', '원정', '패배', '한편', '토요일', '오후', '인민', '체육', '경기장', '현재', '급', '북부', '기구', '순위', '위인', '대련', '천조', '경기', '리', '기자']
http://www.iybrb.com/sport/content/2019-04/29/35_354530.html	“선수들의 투지가 승리의 관건”-연변일보 Yanbian Daily	136	9	64	60	3	['북국팀', '막스', '팬', '보일', '막스', '시즌', '막스', '팬', '팬']	['경기', '기자회견', '연변', '비치', '감독', '련속', '원정', '경기', '경기', '선수', '열띤', '응원', '보답', '하기', '위해', '최선', '승리', '계기', '경기', '경기', '경기', '내용', '대해', '비치', '감독', '경기', '중반', '기회', '창조', '득점', '경기', '계획', '방향', '득점', '생길', '대', '완승', '선수', '투지', '대해', '감사하게', '평가', '분위기', '대해', '비치', '감독', '경기', '개시', '경기장', '모인', '보고', '무적', '선수', '감독', '진', '역시', '경기장', '대해', '대', '승리', '고', '사진', '리', '기자']
