url	title	TotalKorean	EnglishRoot	ChineseRoot	KoreanRoot	UnknownRoot	EnglishRootList	ChineseRootList
http://www.iybrb.com/pla/content/2019-11/04/47_379379.html	트랜스지방이 숨어있는 음식들-연변일보 Yanbian Daily	466	45	245	164	12	['유럽', '그람', '그람', '라벨', '그람', '그람', '유럽', '그람', '그람', '그람', '그람', '팝콘', '팝콘', '치킨', '목화씨기름', '팝콘', '치킨', '마가린', '마가린', '마가린', '그람', '마가린', '그람', '그람', '쇼트닝', '쇼트닝', '쇼트닝', '그람', '킬로칼로리', '그람', '비스킷', '그람', '샌드위치', '시즌', '샌드위치', '샌드위치', '샌드위치', '쇼트닝', '쇼트닝', '버터', '크림', '크림', '샌드위치', '커피', '패스트푸드']	['최근', '한번', '전쟁', '시작', '지난', '위원회', '심장질환', '일환', '가공', '식품', '함량', '제한', '규정', '채택', '규정', '가공', '식품', '함유량', '지방', '초과', '할', '상품', '첨가', '가', '표기', '식용유', '지방', '함유량', '최대', '초과', '할', '액체', '상태', '식물성', '포화', '지방', '고체', '상태', '가공', '하기', '위해', '수소', '첨가', '과정', '생', '지방', '가공', '식품', '식감', '할', '류', '통기', '간이', '식품', '업계', '사용', '건강', '악', '영향', '세계보건기구', '섭취', '매년', '이상', '심', '혈관', '질환', '사망', '과', '섭취', '심장', '질환', '위험', '사망', '위험', '증가', '심장', '학회', '섭취', '하면', '심장병', '발병', '률', '기도', '연구', '섭취', '심혈관계', '질환', '당뇨병', '암', '등', '질환', '유발', '미국', '력학저널', '발표', '론문', '녀성', '대상', '연구', '진행', '혈중', '농도', '녀성', '최저', '수준', '녀성', '비해', '유방암', '위험', '섭취', '식품', '심지어', '가공', '식품', '영양', '표시', '해당', '식품', '량', '미만', '경우', '표시', '할', '해도', '음식', '대표', '감자', '감자', '등', '식용유', '부분', '경화유', '음식', '대부분', '식용유', '공업화', '과정', '발생', '식물성', '수소', '첨가', '경화', '공정', '생산', '부분', '경화유', '전체', '지방', '정도', '식물성', '팜유', '등', '정제', '과정', '고온', '처리', '가할', '경우', '전체', '지방', '가', '생', '감자', '사용', '대부분', '소량', '번', '사용', '하면', '불포화지방산', '수소', '첨가', '대명사', '함유', '시판', '대부분', '최대', '과자', '과자', '고체', '상태', '의', '제과', '과정', '특징', '열량', '무려', '류', '편의점', '청포도', '식', '재료', '상품', '편의점', '최근', '대', '대', '인기', '간식', '편의점', '역시', '할', '식품', '대부분', '편의점', '공기', '부착', '성의', '특징', '식감', '좋아지게', '편의점', '구입', '할', '식품', '표', '참고', '일반', '과자', '등', '가공', '식품', '섭취', '할', '우려', '구결', '과자', '섭취', '도', '결과', '발표', '식품', '포함', '함량', '식품', '통해', '섭취', '량', '수치', '보고서', '육류', '식품', '별로', '인', '종합']
http://www.iybrb.com/pla/content/2019-11/04/47_379380.html	취향 존중의 시대, 더 강력해질 음식 트렌드-연변일보 Yanbian Daily	556	19	345	168	24	['워드', '디자인', '그룹', '루비', '쵸콜레트', '캔디', '스태', '티스', '베이스', '베이스', '보이', '스타', '푸드', '햄버거', '패스트푸드', '스포츠', '라벨', '플라스틱', '브랜드']	['세대', '성별', '초월', '취향', '식품', '업계', '관통', '소비자', '취향', '할', '수록', '진화', '시간', '식품', '대한', '기본', '동시', '혁신', '륜리', '가치', '제품', '소비', '수요', '만족', '발견', '모험', '소비자', '소비자', '안주', '하지', '향', '대한', '모험', '식', '음료', '업계', '주요', '소비자', '부상', '미국', '영국', '중국', '소비자', '명중', '명', '발견', '기존', '소비', '체험', '도전', '하기를', '소비', '추세', '지난', '인기', '심', '황차', '등', '모험', '소비자', '발견', '대표', '식품', '식물', '기반', '식품', '최근', '년', '식물', '기반', '식품', '시장', '속도', '의', '채소', '섭취', '제조업체', '식품', '식물성', '첨가', '소비자', '기호', '시장조사', '기관', '식품', '시장', '약', '음료', '미국', '가정', '보급', '률', '기록', '대체', '식품', '건강', '대한', '관심', '특이점', '대체', '식품', '부상', '미국', '내', '채식', '기반', '한', '대체', '식품', '성장', '률', '년', '이중', '성장', '률', '대체', '식품', '유제품', '분야', '유제품', '대안', '식품', '부문', '의', '성장', '률', '기록', '가', '미식', '관점', '접근', '육식', '환경', '식물성', '시장', '주요', '소비', '층', '록색', '식품', '식품', '업계', '은', '최근', '년', '식', '음료', '산업', '소비자', '지속', '발전', '대한', '수요', '만족', '위해', '원료', '포장', '변화', '시도', '미국', '영국', '소비자', '가', '식품', '회사', '투자', '할', '답', '기업', '원료', '순환', '리용', '률', '위해', '친환경', '포장재', '활용', '간식', '정의', '시세', '변화', '과거', '중간', '간식', '식사', '대체', '식품', '간식', '변화', '아침식사', '대신', '간식', '과중', '허기', '간식', '시간', '간식', '등', '장소', '대중', '일상', '식사', '간식', '대체', '고', '간식', '포장', '채소', '탄수화물', '고루', '섭취', '할', '제품', '단백질', '함량', '식사', '대용', '간식', '증가', '추세', '식품', '소비자', '취향', '다양성', '개성', '소비', '식품', '업계', '개개인', '소비', '취향', '중요시', '제작', '주요', '판매', '전략', '잡고', '소비자', '요구', '영양성분', '향', '세분', '식', '음료', '출시', '추세', '가공', '식품', '포화지방', '과도', '섭취', '현대인', '장', '건강', '중요성', '부각', '전', '년령', '대의', '소비자', '주목', '영양소', '식품', '업체', '역시', '첨가', '식', '음료', '세대', '공략', '식품', '함량', '기분', '선택', '소비자', '식', '음료', '구매', '할', '고려', '심리', '만족감', '최근', '신체', '만족감', '강조', '식', '음료', '통한', '만족감', '행복', '흥분', '등', '긍정', '영향', '식', '음료', '제품', '기분', '편안함', '등', '강조', '건강', '부착', '신제품', '증가', '추세', '소비', '통한', '평화', '도', '부각', '친환경', '연관', '최소', '포장', '분해', '대한', '소비자', '관심', '작', '식품', '식품', '업계', '파문', '대기업', '경쟁', '구도', '형성', '식품', '산업', '선구자', '소비자', '선전', '식품', '업계', '위협', '개성', '편의점', '통한', '상품', '세분', '소비자', '취향', '종합']
http://www.iybrb.com/pla/content/2019-10/28/47_378353.html	곱창으로 허기 채우고 술 한잔에 맘 달래고-연변일보 Yanbian Daily	416	12	161	228	15	['리나', '오픈', '메뉴', '메뉴', '소스', '콕', '메뉴', '소스', '메뉴', '메뉴', '비타민', '메뉴']	['덕후', '간첩', '통', '할', '정도', '전문점', '화로', '폭발', '식감', '란', '소주', '풍악', '정도', '호점', '호', '점도', '준비', '찬', '칠', '대표', '음식', '위해', '찬', '화로', '발전', '점', '방문', '확장', '해서인지', '창', '간격', '전혀', '식사', '시간대', '여유', '음식', '일단', '주인', '추천', '주문', '화로', '초벌', '한', '화로', '일단', '비주', '합격', '찬', '잘려진', '올려져서', '정리', '식재가', '고유', '식재', '이면', '식감', '우려', '제거', '기호', '음식', '불구', '거부', '전혀', '느껴지지', '주방', '특', '취향', '맥주', '한잔', '별반', '여진', '삭함', '전해지는', '녹두', '올려져', '주방', '자부심', '숨겨져있다', '번의', '실패', '성공', '특', '주가', '전날', '해장', '정도', '주방', '초벌', '료리', '전혀', '나지', '식감', '영양', '균형', '한번', '한번', '정도', '식시', '시간', '인기', '어가', '사용', '세척', '과정', '전혀', '가격', '차이', '품질', '식재를', '고집', '회전', '률', '공급', '비결', '이외', '두부', '술안주', '준비', '퇴근', '후', '한잔', '위해', '제격', '주방', '주인', '일일이', '작업', '통해', '재료', '하면', '타협', '하지', '결심', '방법', '고수', '선정', '재료', '고객', '제공', '할', '감수', '할', '일품', '철분', '피부', '미용', '피로', '회복', '위벽', '보호', '등', '효능', '기도', '연구', '최근', '료리', '출시', '할', '예정', '사진', '기자']
http://www.iybrb.com/pla/content/2019-10/20/47_377352.html	여전히 큰 인기를 얻고 있는 브로콜리-연변일보 Yanbian Daily	363	36	183	138	6	['브랜드', '그린', '자이언트', '브로콜리', '그린', '자이언트', '브로콜리', '콜리플라워', '아스파라거스', '브로콜리', '브로콜리', '비타민', '브로콜리', '비타민', '레몬', '브로콜리', '비타민', '비타민', '칼슘', '마그네슘', '설포', '브로콜리', '브로콜리', '케일', '메탄', '메탄', '브로콜리', '모델', '그룹', '그룹', '메탄', '그룹', '메탄올', '모델', '메탄', '브로콜리']	['미국인', '채소', '일가', '미국', '랭', '채소', '각', '별', '선호', '채소', '가', '년', '선호', '채소', '시장조사', '기관', '수지', '의뢰', '소비자', '명', '대상', '지난', '진행', '개', '주', '선호', '채소', '년', '개', '주보', '개', '주', '수치', '각각', '개', '주', '개', '주', '주', '주', '가', '선호', '채소', '개', '주', '감자', '경우', '주', '한', '선택', '지난', '진행', '향후', '소비', '서양', '채소', '번', '선', '호도', '가', '다량', '함유', '가량', '섭취', '할', '정도', '아연', '인', '성분', '골다공증', '예방', '효과', '판이', '대표', '발암', '억제', '성분', '미국', '국립', '연구소', '선정', '항', '식품', '하기도', '등', '만들어지는', '대사물질', '장', '염증', '질환', '개선', '효과', '사실', '동물실험', '확인', '장', '염증', '질환', '선충', '이인', '경과', '관찰', '장', '기능', '개선', '효과', '확인', '구결', '선충', '정도', '생물', '동물실험', '사용', '이인', '등', '채소', '생', '대사물질', '구진', '염증', '유발', '물질', '세균', '투여', '장', '질환', '선충', '한', '이인', '형광', '물질', '이인', '형광', '물질', '축적', '량', '관찰', '헐어', '장', '질환', '선충', '형광', '물질', '축적', '반면', '선충', '형광', '물질', '소화기', '통해', '배출', '결과', '이인', '선충', '선충', '축적', '형광', '물질', '최대', '장', '건강', '개선', '의미', '중간', '부분', '부분', '록색', '보라색', '상온', '필', '수도', '후', '랭장', '보관', '생으로', '경우', '정도', '후', '식초', '삭', '식감', '색', '종합']
http://www.iybrb.com/pla/content/2019-10/08/47_375796.html	붉은 고기, 건강에 미치는 위험 낮을지도-연변일보 Yanbian Daily	289	6	190	86	7	['니트로', '스트레스', '헬리', '파일', '캐나다', '유럽']	['적색육', '과도', '섭취', '하면', '암', '심장병', '등', '질병', '발생', '할', '사실', '연구', '규명', '지금', '구결', '보면', '적색육', '철분', '성분', '발암', '물질', '화합물', '생', '영향', '유전자', '손상', '산화', '위암', '위험', '요인', '로리', '균', '성장', '가공', '육이', '실제', '건강', '잠재', '위험성', '건강', '위해', '섭취량', '필요', '결과', '미국', '통신', '등', '보도', '등', '개국', '명의', '구진', '현지', '시간', '의학', '전문', '내과학', '연보', '게재', '일련', '론문', '통해', '구진', '구결', '종합', '분석', '북미', '서유럽', '섭취량', '일주일', '분량', '암', '사망', '할', '확률', '명당', '명', '감소', '점', '주목', '구진', '감소', '률', '유의', '미하', '섭취', '암', '사망률', '별로', '가공', '육', '섭취', '심장질환', '당뇨병', '관련', '립증', '할', '증거', '신빙', '지적', '가공', '육이', '건강', '섭취량', '필요', '음식', '음식', '생활', '방식', '건강', '영향', '구진', '진실', '대한', '최선', '추정', '결과', '각자', '판단', '통신', '기존', '의학', '상식', '배치', '이번', '결과', '학계', '일각', '반발', '연구', '발표', '자체', '보류', '고', '전', '육류', '섭취', '건강', '악', '영향', '연구', '해온', '미국', '영양학', '교수', '이번', '구결', '립증', '할', '근거', '문제', '발표', '유보', '주장', '세계', '기금', '도', '이번', '결과', '가공', '육이', '암', '유발', '할', '가능성', '기존', '립', '립', '세계보건기구', '산하', '국제', '연구소', '가공', '육', '적색육', '각각', '군', '군', '발암', '물질', '지정', '적색육', '가공', '육', '섭취량', '평균', '미국', '적은', '편이', '종합']
http://www.iybrb.com/pla/content/2019-10/12/47_376432.html	화려한 모양새 갖춰가는 커피-연변일보 Yanbian Daily	304	57	117	120	10	['커피', '커피', '밀레', '커피', '커피', '콘텐츠', '밀레', '커피', '커피', '커피', '프랜차이즈', '크림', '커피', '커피', '커피', '크림', '커피', '크림', '커피', '메뉴', '마니아', '메뉴', '프랜차이즈', '크림', '치즈', '커피', '메뉴', '베트남', '커피', '커피', '밀레', '베트남', '커피', '커피', '베트남', '커피', '부스터', '브랜드', '베트남', '커피', '브랜드', '커피', '레시피', '시리즈', '베트남', '커피', '히트', '밀크', '커피', '커피', '밀레', '솔트', '커피', '메뉴', '커피', '커피', '메뉴']	['계절', '업체', '경쟁', '본격', '시점', '시장', '세대', '이목', '집중', '일가', '음료', '경험', '가치', '전달', '도', '잡고', '세대', '해외', '경험', '외국', '본', '국내', '국적', '인기', '대표', '지역별', '동남아', '주목', '유명', '편의점', '제품', '통', '련이어', '출시', '추세', '동시', '메뉴판', '아인', '이상', '용어', '아인', '인기', '매력', '특징', '점', '시작', '층', '중심', '인기', '이색', '통해', '감성', '시작', '통해', '출시', '승부', '연유', '동남아', '세대', '관심', '려행', '객', '연유', '인기', '연유', '특징', '원두', '사용', '하기', '연유', '일반', '한', '업체', '연유', '도', '음료', '관계자', '세계', '각국', '해석', '세계', '제품', '편의점', '만날', '고', '전', '대만', '당', '식', '음료', '업계', '최대', '대만', '당', '음료', '당', '특유', '색', '당', '도', '세대', '취향', '저격', '대만', '운치', '음료', '조름한', '조화', '글로벌', '국적', '경험', '충족', '국가', '별', '특징', '전망', '종합']
http://www.iybrb.com/pla/content/2019-10/12/47_376433.html	수분 보충에 가장 적합한 음료는 우유-연변일보 Yanbian Daily	376	24	204	143	5	['스코틀랜드', '세인트', '주스', '멜리사', '세인트', '위스키', '위스키', '위스키', '커피', '카페인', '밀리', '그람', '카페인', '온스', '밀리리터', '커피', '밀리', '그람', '카페인', '커피', '카페인', '카페인', '커피', '스푼']	['수분', '보충', '할', '음료', '소량', '설탕', '지방', '단백질', '함유', '음료', '결과', '미국', '방송', '최근', '보도', '대학', '음료', '수분', '흡수', '결과', '비교', '연구', '진행', '결과', '신체', '수분', '공급', '역할', '확인', '반면', '약간', '설탕', '지방', '단백질', '함유', '음료', '수분', '유지', '우유', '경우', '유당', '단백질', '지방', '등', '소화', '영양소', '소화기관', '우유', '작용', '해서', '체내', '소변', '배출', '설사', '치료', '구강', '수분', '보충', '제도', '소량', '설탕', '함유', '체내', '수분', '유지', '수분', '섭취', '면', '탄산음료', '음료', '설탕', '다량', '함유', '위장', '소화', '음료', '소장', '설탕', '농도', '삼투압', '당분', '석', '위해', '체내', '소장', '하면', '수분', '장', '체내', '상태', '미국', '영양', '식이', '료', '법학', '회의', '대변인', '마', '탄산음료', '수도', '선택', '항상', '신장', '간', '의존', '독소', '제거', '피부', '탄력성', '유지', '역할', '설명', '수분', '유지', '관절', '윤활유', '역할', '감염', '예방', '세포', '영양분', '운반', '대학', '의과대학', '모건', '교수', '필요', '수분', '뇌', '신호', '고', '환경', '훈련', '수분', '섭취', '장시간', '인지', '기능', '문제', '행위', '모건', '교수', '강조', '경우', '리뇨제', '역할', '하기', '음료', '총량', '수분', '흡수', '정도', '맥주', '경우', '물의', '량', '탈수', '모건', '교수', '맥주', '량', '수분', '섭취', '하기', '수분', '손실', '음료', '수분', '부족', '석', '음료', '설명', '역시', '량', '수분', '섭취', '모건', '교수', '연구', '통상', '의', '수분', '공급', '할', '이상', '약', '잔', '해당', '섭취', '하면', '리뇨', '작용', '탈수', '현상', '평소', '섭취', '하지', '가능성', '한잔', '우유', '첨가', '하면', '상쇄될', '종합']
http://www.iybrb.com/pla/content/2019-10/12/47_376434.html	아침에 먹으면 체중 감량에 도움되는 음식-연변일보 Yanbian Daily	387	30	200	142	15	['스트레스', '프라이', '스크램블', '바나나', '바나나', '아카데미', '바나나', '바나나', '글루카곤', '쵸콜레트', '크래커', '칼로리', '스페인', '나바라', '그람', '브라질', '그람', '그룹', '그룹', '컵', '그람', '그람', '그람', '콜레스테롤', '베타', '베타글루칸', '베타', '베타글루칸', '호르몬', '펩티드']	['시세', '아침식사', '중요성', '강조', '해도', '현대인', '아침식사', '일이', '아침식사', '당뇨', '심장질환', '등', '건강', '문제', '기도', '국립', '쎈터', '아침식사', '주', '이하', '매일', '비해', '뇌출혈', '위험', '아침식사', '거르', '공복', '혈압', '심뇌', '혈관', '질환', '위험', '섭취', '음식', '종류', '결정', '요인', '음식', '종류', '건강', '체중', '감량', '영향', '식탁', '음식', '단백질', '아침식사', '제격', '식품', '비만', '국제', '발표', '연구', '아침식사', '과체중', '녀성', '녀성', '체중', '복부', '지방', '감소', '아침식사', '섭취', '할', '활용', '역시', '취향', '조리법', '선택', '할', '섭취', '하면', '포만', '지속', '식사', '관리', '중국', '과학', '진행', '연구', '식품', '소화', '시간', '포만', '이후', '식사', '량', '영향', '당뇨병', '환자', '식후', '혈당', '감소', '저항', '전분', '정도', '저항', '전분', '지방', '분해', '촉진', '자극', '체중', '감량', '단백질', '유제품', '포만', '식욕', '아침식사', '제격', '미국', '대학', '진행', '연구', '단백질', '간식', '비해', '적은', '섭취', '포만', '식욕', '조절', '대학', '진행', '연구', '매일', '섭취', '과체중', '비만', '위험', '치아', '단백질', '치아', '아침식사', '최고', '식품', '단백질', '포만', '현대인', '지방산', '함량', '치아', '필수', '아미노산', '방성', '가', '지방산', '포함', '치아', '련방', '대학', '주간', '진행', '연구', '매일', '치아', '섭취', '체중', '단백질', '원천', '단백질', '아침식사', '섭취', '하면', '포만', '혈당', '수치', '조절', '면역', '기능', '심장', '건강', '영향', '성분', '섬유질', '일종', '섭취', '역시', '식사', '조절', '대학', '진행', '연구', '과체중', '성인', '대상', '함량', '식단', '제공', '결과', '식욕', '감소', '영향', '음식물', '섭취', '조절', '수치', '점', '확인', '종합']
http://www.iybrb.com/pla/content/2019-10/08/47_375797.html	고구마 조리법 따라 혈당지수 달라진다-연변일보 Yanbian Daily	407	23	206	172	6	['우주시', '베타카로틴', '글리', '사이드', '비타민', '베타카로틴', '다이어트', '다이어트', '그람', '킬로칼로리', '킬로칼로리', '킬로칼로리', '시드니', '그람', '오븐', '스파이크', '박테리아', '박테리아', '오븐', '케이크', '도넛', '젤리', '와플']	['남녀', '로소', '영양', '간식', '지난', '년', '전', '세계', '식품', '업계', '주목', '건강', '식', '재료', '글로벌', '식', '음료', '시장', '조사', '기업', '조사', '식', '음료', '업계', '활용', '식', '음료', '제품', '증가', '건강', '식', '재료', '주목', '리유', '영양', '리점', '영양성분', '미국', '항공우주', '식량', '자원', '선택', '식품', '정도', '실제', '연구', '강점', '립증', '미국', '국립', '연구소', '연구', '매일', '전혀', '비해', '페암', '발생', '률', '절반', '함유', '당지', '질의', '강', '항', '작용', '도', '일본', '의과학', '연구소', '연구', '발암', '률', '항', '효과', '채소', '함유', '량', '양성', '항', '효과', '량질', '변', '대장', '통과', '시간', '대장암', '예방', '물질', '암', '예방', '의', '물질', '암세포', '증식', '제한', '페암', '예방', '효과', '탄수화물', '선풍', '인기', '내면서도', '혈당', '식품', '이기', '포도당', '기준', '식품', '혈당', '수치', '소화', '포만', '지속', '탄수화물', '인기', '북미', '지역', '지수', '단순', '탄수화물', '식품', '소비자', '중심', '열량', '생', '군', '과', '지수', '선택', '조리법', '지수', '대학', '조리법', '지수', '실험', '진행', '방법', '방법', '등', '방법', '진행', '실험', '실험', '결과', '화학', '구조', '전분', '체내', '효소', '소화', '식사', '이후', '혈당', '혈당', '증상', '방지', '연구', '경우', '지수', '반면', '구울', '경우', '조리', '과정', '저항', '전분', '파괴', '하기', '전분', '한', '종류', '저항', '전분', '체내', '포도당', '분해', '하지', '신체', '흡수', '대신', '대장', '분해', '류', '사하게', '작용', '장내', '영양', '공급', '연구', '결과', '구울', '경우', '지수', '구울', '구워진', '확인', '수치', '운', '지수', '식물성', '경우', '지수', '인', '확인', '수치', '종합']
http://www.iybrb.com/pla/content/2019-09/27/47_374944.html	커피에 대한 사소한 궁금증-연변일보 Yanbian Daily	473	61	196	208	8	['커피', '프랜차이즈', '커피', '커피', '쇼', '커피', '커피', '노하우', '커피', '벨트', '아프리카', '커피', '브라질', '콜롬비아', '페루', '커피', '페루', '커피', '커피', '페루', '커피', '밀크', '초콜릿', '에티오피아', '케냐', '커피', '아프리카', '초콜릿', '커피', '로스', '스타', '느와르', '유럽', '커피', '트레이너', '만나', '느와르', '커피', '커피', '느와르', '커피', '커피', '스테롤', '콜레스테롤', '필터', '브라질', '필터', '스테롤', '필터', '스테롤', '커피', '카페인', '느와르', '카페인', '필터', '커피', '필터', '커피', '카페인', '필터', '카페인']	['시대', '전문점', '우후죽순', '최근', '족', '원두', '직접', '구입', '방식', '한', '사무국', '발표', '백서', '소비자', '원두', '구입', '할', '신선도', '숙성', '개인', '선호', '가격', '원산지', '순', '구매', '고려', '족', '위해', '선', '원두', '산지', '원두', '차이', '남북', '회귀선', '중남미', '동남아시아', '만날', '등', '중남미', '지역', '원두', '조화', '특징', '최근', '남미', '지역', '국제', '대회', '차례', '주목', '남미', '지역', '지대', '생산', '특장점', '토양', '특성', '강수량', '조량', '지역', '향', '특징', '전반', '평이', '등', '고급', '생산', '지역', '원두', '산미', '특징', '동남아시아', '지역', '특징', '원두', '유심', '원두', '산화', '진행', '보통', '이후', '지난', '원두', '품질', '원두', '구입', '예정', '이면', '사서', '보관', '원두', '원두', '포장', '원두', '자체', '원두', '가능성', '전도', '원두', '수도', '오일', '원두', '산화', '요인', '원두', '보관', '보통', '가정', '원두', '보관', '방법', '전', '세계', '인', '협회', '원두', '상태', '사서', '령', '이하', '랭', '보관', '원두', '이산화탄소', '보존', '고유', '보존', '원두', '산소', '미가', '이산화탄소', '씨', '랭동실', '할', '경우', '품질', '식', '개별', '포장', '랭', '보관', '고', '강조', '원두', '상온', '보관', '경우', '온도', '역시', '외부', '산소', '차단', '포장', '상태', '직사', '광선', '습도', '보관', '씨', '제일', '고', '법', '지방', '성분', '체내', '변화', '건강', '리점', '해서', '음료', '대신', '원두', '내면', '대학', '진행', '연구', '량', '효과', '무려', '물질', '역시', '질', '량', '방법', '씨', '원두', '시간', '비교', '하면', '함량', '시간', '반면', '시간', '고', '종합']
