url	title	TotalKorean	EnglishRoot	ChineseRoot	KoreanRoot	UnknownRoot	EnglishRootList	ChineseRootList
http://www.iybrb.com/news/content/2016-10/26/61_39372.html	조선, 월드컵 우승 녀자축구팀 대대적 환영	166	6	108	46	6	['축구월드컵', '퍼레이드', '요르단', '월드컵', '비긴', '뉴미디어']	['조선', '이하', '녀자', '대회', '귀국', '선수', '위해', '대적', '환영', '행사', '조선', '중앙', '방송', '평양', '방송', '조국', '수도', '평양', '환영', '분위기', '평양', '국제', '비행장', '선수', '가족', '청년', '학생', '체육', '고', '보도', '선수', '태운', '비행기', '도착', '하자', '체육', '지도', '위원회', '위원', '겸', '로동당', '중앙', '위원회', '부위', '원장', '내각', '부총리', '체육', '조선', '축구', '련맹', '부위', '원장', '산', '등', '선수', '건', '선수', '평양', '시내', '입구', '룡흥', '개선문', '창', '등', '매체', '우승', '영예', '녀자', '축구선수', '환영', '하기', '위해', '수도', '시민', '인산인해', '이루고있었다', '고', '전', '선수', '김일성', '주석', '위원장', '동상', '조선', '지난', '현지', '시간', '국제', '축구', '련맹', '녀자', '결승전', '일본', '상대로', '득점', '승부차기', '제압', '조선', '녀자', '축구', '이후', '두번째', '외신', '연변', '일보', '부', '편집']
http://www.iybrb.com/news/content/2016-11/28/61_39381.html	조선 북부 재해군중 새집으로 이사	17	0	11	5	1	[]	['조선', '북부', '수해', '피해', '지역', '호가', '주택', '완공', '하여', '최근', '신화']
http://www.iybrb.com/news/content/2016-11/21/61_39380.html	조선, 대 조선 적대시정책 포기할것을 미국에 호소	138	0	104	29	5	[]	['평양', '신화통신', '조선', '중앙', '통신사', '론평', '발표', '대', '조선', '정책', '대세', '정세', '발전', '대', '조선', '적대시', '정책', '포기', '미국', '호소', '경우', '미국', '문제해결', '진척', '전', '론평', '최근', '미국', '언론', '매체', '조선', '최고', '지도자', '전선', '부대', '시찰', '과정', '핵', '절대', '포기', '하지', '결심', '표명', '지적', '론평', '미국', '조선', '문제', '전문가', '언론', '미국', '과거', '대', '조선', '적대시', '정책', '매달릴것이', '대세', '정세', '발전', '부합', '대', '조선', '정책', '조정', '의견', '지적', '론평', '미국', '조선', '생존', '자체', '위협', '적대시', '정책', '견지', '상황', '조선', '일방', '핵', '포기', '주장', '납득', '강조', '론평', '미국', '대', '조선', '적대시', '정책', '포기', '하지', '한', '문제', '해결', '진척', '미국', '시세', '파악', '정책', '제정', '신중성', '기해', '강조']
http://www.iybrb.com/news/content/2016-04/01/61_39293.html	습근평주석,한국 박근혜대통령과 정상회담	307	10	207	64	26	['유엔', '메시지', '쇼', '햄', '호텔', '테이블', '갖고있다', '실크로드', '유라시아', '뉴미디어']	['주석', '미국', '현지', '시간', '한국', '대통령', '정상회담', '각국', '안전보장리사회', '안보리', '의', '관련', '결의', '전면', '리', '행해', '고', '회담', '조선', '핵', '대화', '재개', '주장', '각국', '한반도', '긴장', '성행위', '해서는', '사진', '설명', '주석', '대통령', '오후', '현지', '시간', '미국', '중', '정상회담', '현안', '대해', '발언', '주석', '핵', '안보', '정상', '회의', '참석', '계기', '미국', '대통령', '개최', '정상회담', '중국', '반도', '비핵화', '실현', '반도', '평화', '안정', '수호', '대화', '협상', '통한', '문제해결', '견', '관', '중국', '대', '원칙', '거론', '립', '신화통신', '보도', '주석', '대화', '협상', '문제', '해결', '방향', '중국', '회담', '대화재', '추진', '건설', '노력', '강조', '왕', '외교부', '초', '외신', '기자회견', '문제', '대화', '복귀', '각국', '제시', '접촉', '포함', '개방', '태도', '고', '주석', '중국', '각국', '정세', '긴장', '언행', '하지', '촉구', '지역', '국가', '익', '전략', '균형', '훼손', '해서는', '고', '강조', '대통령', '문제', '관련', '현재', '정세', '대한', '한국', '립', '설명', '관련', '문제', '대해', '중국', '소통', '유지', '하길', '립', '신화통신', '전', '주석', '일대일', '륙상', '해상', '대한', '한국', '적극', '참여', '환영', '량국', '간', '발전', '전략', '접목', '중', '자유무역', '협정', '의', '리행', '금융', '협력', '한국', '관광', '등', '계기', '한', '인문', '교류', '확대', '등', '자고', '강조', '대통령', '한국', '대', '중관', '중시', '일로', '접목', '인문', '교류', '평창', '동계올림픽', '북경', '동계올림픽', '상호', '지지', '등', '강조', '주석', '항주', '개최', '주요', '개국', '정상', '회의', '대통령', '참석', '환영', '대통령', '초청', '하자', '대통령', '요청', '수락', '신화통신', '연변', '일보', '부', '편집']
http://www.iybrb.com/news/content/2016-05/26/61_39754.html	조선, 조한 실무적접촉 거행 재차 호소… 한국측 재차 거절	233	0	174	51	8	[]	['신화사', '주재', '평양', '기자', '종합', '보도', '조선', '중앙', '통신사', '보도', '조선', '국방', '위원회', '인민', '무장', '량', '한국', '최대한', '내', '실무', '접촉', '진행', '하여', '군사', '당국', '회담', '문제', '토론', '한국', '측은', '대해', '재차', '거절', '보도', '조선', '국방', '위원회', '인민', '무장', '량', '한국', '통지', '사적', '대결', '충돌', '대화', '협상', '수단', '통해', '현재', '북남관계', '처', '난제', '해결', '조선', '군민', '불변', '의지', '조선', '립', '한국', '실무', '접촉', '진행', '하여', '군사', '당국', '회담', '문제', '토론', '희망', '한국', '측은', '조선', '요구', '최대한', '응답', '대해', '한국', '련합', '통신사', '한국', '국방부', '소식', '인용', '하여', '조선', '통지', '대해', '한국', '정부', '립', '즉', '조선', '대화', '조선', '비핵화', '조치', '취하', '선결', '조건', '조선', '만약', '진심', '평화', '안정', '희망', '실제', '행동', '비핵화', '의지', '한국', '측은', '조선', '대해', '립', '요구', '보도', '동시', '조선', '이번', '발송', '통지', '내용', '일전', '한국', '답변', '전문', '한국', '국방부', '조선', '이번', '발송', '통지', '대한', '답변', '전문', '조선', '국방', '위원회', '인민', '무장', '량', '한국', '군대', '시간', '지점', '실무', '접촉', '량', '군사', '당국', '회담', '문제', '토론', '건의', '한국', '국방부', '당일', '답변', '조선', '제안', '대해', '한국', '정부', '립', '조선', '대화', '조건', '조선', '비핵화', '조치', '취하', '인민']
http://www.iybrb.com/news/content/2016-02/23/61_39276.html	한국 3000쌍 부부 단체결혼식 거행	102	2	63	35	2	['인터넷', '올린']	['개', '지구', '약', '쌍', '부부', '한국', '대형', '단체', '결혼식', '거행', '결혼식', '서북', '경기도', '가평군', '거행', '약', '관람', '현장', '쌍', '부부', '외', '세계', '각지', '부부', '당일', '통해', '동시', '결혼식', '참가', '성대', '장면', '사실', '쌍', '부부', '쌍', '신인', '기타', '부부', '결혼식', '부부', '신인', '결혼식', '의의', '약혼', '한지', '년', '만날', '시간', '별로', '대부분', '시간', '일이', '명의', '영국', '신랑', '당일', '일본인', '단체', '결혼식', '참가', '결혼', '경력', '인민']
http://www.iybrb.com/news/content/2016-05/04/61_39300.html	재한조선족 60만명 중국인 1위 차지	140	3	100	35	2	['베트남', '타이', '필리핀']	['한국', '체류', '외국인', '증가', '지난', '사상', '한국', '법무부', '출입국', '외국인', '정책', '본부', '지난', '기준', '한국', '체류', '외국인', '명', '집계', '전월', '대비', '년', '대비', '각각', '증가', '수치', '명', '력대', '최대', '기록', '석', '달여에', '지난', '명', '명', '잠시', '중국인', '조선족', '포함', '체류', '증가', '등', '입어', '최고', '경신', '국적', '별로', '중국', '명', '조선족', '명', '미국', '명', '명', '명', '명', '일본', '명', '등', '체류', '자격', '보면', '자격', '명', '방문', '취업', '명', '전문', '취업', '명', '영주', '명', '류학', '명', '등', '체류', '기간', '장기', '체류', '외국인', '등록', '거소', '신고', '명', '체류', '명', '한편', '외국인', '배우자', '명', '증가', '외국인', '류', '학생', '수생', '포함', '은', '명', '외신', '종합']
http://www.iybrb.com/news/content/2016-04/07/61_39294.html	벚꽃의 기원은 어디에? 한일 벚꽃 원산지 론쟁	224	1	127	79	17	['련합뉴스']	['매년', '개', '계절', '대량', '유람', '객', '감상', '아시아주에서', '중국', '일본', '한국', '각자', '각양각색', '인산인해', '기원', '대해', '감상', '한국', '한국', '기원', '관해', '일본', '다년', '론쟁', '수목', '학', '한국', '삼림', '과학', '연구소', '아령', '부문', '주관', '다수', '토박이', '제주도', '야생', '기원', '고', '현재', '기', '제주', '축제', '제주도', '관광객', '이번', '제주', '축제', '초청', '한국', '문화', '력사', '전설', '강의', '유람', '객', '안승', '씨', '비행기', '타고', '제주도', '감상', '한국', '한국', '일본', '한문', '일본', '종래', '련합연구', '가동', '하여', '한국', '원산지', '대해', '토론', '하지', '성균관', '대학', '식물분류학', '제주도', '유전', '기원', '대한', '연구', '기원', '대한', '론쟁', '절실', '과학', '연구', '기타', '명의', '인원', '이전', '제주도', '왕', '문장', '공동', '편찬', '수종', '한국', '국내', '기원', '인정', '현재', '한국', '간의', '관계', '연구', '중이', '부인', '대해', '한국인', '정서', '남아있다', '일본', '전쟁', '패', '후', '일부', '지구', '심지어', '민간', '활동', '일본군', '흔적', '인민']
http://www.iybrb.com/news/content/2016-03/01/61_39280.html	조선에 억류된 미국대학생 "죄행" 진술, 적대행위 승인	350	1	208	113	28	['호텔']	['조선', '억류', '미국', '대학', '학생', '오토', '조선', '수도', '평양', '기자회견', '자신', '조선', '죄행', '진술', '자신', '미국', '한', '교회', '교사', '미국정부', '묵인', '관광', '명의', '조선', '진입', '하여', '조선', '적대', '활동', '종사', '조선', '영웅', '살인', '오전', '조선', '주재', '외국', '매체', '개방', '평양', '인민', '기자회견', '미국', '은', '조선', '관원', '인용', '하여', '기자회견', '비어', '본인', '주동', '요구', '기자회견', '작년', '관광', '명의', '조선', '진입', '평양', '국제', '종업원', '구역', '조선', '정치', '선전', '죄행', '조선', '중앙', '통신사', '진술', '인용', '하여', '대학생', '행위', '사전', '모의', '범행', '실행', '하기', '전', '미국', '감리교회', '교사', '미국정부', '묵인', '계획', '실시', '보도', '조선', '국가', '하여', '산생', '조선', '대해', '즉시', '행동', '실시', '하여', '보도', '작년', '한', '친구', '중', '자백', '상대', '측은', '미국', '감리교회', '집사', '조선', '정치', '선전', '교사', '전리품', '교회당', '난후', '중고차', '제공', '약속', '만약', '교회', '자선', '형식', '제공', '진술', '보도', '자신', '미국', '정부', '정객', '수단', '조선', '대하', '관련', '조선', '인민', '정부', '사죄', '미국', '방송', '기자회견', '동영상', '자신', '자기', '인생', '착오', '조선', '정부', '석방', '간청', '미국', '교회', '부인', '죄', '인정', '대해', '미국', '감리교회', '미국', '의', '확인', '요청', '전면', '부인', '미국', '감리교회', '목사', '조선', '매체', '보도', '지목', '교회', '녀', '집사', '교회', '성원', '약', '명', '중', '종래', '비어', '가족', '난적', '학교', '고', '만약', '가족', '교회', '적극', '조선', '석방', '사업', '참여', '고', '미국', '은', '지금', '기자회견', '개최', '압력', '압박', '존재', '하지', '죄행', '진술', '보도', '인민']
http://www.iybrb.com/news/content/2016-05/09/61_39304.html	김정은: 조선은 "핵 선제공격 안하고" "핵에는 핵으로 대응한다"	556	5	384	141	26	['사이트', '라라', '카네기', '센터', '이미지']	['조선', '최고', '지도자', '차', '대표', '대회', '적대', '세력', '핵무기', '리용', '조선', '주권', '침범', '하지', '조선', '핵무기', '사용', '하지', '조선', '정부', '차', '핵실험', '후', '발표', '성명', '비해', '이번', '립', '조선', '핵무기', '사용', '하지', '정책', '관련', '진', '일보', '전제', '천명', '상대방', '핵무기', '사용', '하지', '조선', '핵무기', '사용', '하지', '리해', '조선', '매체', '보도한데', '서기', '로동당', '차', '회의', '두번째', '회의', '중앙', '위원회', '사업', '총화', '보고', '기관지', '로동신문', '과', '조선', '중앙', '통신사', '중문', '보도', '조선', '책임', '핵보유국', '적대', '세력', '핵', '자주권', '침해', '하지', '핵무기', '사용', '하지', '고', '조선', '중앙', '통신사', '당일', '영어', '보도', '전', '핵', '핵', '대응', '일수', '문자', '리해', '할', '태도', '조선', '핵무기', '핵무기', '대응', '사용', '일반', '무기', '사용', '해서', '조선', '정부', '핵', '억제', '은', '핵무기', '리용', '조선', '자주권', '침해', '전', '조선', '천명', '핵무기', '사용', '하지', '정책', '일치', '하지', '조선', '차', '지하', '핵실험', '진행', '하기', '전', '외무성', '성명', '발표', '절대로', '핵무기', '리용', '위협', '하지', '전', '조선', '핵무기', '전쟁', '억제', '력량', '미국', '침략', '위협', '대응', '조선', '최고', '리익', '민족', '안전', '보위', '하기', '해서이고', '전쟁', '방지', '하기', '조선', '차', '핵실험', '진행', '조선', '기', '최고', '인민', '대회', '차', '회의', '자위', '핵', '보위', '지위', '공고', '법령', '통과', '핵무기', '방위', '무기', '조선', '비핵', '국가', '상대로', '핵무기', '사용', '하지', '비핵', '국가', '핵', '보유', '적대', '세력', '국가', '조선', '침략', '공격', '하지', '무기', '위협', '하지', '조선', '정부', '차', '핵실험', '진행', '수소탄', '실험', '난후', '성명', '발표', '적대', '세력', '조선', '자주권', '침해', '하지', '조선', '절대로', '핵무기', '사용', '하지', '상술', '정책', '조선', '핵무기', '사용', '일반', '무기', '공격', '침범', '반격', '가능성', '배제', '하지', '외계', '보편', '일반', '군사력', '량', '상의', '미국', '한국', '대한', '약세', '봉', '조선', '핵무기', '발전', '주요', '원인', '근년', '핵실험', '탄도', '기술', '리용', '위성', '발사', '조선', '국제', '제재', '국제', '압력', '한국', '미국', '군사', '압력', '조선', '공식', '차례', '미국', '한국', '선제', '공격', '진행', '심지어', '핵', '타격', '선포', '례', '조선', '국방', '위원회', '성명', '발표', '미국', '한국', '합동', '군사연습', '조선', '자주권', '대한', '핵전쟁', '도발', '질책', '선제', '공격', '인', '핵', '타격', '진행', '경고', '청화', '글로벌', '정책', '연구원', '핵', '정책', '전문가', '조통', '최신', '립', '보면', '핵무기', '사용', '하지', '정책', '전보', '정도', '전', '제출', '선제', '공격', '정책', '부정', '조통', '조선', '이번', '발전', '억제', '실현', '하기', '목적', '핵무기', '방어', '성질', '핵', '표명', '조선', '표명', '호성', '전체', '조선', '책임', '핵보유국', '의', '수립', '하려', '반영', '국제', '관계', '학원', '사무', '전문가', '조위', '립', '핵무기', '조선', '대처', '하지', '핵', '위협', '핵', '타격', '막론', '조선', '핵무기', '사용', '하지', '미국', '한국', '알려주는것이라고', '완화', '신호', '의미', '방면', '조선', '립', '누', '의미', '인정', '인민']
