url	title	TotalKorean	EnglishRoot	ChineseRoot	KoreanRoot	UnknownRoot	EnglishRootList	ChineseRootList
http://www.iybrb.com/news/content/2019-10/15/59_376730.html	중국 디지털TV 표준 11개 나라와 지역에 적용-연변일보 Yanbian Daily	224	10	164	50	0	['디지털', '디지털', '디지털', '디지털', '시스템', '아날로그', '디지털', '업그레이드', '코드', '디스플레이']	['북경', '신화통신', '국가', '시장', '감독', '관리', '부국', '국가', '표준', '위원회', '주임', '굉', '지금', '개', '지역', '중국', '표준', '채용', '상업', '사용', '하기로', '기본', '확정', '중국', '산업', '제품', '기업', '대외', '진출', '중국', '표준', '해외', '보급', '응용', '구도', '형성', '세계', '표준화', '주제', '영상', '표준', '글로벌', '무대', '창조', '하자', '굉', '선진', '음성', '영상', '기술', '전환', '추', '동하', '국제', '표준', '특허', '기술', '독점', '타파', '영상', '기술', '국제화', '추진', '면', '표준', '국제', '전신', '련맹', '의', '국제', '표준', '산업', '행정', '해외', '보급', '응용', '위해', '토대', '굉', '소개', '영상', '산업', '발전', '보면', '흑백', '채색', '영상', '신호', '해상도', '표준', '화질', '고화질', '초고', '화질', '산업', '영상통화', '고화질', '영상', '등', '면', '응용', '인민', '생활', '효률', '향후', '초고', '화질', '영상', '시각', '건강', '신형', '설비', '등', '면', '관련', '표준화', '연구', '제정', '층', '표준', '선진', '과학', '성과', '전망', '보유', '할', '영상', '표준', '관련', '왕성', '수요', '층', '부응', '하여', '국제', '표준', '국가', '표준', '업종', '표준', '단체', '표준', '통일', '계획', '단계', '표준', '역할', '발휘', '영상', '산업', '응용', '발전', '할', '통계', '영상', '관련', '국가', '표준', '개', '국가', '표준', '등록', '전문가', '여명']
http://www.iybrb.com/news/content/2019-10/14/59_376633.html	1976년: 10월의 승리-연변일보 Yanbian Daily	263	2	201	52	8	['골', '골']	['세계', '일련', '발생', '주은래', '총리', '서거', '인민군', '주은래', '추모', '인', '무리', '반대', '천안문', '사건', '발생', '후', '당내', '직무', '취소', '전국', '인대', '상무', '위원회', '위원장', '주덕', '서거', '하북', '당산', '일대', '지진', '발생', '하여', '인민', '생명', '재산', '손실', '당', '국가', '군대', '주요', '창시자', '지도자', '모택동', '서거', '하여', '전국', '상하', '비통', '모택동', '서거', '하기', '전후', '인', '무리', '당', '국가', '최고', '지도', '탈취', '음모', '활동', '당시', '중공', '중앙', '부석', '국무원', '총리', '왕', '흥', '등', '중앙', '지도', '동지', '공동', '연구', '반복', '상의', '중공', '중앙', '정치국', '동지', '다수', '동의', '후', '당', '인민', '의지', '집행', '하여', '인', '무리', '대해', '과단', '조치', '강구', '하기로', '결정', '등', '직접', '지휘', '하여', '중앙', '정치국', '상무', '회의', '소집', '형식', '왕', '홍문', '장춘', '교', '대한', '격리', '심사', '선포', '동시', '강청', '문원', '대해', '서도', '격리', '심사', '진행', '전후', '불과', '시간', '총', '방도', '인', '무리', '일거에', '중앙', '조치', '강', '구해', '상해', '인', '무리', '집단', '분자', '무장', '폭란', '발동', '계획', '분쇄', '기타', '각지', '인', '무리', '집단', '분자', '대해', '서도', '과단', '조치', '강', '구함', '전국', '정치', '정세', '안정', '보장', '중공', '중앙', '정식', '전당', '인', '무리', '소식', '공포', '전국', '억만', '인민', '충심', '옹호', '인', '무리', '분쇄', '문화', '대혁명', '의', '재난', '결속', '위험', '재난', '당', '구', '중국', '사회주의', '사업', '구', '당', '력사', '전환', '실현', '전제', '창조', '공화국', '력사', '페지', '신화통신']
http://www.iybrb.com/news/content/2019-10/13/59_376548.html	‘동북 곡창’, ‘중국 밥그릇’ 든든하게 지켜-연변일보 Yanbian Daily	207	2	121	78	6	['데이터', '메터']	['북경', '신화통신', '수확', '동북', '전국', '량곡', '생산', '량', '생산', '동북', '성은', '량곡생산량', '온당', '고하', '대화', '농업', '건설', '추진', '록색', '농업', '발전', '추진', '하여', '량곡', '안전', '생산', '지위', '온당', '중국', '길림성', '유', '수시', '신촌', '수확', '시작', '촌', '서기', '생산량', '근', '지난', '세기', '신촌', '량곡', '생산량', '소개', '유수', '농업', '부국', '세기', '유수', '년', '량곡생산량', '지금', '년', '생산량', '수준', '천하', '제일', '곡창', '미명', '근년', '동북', '성의', '량식', '종합', '생산', '능력', '국가', '량곡안전', '대한', '버팀목', '역할', '공고', '국가', '통계', '동북', '성의', '량곡', '생산', '량', '달해', '전국', '생산', '량', '동북', '성', '량곡', '생산', '량', '실현', '전국', '생산', '량', '길림성', '리', '수현', '리', '수진', '고가', '촌', '촌민', '매년', '후', '자연', '부패', '후', '직접', '파종', '소개', '보호', '기술', '경작지', '방지', '능력', '할', '화학', '비료', '용량', '생산량', '좌우', '소개']
http://www.iybrb.com/news/content/2019-09/09/59_372333.html	70년간, 80%의 문맹으로부터 대학교육 보급화에로-연변일보 Yanbian Daily	293	1	208	77	7	['디지털']	['의', '문맹', '대학교육', '보급', '북경', '신화통신', '그녀', '기억', '연필', '눈동자', '지식', '대한', '갈망', '학교', '의', '사진', '주인공', '명연', '적지', '기억', '조부모', '문맹', '부모', '초', '졸업', '대학', '졸업', '명연', '일가', '세대', '중국', '교육', '쾌속', '발전', '친히', '중국', '창건', '초기', '전국', '인구', '가', '문맹', '문화', '수준', '민족', '발전', '진보', '장애', '교육', '우선', '발전', '전략', '지위', '확립', '의무', '교육법', '반포', '실시', '의무교육', '보급', '전략', '임무', '전면', '완수', '중국', '의무교육', '보급', '정도', '세계', '소득', '국가', '평균', '수준', '도달', '중국', '창건', '초기', '대학교육', '총', '입학', '률', '교육부', '세계', '규모', '대학교육', '체계', '구축', '대학교육', '총', '입학', '률', '도달', '대학교육', '보급', '단계', '진입', '선포', '절반', '이상', '적령', '기', '청년', '대학교육', '의미', '기초', '교육', '대학교육', '발전', '국민', '전반', '자질', '향상', '로동자', '기술', '기능', '폭', '고시', '계주', '구', '산촌', '년전', '반주', '임의', '건의', '한', '중등', '직업', '학교', '제어', '전공', '후', '전국', '직업', '기술', '학원', '기능', '대회', '비교', '순위', '고등', '직업', '기술', '학원', '진학', '졸업', '후', '여', '기술', '수준', '책임지는', '직업', '정신', '빈해', '신구', '한', '기업', '재능', '발휘', '세대', '자질', '로동자', '기술', '기능', '인재', '총', '양성', '중국', '창건', '초기', '명', '명', '문맹', '신규', '증가', '로동', '평균', '교육', '년', '초과', '하여', '대학', '학년', '수준', '개혁개방', '초기', '학교', '육', '기본', '보급', '대학교육', '보급', '전', '민족', '과학', '문화', '자질', '전면', '국가', '발전', '인재', '버팀목', '제공', '동시', '국민', '시적', '정취', '동경', '미래']
http://www.iybrb.com/news/content/2019-09/19/59_373608.html	심수, 선행시범구 건설의 새로운 장정길 전면 가동-연변일보 Yanbian Daily	284	0	227	56	1	[]	['심수', '신화통신', '소집', '중공', '심수', '시위', '기', '차', '회의', '심수시는', '선두', '중점', '임무', '제기', '하여', '전면', '중국', '특색', '사회주의', '선행', '시범', '구', '건설', '장정', '개척', '하기로', '이번', '회의', '심', '수시', '중국', '특색', '사회주의', '선행', '시범', '구', '건설', '지지', '관', '중공', '중앙', '국무원', '의견', '학습', '관철', '초점', '선행', '시범', '구', '건설', '심수시의', '사업', '추진', '요구', '삼고', '단계', '발전', '목표', '실현', '선행', '시범', '구', '건설', '강조', '제기', '선두', '중점', '임무', '포함', '선두', '품질', '발전', '요구', '구현', '대화', '체계', '건설', '종합', '국가', '과학', '쎈터', '건설', '배치', '중점', '사회주의', '시장', '경제체제', '개혁', '심화', '국제', '접목', '개방', '경제', '체제', '구축', '공평', '정의', '민주', '법치', '환경', '심수경', '특별구', '립법', '활용', '하여', '안정', '예견', '국제', '일류', '법치', '환경', '선두', '사회주의', '문화', '흥', '대도시', '문명', '부각', '전시', '혜택', '품질', '지속', '도시', '문화', '봉사', '체계', '구축', '경쟁력', '문화', '산업', '관광업', '발전', '선두', '공동', '건설', '공동관리', '공동', '향유', '부유', '민생', '발전', '구도', '형성', '인간', '자연', '공존', '중국', '본보기', '구축', '생태', '환경', '보호', '제도', '실시', '하여', '오염', '방지', '공략', '전', '승리', '방위', '전분', '과정', '선행', '시범', '복제', '보급', '성공', '경험', '전', '성', '전국', '발전', '대국', '위해', '봉사', '품질', '발전', '고지', '법치', '도시', '시범', '도시', '문명', '모범', '민생', '행복', '본보기', '지속', '발전', '선봉', '구축', '하여', '세기', '중엽', '개', '단계', '발전', '목표', '실현', '지적', '심수', '당위', '서기', '왕위', '중이', '사업', '보고', '당위', '부서', '기이', '시장', '진여', '심', '수시', '중국', '특색', '사회주의', '선행', '시범', '구', '건설', '행동', '방안', '관련', '설명', '가했다']
http://www.iybrb.com/news/content/2019-09/09/59_372413.html	제11회 전국소수민족전통체육운동회 개막-연변일보 Yanbian Daily	394	4	294	86	10	['올림픽', '올림픽', '플랫폼', '컵']	['정주', '신화통신', '전국', '소수민족', '전통', '체육', '운동회', '하남성', '정주', '성대', '개막', '중공', '중앙', '정치국', '상무', '위원', '전국', '주석', '왕양', '개막식', '참석', '고도', '정주', '등불', '휘황', '중원', '대지', '만민', '체육', '중심', '체육', '장내', '개', '민족', '단란', '공동', '단결', '진의', '앙양', '악장', '주악', '개막식', '정식', '시작', '대표', '단', '현장', '관중', '국기', '의장대', '입장', '민족', '운동선수', '민족', '복장', '정신', '분발', '대표', '단', '행진', '과정', '정지', '공연', '화원', '이채', '현장', '관중', '도취', '왕양', '중화인민공화국', '소수민족', '전통', '체육', '운동회', '개막', '선포', '찰나', '정주', '체육', '중심', '중화민족', '가족', '단결', '시대', '전진', '하자', '주제', '이채', '공연', '서막', '공연', '중화', '례찬', '하남', '포옹', '개', '장', '중화민족', '문화', '중국', '성과', '구가', '중화민족', '부흥', '전망', '전시', '공연', '민족', '동포', '정', '지니', '장내', '중국', '생일', '상징', '조국', '번영', '창성', '공동', '축복', '개막식', '왕양', '중국', '소수민족', '전통', '체육', '문화', '전시', '하남성', '경제', '사회', '발전', '성과', '전시', '참관', '운동회', '조직', '위원회', '전체', '성원', '운동선수', '대표', '사업', '대표', '접견', '지적', '전국', '소수민족', '전통', '체육', '운동회', '개최', '소수민족', '전통문화', '보호', '발전', '조치', '민족', '왕', '교류', '융합', '촉진', '민족', '단결', '진보', '사업', '혁신', '추진', '당', '민족', '정책', '우월', '성의', '구현', '총서기', '민족', '사업', '관', '중', '학습', '터득', '당', '민족', '정책', '전면', '관철', '민족', '공동', '단결', '분투', '공동', '번영', '발전', '견지', '중화민족', '공동체', '의식', '구축', '민족', '석류', '촉진', '하여', '공동', '민족', '결의', '최고', '우승', '공동', '리', '중화민족', '부흥', '중국', '실현', '하기', '위해', '분투', '중공', '중앙', '정치국', '위원', '국무원', '부총리', '춘란', '중공', '중앙', '서기', '처', '서기', '중앙', '통전', '부', '부장', '권', '개막식', '참석', '전국', '부주석', '국가', '민족', '사무', '위원회', '주임', '개막', '사를', '하남성', '당위', '서기', '왕국', '생', '환영', '축사', '국가', '체육', '국장', '중문', '개막식', '사회', '이번', '운동회', '전국', '개', '성', '자치구', '직할시', '신강', '생산', '건설', '해방', '대표', '단', '소수민족', '대표', '단', '명', '운동선수', '장족', '기기', '표류', '등', '개', '종목', '개', '종목', '경기', '참가', '운동회', '기간', '민족', '대련', '환', '등', '문화', '행사', '거행']
http://www.iybrb.com/news/content/2019-09/09/59_372383.html	사천성 내강시 위원현에서 5.4급 지진이 발생-연변일보 Yanbian Daily	0	0	0	0	0	[]	[]
http://www.iybrb.com/news/content/2019-09/09/59_372356.html	길림백성사범학원 당위 원 부서기 손영리 수뢰죄 혐의로 공소 당해-연변일보 Yanbian Daily	154	0	127	24	3	[]	['길림', '백성', '사범', '학원', '당위', '부서', '기', '영리', '수뢰죄', '혐의', '공소', '장춘', '신화통신', '길림성', '검찰', '기관', '일전', '백성', '사범', '학원', '당위', '부서', '기인', '영리', '수뢰', '혐의', '국유', '사업', '단위', '인원', '직무', '태만', '단위', '수뢰', '탐오', '죄', '사건', '대하', '길림성', '인민', '검찰', '지정', '관할', '인민', '검찰', '통화', '시중', '민법', '공소', '제기', '인민', '검찰', '소서', '피고인', '리가', '백성', '사범', '학원', '계획', '재무', '처', '처', '부원장', '당위', '부서', '기간', '직무', '상의', '편리', '리용', '하여', '불법', '타인', '재물', '요구', '타인', '재물', '액수', '책임지거나', '관리', '사업', '대해', '책임', '지지', '국유', '자산', '손실', '국유', '사업', '단위', '사업', '단위', '타인', '리익', '도모', '타인', '재물', '요구', '재물', '직접', '책임', '직무', '상의', '편리', '리용', '하여', '재물', '착복', '수액', '비교', '법', '응당', '수뢰죄', '국유', '사업', '단위', '인원', '직무', '태만', '죄', '단위', '수뢰죄', '탐오', '죄', '형사', '책임', '추궁']
http://www.iybrb.com/news/content/2019-09/09/59_372363.html	습근평 짐바브웨 전 대통령 무가베 서거에 조전-연변일보 Yanbian Daily	124	13	85	17	9	['짐바브웨', '짐바브웨', '짐바브웨', '에머슨', '짐바브웨', '짐바브웨', '아프리카', '짐바브웨', '아프리카', '짐바브웨', '짐바브웨', '짐바브웨', '짐바브웨']	['전', '대통령', '서거', '조전', '북경', '신화통신', '국가주석', '전', '대통령', '로버트', '서거한데', '대하', '대통령', '가과', '조전', '중국', '정부', '중국', '인민', '대표', '하여', '개인', '명의', '대통령', '서거', '애도', '표시', '정부', '인민', '각하', '친족', '위문', '표시', '각하', '출한', '정치가', '민족', '해방운동', '지도자', '생전', '차례', '중국', '방문', '하여', '중국', '중국', '친선', '협력', '추', '동하', '기', '위해', '기여', '서거', '인민', '손실', '중국', '인민', '명의', '친구', '친구', '중국', '측은', '중국', '형제', '전통', '우의', '정부', '인민', '계속', '령역', '협력', '확대', '심화', '하여', '중국', '전면', '전략', '협력', '동반', '관계', '추', '동하', '발전', '용의']
http://www.iybrb.com/news/content/2019-09/10/59_372486.html	“공안 검찰 법원은 전화로 자금이체 요구 안해”-연변일보 Yanbian Daily	258	8	176	68	6	['보이', '핸드폰', '드릴', '카드', '사인', '메시지', '컴퓨터', '소프트웨어']	['남경', '신화통신', '최근', '공안', '검찰', '법원', '기관', '사업', '사칭', '사기', '태세', '남경', '경찰', '측은', '공안', '검찰', '법원', '기관', '집법', '부문', '절대', '전화', '자금', '이체', '요구', '할', '금전', '관련', '문제', '주의', '조언', '필', '이세', '남경', '통신', '관리', '당신', '명의', '북경', '한', '매일', '여건', '문자', '발송', '범죄', '혐의', '당신', '신분증', '번호', '북경', '가', '경찰', '신고', '북경시', '공안국', '흥분', '전화', '련결', '남경시', '포', '주민', '일전', '전화', '통', '대방', '신분증', '번호', '철석', '후', '북경시', '공안국', '흥분', '리', '경찰', '전화', '필', '사의', '좌', '자금', '대해', '안전', '심사', '신분증', '은행', '정면', '대면', '사진', '발송', '할', '요구', '리', '경찰', '요구', '사가', '조작', '후', '좌', '경찰', '측은', '조언', '공안', '검찰', '법원', '기관', '집법', '부문', '절대로', '전화', '사용', '방식', '리용', '하여', '범죄', '혐의', '대해', '처리', '전화', '통해', '자금', '이체', '요구', '하지', '공안', '검찰', '법원', '기관', '기타', '부문', '간도', '전화', '비밀리', '사건', '수사', '공안', '검찰', '법원', '등', '부문', '안전', '좌', '가', '존재', '하지', '전화', '통해', '은행', '이체', '송금', '요구', '자금', '심사', '절대로', '속임수', '사기', '경찰', '측은', '범죄', '분자', '리용', '하여', '류형', '전화번호', '모방', '할', '류', '사한', '전화', '자금', '이체', '언급', '할', '경우', '통화', '즉시', '중단', '조언']
