url	title	TotalKorean	EnglishRoot	ChineseRoot	KoreanRoot	UnknownRoot	EnglishRootList	ChineseRootList
http://www.iybrb.com/com/content/2019-05/28/54_358278.html	농촌 유휴 택지 활성화 리용의 최저선을 엄수해야-연변일보 Yanbian Daily	300	0	229	68	3	[]	['변주', '농촌', '유', '택지', '활성화', '리용', '사업', '전개', '관련', '지도', '의견', '시행', '관철', '변주', '농촌', '유', '택지', '활성화', '리용', '사업', '전개', '관련', '지도', '의견', '시행', '의', '출범', '변주', '농촌', '유', '택지', '방향', '원칙', '제공', '동시', '농촌', '휴면', '자원', '활성화', '위해', '엄수', '최저', '선', '제시', '농촌', '유', '택지', '자원', '활성화', '함', '집체', '토지', '소유권', '성격', '불변', '최저', '선', '농촌', '토지', '농민', '집체', '소유', '제도', '농민', '기본', '거주', '수요', '보장', '만약', '토지', '사유화', '규제', '공상', '자본', '대규모', '토지', '점령', '하면', '대량', '농민', '본업', '사회', '문제', '초래', '농촌', '유', '택지', '활성화', '리용', '사업', '전개', '함', '택지', '집체', '소유권', '실시', '택지', '소유', '농가', '자격', '권리', '보장', '법률', '법규', '택지', '사용권', '함', '유', '택지', '활성화', '농촌', '유', '택지', '자원', '활성화', '함', '경작지', '금지선', '최저', '선', '최근', '년', '주', '농촌', '인구', '출국', '로무', '로령', '등', '원인', '내의', '빈', '토지', '자원', '대한', '방치', '심해지고', '경작지', '금지선', '최저', '선', '동시', '농촌', '유', '택지', '활성화', '사업', '촌락', '배치', '기획', '건설', '계획', '토지', '리용', '제적', '계획', '향촌', '건설', '전역', '관광', '등', '추진', '유기', '결부', '토지', '절약', '집약', '화해', '리용', '자원', '절약', '환경', '우호', '건설', '농촌', '유', '택지', '자원', '활성화', '함', '농민', '권익', '손해', '입지', '최저', '선', '농촌', '유', '택지', '활성화', '리용', '사업', '전개', '목적', '경제', '장대', '농민', '수입', '증가', '농민', '권익', '손해', '입지', '최저', '선', '동시', '택지', '소유권', '실현', '방식', '보완', '시범', '기지', '구축', '활성화', '관리', '사업', '층', '농민', '권익', '상자', '본의', '합법', '익', '수호', '치중', '농민', '증수', '실현']
http://www.iybrb.com/com/content/2019-05/22/54_357424.html	 Daily	368	0	242	123	3	[]	['정책', '정도', '정책', '당위', '주정', '부가', '출범', '변주', '투자', '유치', '우대', '정책', '관련', '지도', '의견', '이하', '의견', '략칭', '은', '주', '투자', '유치', '사업', '주입', '의견', '관철', '투자', '유치', '사업', '실제', '조치', '취하', '추진', '실효', '주', '투자', '유치', '사업', '단계', '추', '동해', '의견', '관철', '시', '달하려면', '상인', '고해', '실천', '증명', '일부', '단위', '개인', '원인', '상인', '투자', '유치', '사업', '전진', '상인', '층', '통일', '사업', '열정', '당위', '정부', '관철', '투자', '유치', '사업', '사상', '통일', '인식', '투철', '일심동체', '합력', '형성', '투자', '유치', '각항', '사업', '실제', '의견', '관철', '시', '달하려면', '정책', '우대', '활용', '의견', '의', '출범', '당위', '주정', '부가', '당면', '형세', '직면', '하여', '전', '주', '투자', '유치', '사업', '추', '동하', '조치', '정책', '우대', '전략', '신흥', '산업', '대상', '본부', '경제', '대상', '고급', '관리인', '기술', '등', '면', '우대', '조치', '설정', '학습', '세밀', '연구', '정책', '파악', '활용', '하여', '정책', '운용', '수준', '고하', '투자', '유치', '사업', '돌파', '대기업', '대상', '적극', '인입', '의견', '관철', '시', '달하려면', '집행', '강도', '위치', '책략', '직무', '직책', '담당', '급', '각', '부문', '주요', '책임자', '투자', '유치', '책임자', '추진', '책임', '의식', '정력', '투자', '유치', '대상', '부어', '정신', '정책', '우대', '결부', '하여', '투자', '유치', '사업', '적극', '주동', '전개', '각지', '각', '부문', '압력', '층층', '전달', '투자', '유치', '사업', '책임', '공동', '담당', '의견', '본', '지역', '본', '부문', '실제', '결부', '협동', '사업', '추진', '책임', '강화', '투자', '유치', '사업', '추', '동해', '투자', '유치', '분초', '포만', '열정', '작풍', '조치', '면', '통합', '면', '지혜', '을', '결집', '면', '잠재력', '투자', '유치', '사업', '전력', '여야', '투자', '유치', '봉사', '최적화', '발전', '촉진', '고조', '연변', '경제', '사회', '발전', '동력', '주입']
http://www.iybrb.com/com/content/2018-10/23/54_329452.html	사상을 해방하고 더욱 큰 기백으로 개발개방 추동해야-연변일보 Yanbian Daily	449	8	335	102	4	['카드', '플랫폼', '플랫폼', '벨트', '몽골', '벨트', '업그레이드', '버전']	['개발', '개방', '연변', '잠재력', '희망이', '연변', '시대', '진흥', '발전', '추', '함', '할', '전략', '버팀목', '연변', '품질', '발전', '실현', '사상', '해방', '확고', '부동', '개방', '개방', '기백', '개발', '개방', '추', '동하', '주', '개발', '개방', '차원', '수준', '전면', '고해', '개발', '개방', '행동', '개발', '개방', '의식', '실천', '증명', '개발', '개방', '의식', '개발', '개방', '강도', '발전', '발전', '실현', '할', '년', '개방', '선도', '전략', '실시', '일련', '대외', '개방', '지역', '합작', '조치', '출범', '개방', '합작', '방위', '다차원', '분야', '의', '확장', '추', '동하', '현저', '성과', '개발', '개방', '주', '경제', '사회', '발전', '가속', '기', '연해', '선진', '지역', '주가', '지역', '위치', '자원', '등', '우세', '비교', '개방', '합작', '면', '차이', '차이는', '사상', '관념', '차이', '사상', '해방', '통해', '페쇄적', '관념', '극복', '세계', '안목', '세계', '시야', '전략', '사상', '수립', '개발', '개방', '의식', '증강', '관념', '행동', '체제', '면', '주', '개발', '개방', '영향', '주고', '개발', '개방', '속박', '문제', '해결', '개발', '개방', '인식', '사상', '장애', '견결', '청산', '개발', '개방', '의식', '증강', '상토', '총서기', '동북', '진흥', '심층', '추진', '좌담', '회', '개방', '발전', '중요성', '재차', '강조', '일대일', '건설', '융합', '개방', '합작', '고지', '건설', '요구', '개발', '개방', '과정', '기회', '리익', '공유', '윈윈발전', '실현', '방향', '총서기', '중요', '연설', '중요', '지시', '정신과', '당위', '정부', '전략', '포', '관철', '주의', '지역', '우세', '자원', '우세', '발휘', '단계', '과학기술', '혁명', '산업', '변혁', '력사', '기회', '사회', '생산력', '한층', '발전', '사회', '창조력', '방출', '개발', '개방', '발전', '성과', '상호', '련결', '소통', '고', '도로', '철도', '항구', '등', '기초', '시설', '건설', '개선', '륙', '합', '운송', '항로', '개척', '하여', '연변', '진정', '지역', '립체', '교통', '중추', '훈춘', '국제', '합작', '시범', '구', '룡', '구역', '연길공항', '경제개발', '구', '화룡', '변경', '경제', '합작', '구', '등', '급', '각종', '개방', '건설', '질', '추진', '주변', '관련', '지역', '접목', '발전', '적극', '추진', '각종', '외', '합작', '공동', '건설', '국제', '협력', '수준', '고하', '주변', '지역', '자원', '문화', '관광', '경제', '무역', '로무', '등', '분야', '협력', '심화', '두만강', '압록강', '연선', '개발', '개방', '중국', '통로', '연선', '개발', '개방', '경제', '건설', '추진', '하여', '일대일', '전면', '융합', '공동', '건설', '적극', '자태', '구도', '배치', '개방', '발전', '리념', '수립', '개발', '개방', '긴박', '책임감', '증강', '시야', '개발', '개방', '계획', '기백', '포부', '개발', '개방', '실시', '용기', '의', '개발', '개방', '혁신', '함', '연변', '개발', '개방', '구축']
http://www.iybrb.com/com/content/2012-12/11/54_75432.html	생태적이고 아름다운 연변 힘써 건설해야	361	6	244	106	5	['록', '갖고있다', '에너지', '에너지', '프로젝트', '에너지']	['차', '대회', '보고', '생태', '문명', '건설', '독립', '부분', '전면', '심층', '체계', '중국', '특색', '사회주의', '건설', '내용', '부분', '경제', '건설', '정치', '건설', '문화', '건설', '사회', '건설', '중국', '특색', '사회주의', '사업', '체적', '포', '치가', '발전', '차', '대회', '보고', '특색', '당위', '기', '차', '회의', '생태', '자치주', '건설', '가속', '대지', '생태', '연변', '건설', '제기', '중앙', '결책', '일치', '연변', '특색', '구현', '산', '삼림', '가', '지역', '우세', '우대', '정책', '자원', '환경', '인민', '민족', '특색', '환경', '생태', '삼림', '피복', '률', '하여', '리', '상적', '서지', '살기', '생태', '환경', '주의', '자연', '재부', '발전', '생태', '건설', '관계', '처리', '하여', '발전', '과정', '보호', '보호', '과정', '발전', '자연', '존중', '자연', '순응', '자연', '보호', '생태', '문명', '리념', '수립', '생태', '문명', '위치', '구조', '적극', '조정', '발전', '방식', '전환', '록색', '탄소', '발전', '대상', '산업', '발전', '치중', '절약', '오염', '방출', '감소', '하여', '단위', '소모', '동시', '합리', '질서', '범위', '내', '자원', '리용', '자원', '재생', '환경', '자체', '정화', '능력', '범위', '내', '경제', '발전', '건설', '환경', '건설', '기획', '추진', '생태', '경제', '발전', '관광업', '기간산업', '발전', '생태', '문명', '건설', '발전', '제일', '민생', '문제', '물질', '생활수준', '수입', '물질', '부가', '생활', '전부', '물질', '제품', '대한', '수요', '상대', '청', '신한', '공기', '무성', '삼림', '초원', '살기', '환경', '생태', '제품', '대한', '수요', '절박', '요소', '인간', '생활', '조건', '정부', '사회', '참여', '원칙', '두번째', '연변', '화미', '천연', '림', '보호', '기', '삼림', '자원', '관리', '보호', '등', '개', '대적', '실시', '삼림', '피복', '률', '이상', '유지', '록색', '탄소', '생활', '방식', '소비', '식', '제창', '도시', '환경보호', '강도', '도시', '무해', '처리', '공기', '소음', '오염', '방지', '추진', '물자원', '페기물', '종합', '리용', '률', '고해', '대지', '생태', '연변', '건설']
http://www.iybrb.com/com/content/2012-12/13/54_75436.html	문화의 연성실력 일층 제고해야	348	2	276	70	0	['프로젝트', '브랜드']	['차', '대회', '문화', '실력', '초', '사회', '전면', '실현', '목표', '정', '당위', '기', '차', '회의', '문화', '인솔', '작용', '발휘', '문화', '실력', '층', '고시', '고', '제기', '사회주의', '선진', '문화', '전진', '방향', '파악', '전제', '문화', '시야', '층', '문화', '자각', '층', '고하', '문화', '적자', '신심', '층', '증강', '연변', '문화', '번영', '발전', '국면', '개척', '강조', '연변', '문화', '발전', '사고', '민족', '인민', '문화', '수요', '만족', '구체', '구현', '문화인', '솔발', '전략', '추진', '문화', '실력', '고시', '문화', '실력', '층', '고하', '사회주의', '핵심', '가치', '체계', '선전', '교양', '전개', '하여', '혁신', '공정', '포용', '준법', '신용', '의', '가치', '취향', '제창', '회사', '인도', '사회', '공통', '인식', '결집', '문화', '민족', '근원', '언어', '부호', '민속', '습성', '도덕', '규범', '가치', '취향', '생활', '방식', '교제', '방식', '등', '문화', '루적', '민족', '생존', '발전', '관건', '사회주의', '핵심', '가치', '체계', '교양', '전개', '문화', '건설', '층', '추진', '연변', '민족', '인민', '공감', '응집', '증강', '문화', '실력', '층', '고하', '두만강', '문화', '장백산', '문화', '대한', '연구', '민족', '구역', '특색', '문화', '구축', '연변', '전국', '최대', '조선족', '집거', '구역', '민족', '문화', '자원', '지역', '문화', '특색', '전국', '위치', '우세', '발휘', '하여', '시장', '소비', '공간', '산업', '구조조정', '적극', '인도', '문화', '산업', '자본시장', '융합', '탐구', '사회', '효익', '사회', '효익', '효익', '상호', '통일', '개발', '개방', '선도', '건설', '문화', '산업', '전체', '실력', '경쟁력', '문화', '실력', '층', '고하', '도서관', '화관', '사회', '구역', '화실', '농가', '서옥', '농촌', '문화', '정원', '등', '봉사', '시설', '건설', '도시', '문화', '봉사', '체계', '보완', '군중', '문화', '활동', '전개', '군중', '보고', '정품', '창작', '도시', '농촌', '민족', '대중', '문화', '수요', '만족', '신문', '출판', '영화', '음향', '연예', '오락', '등', '문화', '산업', '적극', '육성', '형문', '산업', '혁신', '발전', '문화', '산업', '차원', '수준', '층', '고시', '민족', '문화', '자원', '대한', '보호', '연구', '발굴', '무형문화재', '정리', '등록', '전람', '관', '건설', '문화', '체제', '개혁', '심화', '문화', '사업', '문화', '산업', '발전', '동력', '고시']
http://www.iybrb.com/com/content/2012-12/12/54_75433.html	여러 민족 인민들이더욱 행복하게 살도록 노력해야	413	1	287	113	12	['프로젝트']	['당위', '기', '차', '회의', '민생', '개선', '전', '주', '민족', '군중', '안정', '생활', '생활', '담보', '제기', '당위', '민생', '문제', '대해', '중시', '민생', '개선', '대한', '당위', '재동', '배치', '개혁', '발전', '성과', '대중', '신념', '결심', '구현', '민생', '위해', '리익', '도모', '우려', '해결', '인민대중', '제일', '관심', '직접', '현실', '리익', '문제', '해결', '하여', '민족', '대중', '생활', '노력', '최근', '민생', '개선', '함', '노력', '자치주', '창립', '경축', '계기', '대', '민생', '공사', '실시', '면', '합쳐', '개', '종류', '개', '혜민', '추진', '주민', '소득', '안정', '취업', '창업', '확대', '사회보장', '체계', '더한층', '보완', '급', '각', '종류', '교육', '발전', '층', '의료', '위생', '봉사', '체계', '층', '보완', '동시', '온난', '주택', '공사', '불량', '주거', '개조', '위험', '주택', '개조', '등', '일련', '리민', '혜민', '공사', '추진', '하여', '민생', '개선', '토대', '전', '주', '민족', '인민', '교육', '안정', '사업', '소득', '사회보장', '수준', '의료', '위생', '봉사', '거주', '조건', '환경', '생활', '기점', '연변', '건설', '쾌속', '추진', '인민대중', '민생', '수요', '만족', '시켜줄것을', '요구', '민족', '인민', '사회', '건설', '전면', '계속', '적극', '취업', '정책', '실시', '곤난', '군체', '소득', '증가', '경로', '확대', '중', '소득', '층', '소득', '사회', '보험', '영향', '면', '확대', '공유', '경제', '종사', '도시', '개체', '령활', '취업', '등', '군체', '사회', '보험', '사업', '중시', '사회', '구조체', '기준', '향상', '장애인', '사회보장', '봉사', '체계', '건설', '장애인', '익', '절실', '보장', '도시', '불량', '주거', '농촌', '주택', '대한', '개조', '진척', '렴', '임대주택', '건설', '온난', '주택', '공사', '추진', '민족', '교육', '수준', '고하', '인민', '교육', '환경', '구축', '의약', '위생', '체제', '개혁', '심화', '의료', '보험', '보조', '기준', '층', '고시', '민족', '인민', '민', '혜택', '봉사', '체계', '건립', '정부', '주도', '작용', '발휘', '정부', '보장', '능력', '고하', '주', '실정', '부합', '비교', '도시', '농촌', '적용', '지속', '봉사', '체계', '건립', '점차', '도시', '농촌', '구역', '봉사', '격차', '봉사', '균등', '실현', '민생', '보장', '개선', '체계', '공사', '급', '지도', '간부', '대중', '대중', '주변', '대중', '생활', '가계부', '고려', '최선', '민생', '공사', '실시', '대중', '위해', '실속', '대중', '실질', '혜택']
http://www.iybrb.com/com/content/2018-02/09/54_75407.html	선전 강화해 브랜드 더 빛나게-연변일보 Yanbian Daily	333	13	228	86	6	['브랜드', '브랜드', '프로젝트', '브랜드', '오프라인', '미니', '클라이언트', '미니', '마케팅', '미니', '마케팅', '유럽', '브랜드']	['관광', '전략', '주', '관광', '산업', '발전', '경계', '개척', '발전', '방향', '발전', '정위', '목표', '임무', '제시', '관광업', '위치', '연변', '관광업', '발전', '단계', '특징', '파악', '관광', '자원', '특색', '토대', '선전', '보급', '전역', '관광', '관광', '선전', '관광', '산업', '발전', '주력', '역할', '전국', '관광', '선전', '구호', '면', '연변', '관광', '형상', '수립', '할', '일련', '주제가', '영향력', '관광', '축제', '활동', '개최', '하면', '명성', '창', '할', '관광', '선전', '체계', '관광', '전략', '인솔', '전', '주', '상하', '지혜', '능력', '모아', '우세', '민족', '특색', '문화', '특징', '생태', '환경', '민속', '음식', '관광', '형상', '구축', '관광', '선전', '방식', '전개', '전역', '추진', '주류', '매체', '선전', '보급', '전반', '포장', '선전', '연변', '특색', '전역', '관광', '형상', '선전', '홍보', '판촉', '추진', '영화', '등', '리용', '통합', '연변', '문화', '특색', '영화', '영화', '발굴', '창작', '일련', '음향', '제품', '선전', '화보', '출판물', '출판', '연변', '관광', '선전', '경로', '관광', '선전', '추진', '장백산', '관리', '위원회', '동북', '표범', '국가', '관리', '경박', '호', '관리', '위원회', '등', '부문', '관광', '지역', '련맹', '공동', '경로', '탐색', '한국', '일본', '국가', '객원', '시장', '적극', '개척', '북경', '천진', '하북', '장강삼각주', '주강', '삼각주', '향항', '오문', '대만', '등', '지역', '객원', '시장', '개발', '강도', '동시', '관광', '문명', '건설', '전', '주적', '문명', '연변', '활동', '전개', '봉사', '업종', '수준', '규범', '관광', '환경', '관광', '형상', '대표', '농후', '분위기', '관광', '가', '진정', '산업', '승급', '규모', '확장', '동력', '합쳐', '기회', '혁신', '포만', '정신', '감당', '용기', '필승', '투지', '관광', '전략', '실시', '계기', '연변', '전역', '관광', '전', '주', '관광업', '전체', '도약', '추진', '관광', '의', '전략', '목표', '견결', '실현']
http://www.iybrb.com/com/content/2011-07/06/54_75364.html	정부신용은 핵심이다	189	0	146	39	4	[]	['정부', '신용', '정부', '주체', '신용', '정부', '사업', '제도', '정책', '제정', '집행', '실시', '군중', '인용', '재적', '리념', '외', '재적', '행위', '일반', '측면', '관찰', '재적', '측면', '보면', '정부', '사업', '행정', '도덕', '언행', '일치', '실제', '중시', '리행', '등', '외', '재적', '측면', '보면', '정부', '제도', '정책', '권위', '련', '속성', '정부', '집행', '행위', '공평', '공개', '공정', '정부', '신용', '사회', '신용', '건설', '핵심', '정부', '신용', '상업', '신용', '개인', '신용', '일종', '공신', '직접', '작용', '대상', '회군', '계약', '교역', '관계', '평등', '주체', '정부', '일단', '실언', '하면', '군중', '피동', '접수', '선택', '공간', '결핍', '초래', '직접', '후', '군중', '용', '투표', '권리', '포기', '하여', '사회', '신심', '영향', '정부', '신용', '가치', '방향', '향', '사회', '공감', '사회', '정합', '실현', '기능', '도실', '사회', '신용', '구체', '실현', '위해', '제도', '경로', '제공', '사회', '신용', '건설', '과정', '각개', '개체', '신용', '행위', '책임', '질수', '신용', '정부', '필요', '정부', '군중', '상호', '사회', '조화', '실현', '관건', '사회', '신용', '건설', '목표', '정부', '신용', '건설', '발전', '일로', '책임']
http://www.iybrb.com/com/content/2011-07/06/54_75465.html	50대여, 휘청거리지 말라	352	3	206	125	18	['퍼그', '밀리우고', '아이디어']	['대도', '래일', '이순', '문턱', '서고', '감회', '대를', '활보', '대부터는', '서서히', '대', '대', '대', '도', '하면', '고', '자포자기', '하기', '십상', '나도', '대의', '적지', '시간', '성', '남은', '명예', '퇴직', '준비', '하자', '고', '대를', '거지반', '진정', '할', '인생', '년대', '였다는것을', '터득', '활보', '년대', '지식경제', '시대', '과학', '문화', '시대', '진입', '사회', '년', '화가', '추세', '지금', '년', '소화', '임직', '전망', '정', '기관', '기업', '사업', '단위', '전문성', '대학', '본과', '생도', '석사', '박사', '특', '장생', '선호', '대', '대가', '대거', '등용', '대의', '퇴장', '실상', '대만', '진입', '하면', '좌', '불안', '석', '지금', '공화국', '창건', '초기', '자란', '고난', '세대', '세상', '인지도', '공화국', '초창', '기라', '생계', '극도', '방금', '태', '나자부터', '영양실조', '영아', '후반기', '대', '혁명', '영향', '명', '아사', '특대', '자연재해', '문화', '대혁명', '세례', '시기', '고생', '고생', '자란', '세대', '시장', '경제체제', '확립', '치렬', '시장', '경쟁', '경쟁', '대상', '정말', '세대', '지금', '특수', '상황', '제외', '행정', '기술', '대', '후반', '등용', '발탁', '제외', '상대', '절대', '고금', '외', '책', '보면', '대기', '만성', '인물', '적지', '신변', '보아', '정계', '재계', '기업', '과학계', '문화', '예술', '분야', '분야', '패기', '무장', '성장', '도약', '창', '원동력', '필수', '생', '군', '대와', '대의', '경험', '지혜', '해결', '결코', '인류', '고령화사회', '진입', '대의', '퇴장', '사회', '손실', '동시', '역시', '사회', '부담', '문제', '저력', '재능', '발휘', '사회', '력량', '전환', '실상', '사회', '대를', '등용', '적재적소', '과시', '퇴직', '전', '발휘', '의심', '할', '절대', '인생', '론설', '위원']
http://www.iybrb.com/com/content/2011-07/13/54_75365.html	가라앉은 목소리에 귀를	309	2	184	102	21	['프랑스', '볼테르']	['금년', '사회', '심리', '상태', '대해', '관심', '주제', '련속', '편의', '문장', '발표', '하여', '사회', '반향', '일으키고있다', '문장', '귀', '문장', '군체', '의', '사회', '구축', '관건', '소재', '지적', '장경', '존재', '한', '강', '약자', '분화', '군체', '명사', '당시', '국무원', '총리', '한', '정부', '사업', '보고', '군체', '언급', '군체', '란', '소득', '소비', '준', '비교', '빈곤선', '변두리', '배회', '군체', '취업', '상황', '실업', '사업', '조건', '사회보장', '군체', '당면', '하면', '다수', '농민', '도시', '빈곤', '구가', '군체', '군체', '현실', '군체', '표', '달상', '군체', '사회', '차원', '보면', '여론', '영향', '끼칠수', '자원', '결핍', '할', '정부', '결책', '과정', '참여', '경로', '극히', '심지어', '자신', '관련', '정보', '자신', '리익', '표달', '추구', '능력', '역시', '극히', '군체', '인수', '적지', '사회', '미약', '동지', '결코', '배후', '해결', '하여', '정서', '군체', '생존', '현황', '련', '경청', '하지', '호응', '모순', '격화', '초래', '심지어', '폭발', '군체', '시대', '사회', '존재', '보편', '사회', '현상', '중국', '공산', '주의자', '문제', '고도', '중시', '절실', '해결', '당', '계급', '성질', '취지', '요구', '개혁', '심화', '발전', '안정', '수호', '하기', '사회', '환경', '창조', '요구', '리', '상적', '사회', '각', '계층', '각', '군체', '표달', '행사', '부동', '리익', '요구', '사회', '군체', '각자', '의견', '표', '달하게', '세기', '철학가', '당신', '동의', '하지', '당신', '할', '대해', '귀감', '명언', '연변', '대학', '연구원', '원장']
